Priority	r5p[c]	ru5p__D[c]	param_RPIb_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/haldaneRatio_1.txt"	0.443
1	0.00010999999999999996	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.09090909090909087
1	0.0001743382511707225	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.13680688860321003
1	0.00027630750746605366	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.20076000891310164
1	0.00043791788760884695	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.2847472489508014
1	0.0006940530789282128	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.3868631798468571
1	0.0010999999999999996	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.4999999999999999
1	0.0017433825117072251	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.6131368201531431
1	0.0027630750746605367	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.7152527510491985
1	0.004379178876088469	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.7992399910868981
1	0.006940530789282128	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.86319311139679
1	0.010999999999999998	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/relRateFor_r5p.txt"	0.9090909090909091
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
1	1	0	1	7.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPIb_Final_typeII/input/absRateFor.txt"	52.
