ssd,Km_3pg,Km_2pg,kcat_f,kcat_r,Keq
3.8815080047522035e-8,0.0100006226281781,0.009168492926946591,0.00005618745932587436,0.000055542324262934765,0.00005599759435096087
3.8815080056114364e-8,0.010000385626516315,0.00916955810188452,0.00005687340012310026,0.000055910252259183186,0.00005624627343218678
3.8815080061154296e-8,0.009998487397627785,0.009168625199397647,0.00005696468078626692,0.00005648526879788124,0.00005654560892814811
3.8815080062674475e-8,0.010000586292253595,0.009168389947869275,0.00005626068491698311,0.00005554750085440601,0.000055852530927698974
3.8815080066351856e-8,0.010000608251237164,0.00916840988029852,0.00005626781983007814,0.000055549851409044835,0.000055841018016217115
3.8815080068510466e-8,0.009999145493316732,0.00916942934082192,0.00005701890669901454,0.00005644126492012188,0.00005668146170746655
3.881508007497877e-8,0.010000824825012137,0.009168888758446138,0.000056391461399472234,0.000055614900853297225,0.00005591470131349752
3.88150800865775e-8,0.00999837038837448,0.009168699891269373,0.00005673422273412411,0.00005674169770947912,0.000056711394971910666
3.8815080093436263e-8,0.009999590526392335,0.009169738458587798,0.00005707480695559469,0.000056353019335073657,0.00005657784541063735
3.881508011108953e-8,0.010000708196327346,0.009169624273952915,0.000056787650267431024,0.00005577636762142446,0.000056209432087397095
3.8815080140352505e-8,0.010000457394018737,0.009169796947343373,0.00005700059006571978,0.000055876503594545254,0.000056319955888035
3.8815080147521905e-8,0.009999147681304478,0.009169452319987663,0.000057301667148482914,0.000056351995801456406,0.00005650876769243297
3.881508017852218e-8,0.009999919744883455,0.009169439969284349,0.00005713559355847099,0.000055606777956528315,0.0000566354099368825
3.881508021487144e-8,0.00999817791780971,0.00916886294959832,0.00005674420450881752,0.00005704820405633074,0.000056750539285432246
3.8815080226656255e-8,0.009997723004996021,0.00916781389148261,0.00005668752170905158,0.00005662801485425258,0.000056633107108389295
3.8815080232391926e-8,0.01000001212502074,0.009167152785555549,0.00005567515698698365,0.000055679392164798736,0.00005564299598859179
3.881508025421119e-8,0.009999399106419473,0.00917001488648838,0.00005728118312506829,0.0000564534457075599,0.00005673902599998053
3.881508028537659e-8,0.009999902152768081,0.009170249712610058,0.000057290093331318485,0.00005627984693963224,0.0000566354097187334
3.88150802936881e-8,0.009999174114275417,0.009166680872736397,0.00005552143384366889,0.000056081899412766826,0.00005576042800981396
3.881508033070916e-8,0.009998836317983286,0.009169866337537804,0.00005726613581676356,0.00005672167871052504,0.00005690020655815954
3.8815080408802723e-8,0.009997879915301624,0.009166677719962074,0.00005569567413411133,0.000056653379732066254,0.0000563061405220298
3.8815080420200955e-8,0.009998340345037413,0.009169631642262208,0.00005722050862763922,0.000056952680242801404,0.00005697619232554536
3.881508042815731e-8,0.009998056300371911,0.009166539159651987,0.000055570783151321847,0.00005656454745730917,0.0000562048264304107
3.881508046293798e-8,0.009997923055435017,0.00916924161208597,0.00005698175878135003,0.0000571496276503062,0.00005704526934255626
3.8815080527260255e-8,0.009998062953307492,0.009166618209388749,0.00005534987940382971,0.00005683714474982413,0.000056225549627448234
3.881508053830877e-8,0.009999023585231435,0.009170412977236999,0.00005737780385321171,0.000057006321869395465,0.0000568633655250114
3.881508054189958e-8,0.010001234377802039,0.009170107576843724,0.00005726861958732117,0.00005547354716290655,0.000055988383520032484
3.8815080641074245e-8,0.010000220726819768,0.009170878725739105,0.000057607290034571175,0.00005621100158316849,0.00005669757924751768
3.881508080738383e-8,0.01000125580754587,0.009167683989297223,0.00005616011343324684,0.00005455771965677287,0.000055567010750996615
3.881508086245704e-8,0.010000505728171714,0.009171058515048002,0.000057833160778977324,0.00005599501311987134,0.0000565824504755048
3.881508093961536e-8,0.009998818388030515,0.00916727270737462,0.0000545909808713258,0.00005754802272353547,0.000056172590430965855
3.8815080979146e-8,0.010002044488325625,0.009168625624404899,0.00005632582574622203,0.000054542687989717646,0.000055569313221102026
3.8815080992177614e-8,0.010002258316195965,0.00917050073692618,0.000057056212942948204,0.00005517010827414479,0.00005587325431172143
3.881508107256855e-8,0.01000126195922768,0.009171462412312686,0.00005769470645199578,0.00005584088787082479,0.00005652258319867685
3.881508216591336e-8,0.009996163210899836,0.009165068999423964,0.00005490017848811763,0.000057342780234002035,0.00005652028040134781
3.8815082195770014e-8,0.010002884528900703,0.009172135563711617,0.00005779531372603097,0.00005514055858433711,0.000056172590321891315
3.8815082223230054e-8,0.009998744692694657,0.009164319865239431,0.00005425981664564971,0.00005584658243299834,0.000055325239734534195
3.8815082370263764e-8,0.010002845397157609,0.009171921434082133,0.00005799523552415036,0.00005485078624752499,0.00005608739472083008
3.881508253732124e-8,0.01000319631305497,0.009172394288744858,0.0000578245235803292,0.000055046756079203885,0.0000561841032801194
3.8815082572155734e-8,0.010003136869068778,0.009172440277491067,0.00005791138538417068,0.00005508377831813622,0.00005616568280250053
3.8815082649354476e-8,0.010003180003930238,0.00917239734348448,0.000057933177757970685,0.00005495977419736758,0.00005618180068535737
3.881508288658745e-8,0.01000328854220355,0.009172675988093465,0.00005798433853001858,0.00005496363661096559,0.000056296929769011806
3.8815083188473715e-8,0.009997534587368708,0.00916326566296959,0.00005417616613681028,0.00005602403254002958,0.00005538740904516939
3.881508590451544e-8,0.010004943295632016,0.00917435184091792,0.00005863443974182531,0.00005448658167588807,0.00005614495918474691
3.881584513380347e-8,0.00998776801612285,0.009144986173162837,8.401733999361972e-6,0.00009035209806002216,0.000058318598480592266
3.8818014677327125e-8,0.010093427182001225,0.009315263096306764,0.00011609931687546487,0.00003714351455073419,0.00006846378199647936
3.882184134504866e-8,0.010206495667687141,0.009379096110116975,8.97696807341977e-6,0.0000909318083884917,0.00007254626270474474
3.882266296070765e-8,0.010219799466721777,0.009348350749018812,0.0001149809600991864,0.000019727539457502045,0.000033139842262199326
3.885380514050329e-8,0.010475189496849877,0.009702306150734015,0.00015919567223309175,0.000019008191454681256,0.00008679464780420519
3.887794393227176e-8,0.010632450619065176,0.009717638755340428,0.00010813199017804708,0.0002379074509075876,0.000044765826289537005
4.120842348613192e-8,0.011950886821319551,0.010475455792130772,0.002015329258988366,0.0023589938529012997,0.00013214440264837441
4.6582414924083385e-8,0.01799103508473576,0.016078979774943613,0.00016914462172593973,0.00032165127874751975,0.0004219347500473079
5.001580256019409e-8,0.012934775222206343,0.012414328115285943,0.005004229918351147,0.004752730170400766,0.00022796591741020098
