ssd,Km_3pg,Km_2pg,kcat_f,kcat_r,Keq
0,0.0002,0.00019,626.7176791692085,417.8117861128057,1.425
3.881507986146312e-8,0.0001999800009997694,0.00018998257992695045,626.7180329358835,417.8115515089201,1.4249991988843487
3.881507986159838e-8,0.0001999800008744616,0.00018998258010425125,626.7180324401387,417.81155158014093,1.4249991997374574
3.8815079861834526e-8,0.00019998000073309028,0.00018998257983771698,626.7180328417884,417.81155163401564,1.424999199474964
3.8815079863763545e-8,0.0001999800010206103,0.000189982579463646,626.7180333096564,417.81155117647734,1.4249991972437572
3.8815079869111366e-8,0.0001999800006260028,0.00018998257942375032,626.718033425891,417.8115516444792,1.4249991984249828
3.881507987128996e-8,0.00019998000037573278,0.00018998258014523556,626.7180313155163,417.81155195311044,1.4249991997702651
3.881507987235332e-8,0.00019998000169705864,0.00018998258012890197,626.7180321711274,417.8115506307572,1.424999196685961
3.881507988104446e-8,0.00019998000171090517,0.00018998258051742634,626.718032445916,417.8115512644267,1.424999197965617
3.881507989870899e-8,0.00019998000046989376,0.00018998257893569092,626.7180343157215,417.8115516635371,1.4249991978343703
3.881507990085252e-8,0.0001999799999915692,0.0001899825800147818,626.7180321186122,417.8115525136925,1.4249992014436739
3.881507991151666e-8,0.00019998000215502873,0.00018998257980623446,626.7180334189021,417.8115501421818,1.4249991955047334
3.881507991296785e-8,0.00019998000070083473,0.0001899825793539766,626.7180346393952,417.81155230717707,1.4249991978671852
3.8815079920578193e-8,0.00019998000016278756,0.0001899825796869016,626.7180336051847,417.81155297409987,1.4249991995733982
3.8815079932884146e-8,0.00019998000033041491,0.0001899825789526456,626.7180350706747,417.81155209153803,1.4249991992124726
3.881507995057594e-8,0.0001999799996088014,0.00018998257872240558,626.7180343511352,417.81155244980096,1.4249991997702707
3.881507995643204e-8,0.0001999799997369992,0.00018998258043372327,626.7180315634978,417.81155303911436,1.4249992033467633
3.881507995708547e-8,0.00019998000199584288,0.0001899825792662438,626.7180331148111,417.81154858406074,1.424999197210947
3.8815079959507126e-8,0.00019998000003756272,0.00018998257845393742,626.7180351471713,417.81155211931554,1.4249991976375023
3.881507998345872e-8,0.00019998000213728475,0.00018998257888699232,626.7180345529099,417.81154921150863,1.4249991944875704
3.881507999593425e-8,0.00019998000026790773,0.000189982580119222,626.7180269328007,417.81155055588755,1.4249991951438048
3.881507999846307e-8,0.00019997999971859158,0.00018998257835487617,626.7180355400525,417.8115524258286,1.4249991990155957
3.8815080034853625e-8,0.00019998000227473175,0.0001899825786432289,626.7180350052969,417.8115488147579,1.4249991940610107
3.8815080047522035e-8,0.00019997999875474365,0.0001899825798634388,626.7180313059496,417.81155405042864,1.4249992020342805
3.8815080056114364e-8,0.00019997999922874698,0.00018998257783960643,626.7180356048618,417.8115525131821,1.4249991984906036
3.8815080061154296e-8,0.00019998000302520475,0.00018998257961212115,626.7180361769339,417.81155011069524,1.4249991942250728
3.8815080062674475e-8,0.0001999799988274155,0.00018998258005909906,626.7180317648673,417.81155402880023,1.4249992041014343
3.8815080066351856e-8,0.00019997999878349754,0.00018998258002122744,626.7180318095831,417.81155401897934,1.4249992042654933
3.8815080068510466e-8,0.00019998000170901338,0.00018998257808425245,626.7180365167773,417.8115502945486,1.4249991922891707
3.881508007497877e-8,0.00019997999835034999,0.00018998257911135896,626.7180325844666,417.8115537471951,1.4249992032155063
3.88150800865775e-8,0.00019998000325922326,0.0001899825794702066,626.7180347326125,417.811549039305,1.4249991918626217
3.8815080093436263e-8,0.00019998000081894722,0.0001899825774969287,626.718036867114,417.8115506632491,1.424999193765703
3.881508011108953e-8,0.00019997999858360735,0.0001899825777138795,626.7180350674523,417.8115530725679,1.4249991990155928
3.8815080140352505e-8,0.00019997999908521197,0.00018998257738580006,626.7180364019837,417.811552654188,1.4249991974406286
3.8815080147521905e-8,0.0001999800017046374,0.00018998257804059203,626.718038288887,417.8115506675255,1.4249991947500604
3.881508017852218e-8,0.00019998000016051024,0.00018998257806405837,626.7180372480744,417.8115537811335,1.4249991929454084
3.881508021487144e-8,0.0001999800036441644,0.00018998257916039577,626.7180347951701,417.8115477586854,1.4249991913048152
3.8815080226656255e-8,0.00019998000455399002,0.0001899825811536062,626.7180344399289,417.8115495142854,1.4249991929782237
3.8815080232391926e-8,0.00019997999997574997,0.00018998258240970745,626.7180280952603,417.8115534777428,1.4249992070873072
3.881508025421119e-8,0.00019998000120178717,0.00018998257697171568,626.71803816051,417.81155024365586,1.4249991914688795
3.881508028537659e-8,0.00019998000019569447,0.00018998257652554605,626.7180382163518,417.81155096897197,1.4249991929454116
3.88150802936881e-8,0.00019998000165177146,0.0001899825833063418,626.7180271318501,417.81155179602007,1.424999205413901
3.881508033070916e-8,0.00019998000232736404,0.0001899825772539587,626.7180380662058,417.81154912294676,1.4249991891720566
3.8815080408802723e-8,0.0001999800042401694,0.00018998258331233208,626.7180282238448,417.81154940830794,1.4249991976374976
3.8815080420200955e-8,0.00019998000331930993,0.0001899825776998797,626.7180377802522,417.81154815779513,1.4249991880892594
3.881508042815731e-8,0.00019998000388739927,0.00018998258357559667,626.718027441131,417.81154977945965,1.4249991990812234
3.881508046293798e-8,0.00019998000415388914,0.00018998257844093705,626.7180362839647,417.81154733492565,1.424999187104912
3.8815080527260255e-8,0.0001999800038740934,0.00018998258342540217,626.7180260566881,417.81154864051604,1.4249991987859179
3.881508053830877e-8,0.00019998000195282955,0.00018998257621534326,626.7180387660492,417.8115479336741,1.4249991896970413
