t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p	t	fdp	dhap	g3p
0.	0.015199006358253617	0.0030598736419954545	0.00027099924273230286	0.	0.015199999999999955	0.0030588800000097218	0.0002698810180404471	0.	0.015199999999992879	0.0030588800024496823	0.00027099999999792833	0.	0.015199998513325406	0.0030588814880222167	0.00027099999815544123	0.	0.015199732024459933	0.003059149094928974	0.00027015173322332016	0.	0.015199316362851625	0.0030595691115282496	0.0002708926468410029	0.	0.015198885920734465	0.003059996198361111	0.0002709999989840562	0.	0.015199999566749053	0.003058880433484505	0.0002709997079719617	0.	0.015199999999985055	0.003058880000259332	0.0002709999980216502	0.	0.015199688676452919	0.0030592969904202653	0.0002703732390902378	0.	0.015199999999885408	0.003058880002939452	0.00027093953910215483	0.	0.015199999172849367	0.003059946740500852	0.00027099823741690444	0.	0.015199999848157423	0.003058880152510763	0.00027053326718435054	0.	0.015199999999898208	0.0030588802503305063	0.00027092592132366155	0.	0.015198881547623075	0.0030599998363966185	0.0002709999936170192	0.	0.015199526494158769	0.00305935543854011	0.0002707199316324145	0.	0.015199978883393698	0.003058902515043177	0.0002699031141451042	0.	0.01519999997307529	0.0030588800272507407	0.00027099965698636436	0.	0.015199999999994634	0.003058880121297455	0.0002709999078777406	0.	0.015199999999999922	0.0030588800002921573	0.0002698818341112542	0.	0.015199999969131827	0.0030588800308991473	0.0002698804161228605	0.	0.015199953377517148	0.0030589267070517704	0.0002699267254466732	0.	0.015199993865534642	0.00305888642675914	0.00026988649010911106	0.	0.015199998704317782	0.0030588812980209485	0.0002709996321999241	0.	0.015199825515583723	0.0030590546417433324	0.0002709707043192116	0.	0.015199998746741253	0.0030588812538246547	0.00026989422111823143	0.	0.015198880095476545	0.003059999907167326	0.0002709999999699168	0.	0.015199999999379682	0.003058880207396275	0.0002703718162483282	0.	0.015199999975587642	0.0030588800369352087	0.00026988015282760676	0.	0.0151998429922876	0.003059037043193935	0.0002700487125503794	0.	0.01519998784390717	0.003058892159080536	0.0002698948727290775	0.	0.01519988499371141	0.0030589951469300763	0.00027086483200840033	0.	0.015199999950733624	0.0030588800493938834	0.00026988031041962426	0.	0.01519999949129165	0.0030589152844222	0.00027065132657955334	0.	0.015199646093722105	0.003059233906284886	0.0002702350649315255	0.	0.01519972346229419	0.003059157172727501	0.0002701951346079931	0.	0.01519963614027168	0.0030592438596107217	0.00027024794071860126	0.	0.015199998031285472	0.003058882007000235	0.00026988210076197183	0.	0.015199997789042578	0.0030588822142336393	0.0002708062642756903	0.	0.015199555602777198	0.003059324692731672	0.0002709979918637528	0.	0.015199999985313165	0.003058880016607324	0.0002698810940491583	0.	0.01519999999720718	0.0030588800210709396	0.0002698800465441347	0.	0.015199999999853312	0.003058880012582164	0.0002709998451734924	0.	0.015199998336330957	0.003058881701914547	0.00026992179863945124	0.	0.015199999879994692	0.0030588801202335323	0.0002709898042823937	0.	0.015199563510427748	0.0030593165811306834	0.0002703167014096136	0.	0.015199999810194322	0.0030588802003888335	0.0002709805047201135	0.	0.015199634725943021	0.0030592467960587513	0.0002704821852819038	0.	0.015198955173050829	0.003059924827034751	0.0002709733901813838	0.	0.015199756154129256	0.003059123883574543	0.0002709912462809248	0.	0.015199129657448839	0.003059752581602928	0.00027081597426581184	0.	0.015199999490595376	0.0030588805129764733	0.0002707452311271272
1.e-6	0.015199006358253402	0.0030598736419956995	0.00027099924282572563	1.e-6	0.01519999999999995	0.0030588800000097265	0.0002698810180537307	1.e-6	0.015199999999990775	0.0030588800024517874	0.0002710000000000331	1.e-6	0.015199998513325088	0.0030588814880225337	0.00027099999815575815	1.e-6	0.015199732024151622	0.003059149095238741	0.00027015173353444363	1.e-6	0.01519931636180397	0.0030595691136943806	0.0002708926490109936	1.e-6	0.015198885920839634	0.0030599961994033672	0.0002710000000199823	1.e-6	0.015199999566748936	0.003058880433484621	0.0002709997079720775	1.e-6	0.015199999999984936	0.0030588800002594517	0.00027099999802177	1.e-6	0.01519968870802526	0.003059296990735121	0.00027037323972870604	1.e-6	0.015199999999883399	0.003058880002941463	0.0002709395391047106	1.e-6	0.015199999172675853	0.003059946740705169	0.0002709982376301839	1.e-6	0.015199999848157097	0.00305888015251109	0.0002705332671853349	1.e-6	0.015199999999682731	0.003058880250655842	0.00027092592153919943	1.e-6	0.015198881547622226	0.0030599998363976134	0.00027099999361801405	1.e-6	0.015199526493219378	0.0030593554401014984	0.0002707199328621436	1.e-6	0.015199978883386388	0.0030589025150504936	0.00026990311426730546	1.e-6	0.015199999973075104	0.003058880027250926	0.0002709996569865494	1.e-6	0.015199999999890941	0.0030588801214011573	0.0002709999079814345	1.e-6	0.015199999999999672	0.0030588800002924158	0.0002698818341502276	1.e-6	0.015199999969131808	0.003058880030899169	0.0002698804162815379	1.e-6	0.015199953377476007	0.003058926707096896	0.0002699267255034007	1.e-6	0.015199993865534127	0.003058886426759656	0.0002698864901668611	1.e-6	0.015199998704315766	0.003058881298022964	0.0002709996322019393	1.e-6	0.015199825515522444	0.0030590546418580275	0.000270970704397852	1.e-6	0.015199998746740766	0.0030588812538251456	0.0002698942211505643	1.e-6	0.015198880095474673	0.0030599999071691973	0.0002709999999717879	1.e-6	0.015199999999207275	0.0030588802075697183	0.00027037199504284623	1.e-6	0.015199999975586726	0.0030588800369361247	0.0002698801528827382	1.e-6	0.015199842992274119	0.0030590370432143662	0.00027004872329252527	1.e-6	0.015199987843906049	0.0030588921590827736	0.00026989487304483197	1.e-6	0.015199884993606968	0.0030589951471507336	0.0002708648326440865	1.e-6	0.015199999950733572	0.0030588800493939737	0.00026988031054792593	1.e-6	0.015199999479292367	0.0030589153714674602	0.00027065134176808097	1.e-6	0.015199646093722102	0.00305923390628489	0.0002702350649334702	1.e-6	0.01519972346197983	0.0030591571730428776	0.00027019513500830763	1.e-6	0.015199636140271023	0.0030592438596105604	0.0002702479426559827	1.e-6	0.015199998031281938	0.00305888200700377	0.0002698821008174026	1.e-6	0.015199997789039757	0.003058882214236461	0.0002708062642785146	1.e-6	0.015199555602530584	0.0030593246929792217	0.0002709979933963371	1.e-6	0.015199999985311748	0.0030588800166087443	0.00026988109521641274	1.e-6	0.015199999997203326	0.003058880021074796	0.00026988004657596337	1.e-6	0.015199999999847221	0.0030588800125882546	0.00027099984517957976	1.e-6	0.01519999833630847	0.0030588817019377166	0.00026992179872631524	1.e-6	0.015199999879994576	0.003058880120233648	0.0002709898042825121	1.e-6	0.015199563510427398	0.003059316581131098	0.0002703167014117006	1.e-6	0.015199999810188257	0.0030588802003948985	0.00027098050472617593	1.e-6	0.015199634725490593	0.0030592467968765546	0.0002704821907740934	1.e-6	0.015198955173050801	0.0030599248270347782	0.00027097339064755313	1.e-6	0.015199756154104488	0.0030591238835993148	0.00027099124630581466	1.e-6	0.015199129658169544	0.003059752582911513	0.00027081597538510525	1.e-6	0.01519999949059196	0.00305888051296502	0.0002707454470860147
1.2589254117941661e-6	0.015199006358253346	0.003059873641995763	0.00027099924284931624	1.2589254117941661e-6	0.01519999999999995	0.003058880000009728	0.0002698810180571495	1.2589254117941661e-6	0.01519999999999023	0.0030588800024523325	0.00027100000000057807	1.2589254117941661e-6	0.015199998513325007	0.0030588814880226156	0.00027099999815584017	1.2589254117941661e-6	0.015199732024071785	0.0030591490953189473	0.000270151733615001	1.2589254117941661e-6	0.015199316361525366	0.003059569114255246	0.00027089264957284463	1.2589254117941661e-6	0.015198885920859388	0.0030599961996731744	0.0002710000002882093	1.2589254117941661e-6	0.015199999566748907	0.003058880433484651	0.00027099970797210755	1.2589254117941661e-6	0.015199999999984904	0.003058880000259483	0.000270999998021801	1.2589254117941661e-6	0.015199688715990417	0.003059296990816646	0.0002703732398936724	1.2589254117941661e-6	0.01519999999988288	0.0030588800029419834	0.00027093953910537226	1.2589254117941661e-6	0.015199999172630709	0.0030599467407580717	0.0002709982376853637	1.2589254117941661e-6	0.015199999848157012	0.0030588801525111746	0.0002705332671855898	1.2589254117941661e-6	0.015199999999626937	0.0030588802507393645	0.00027092592159500765	1.2589254117941661e-6	0.015198881547622006	0.003059999836397871	0.0002709999936182716	1.2589254117941661e-6	0.015199526492974243	0.003059355440503603	0.00027071993318055236	1.2589254117941661e-6	0.015199978883384495	0.0030589025150523884	0.000269903114298317	1.2589254117941661e-6	0.015199999973075057	0.0030588800272509735	0.00027099965698659724	1.2589254117941661e-6	0.015199999999864091	0.003058880121428011	0.0002709999080082835	1.2589254117941661e-6	0.015199999999999608	0.003058880000292483	0.00026988183416023316	1.2589254117941661e-6	0.015199999969131803	0.003058880030899175	0.0002698804163216757	1.2589254117941661e-6	0.015199953377465353	0.00305892670710856	0.00026992672551799684	1.2589254117941661e-6	0.015199993865533994	0.0030588864267597896	0.0002698864901814541	1.2589254117941661e-6	0.015199998704315244	0.003058881298023486	0.0002709996322024611	1.2589254117941661e-6	0.015199825515506499	0.003059054641887455	0.0002709707044181074	1.2589254117941661e-6	0.015199998746740639	0.0030588812538252723	0.00026989422115892414	1.2589254117941661e-6	0.015198880095474189	0.0030599999071696817	0.0002709999999722724	1.2589254117941661e-6	0.015199999999162633	0.003058880207614635	0.00027037204020319955	1.2589254117941661e-6	0.015199999975586489	0.003058880036936362	0.0002698801528966857	1.2589254117941661e-6	0.01519984299227062	0.0030590370432196238	0.0002700487260059663	1.2589254117941661e-6	0.015199987843905758	0.003058892159083346	0.000269894873125061	1.2589254117941661e-6	0.015199884993579906	0.003058995147207125	0.00027086483280522317	1.2589254117941661e-6	0.015199999950733558	0.003058880049393997	0.00026988031058036883	1.2589254117941661e-6	0.015199999476185005	0.00305891539351432	0.0002706513456905691	1.2589254117941661e-6	0.0151996460937221	0.003059233906284891	0.0002702350649339729	1.2589254117941661e-6	0.015199723461898433	0.003059157173124535	0.0002701951351119157	1.2589254117941661e-6	0.015199636140270853	0.0030592438596105244	0.000270247943145345	1.2589254117941661e-6	0.015199998031281022	0.0030588820070046856	0.00026988210083143385	1.2589254117941661e-6	0.015199997789039025	0.0030588822142371915	0.0002708062642792467	1.2589254117941661e-6	0.01519955560246673	0.0030593246930433154	0.0002709979937847072	1.2589254117941661e-6	0.01519999998531138	0.003058880016609112	0.0002698810955112601	1.2589254117941661e-6	0.015199999997202326	0.0030588800210757947	0.0002698800465840275	1.2589254117941661e-6	0.015199999999845644	0.0030588800125898328	0.0002709998451811559	1.2589254117941661e-6	0.015199998336302646	0.003058881701943713	0.00026992179874877156	1.2589254117941661e-6	0.015199999879994546	0.003058880120233678	0.00027098980428254276	1.2589254117941661e-6	0.015199563510427307	0.003059316581131205	0.00027031670141223704	1.2589254117941661e-6	0.015199999810186687	0.0030588802003964697	0.00027098050472774564	1.2589254117941661e-6	0.015199634725372948	0.0030592467970864267	0.00027048219217120056	1.2589254117941661e-6	0.015198955173050794	0.0030599248270347856	0.0002709733907654643	1.2589254117941661e-6	0.015199756154098075	0.0030591238836057293	0.0002709912463122594	1.2589254117941661e-6	0.015199129658344059	0.0030597525832490964	0.00027081597567491894	1.2589254117941661e-6	0.015199999490591077	0.003058880512962152	0.0002707455015950272
1.584893192461114e-6	0.015199006358253277	0.0030598736419958426	0.00027099924287866755	1.584893192461114e-6	0.015199999999999948	0.0030588800000097296	0.00026988101806144153	1.584893192461114e-6	0.015199999999989543	0.0030588800024530186	0.0002710000000012642	1.584893192461114e-6	0.015199998513324903	0.003058881488022719	0.0002709999981559435	1.584893192461114e-6	0.015199732023971272	0.0030591490954199204	0.00027015173371641645	1.584893192461114e-6	0.015199316361170365	0.003059569114961334	0.0002708926502801647	1.584893192461114e-6	0.015198885920879915	0.0030599962000128064	0.0002710000006258868	1.584893192461114e-6	0.015199999566748869	0.0030588804334846886	0.0002709997079721454	1.584893192461114e-6	0.015199999999984866	0.003058880000259522	0.00027099999802184004	1.584893192461114e-6	0.015199688725896277	0.003059296990919281	0.0002703732401011501	1.584893192461114e-6	0.015199999999882224	0.003058880002942639	0.0002709395391062051	1.584893192461114e-6	0.015199999172573747	0.0030599467408246725	0.0002709982377548055	1.584893192461114e-6	0.015199999848156905	0.0030588801525112813	0.00027053326718591065	1.584893192461114e-6	0.015199999999556697	0.003058880250844098	0.00027092592166526606	1.584893192461114e-6	0.01519888154762173	0.0030599998363981954	0.0002709999936185959	1.584893192461114e-6	0.015199526492664529	0.0030593554410085584	0.00027071993358140554	1.584893192461114e-6	0.015199978883382112	0.003058902515054774	0.000269903114336993	1.584893192461114e-6	0.015199999973074996	0.003058880027251034	0.0002709996569866576	1.584893192461114e-6	0.01519999999983029	0.0030588801214618184	0.00027099990804208424	1.584893192461114e-6	0.015199999999999526	0.003058880000292567	0.00026988183417277965	1.584893192461114e-6	0.015199999969131796	0.003058880030899182	0.0002698804163716563	1.584893192461114e-6	0.015199953377451942	0.0030589267071232324	0.0002699267255363188	1.584893192461114e-6	0.015199993865533825	0.003058886426759958	0.00026988649019961684	1.584893192461114e-6	0.015199998704314589	0.003058881298024143	0.000270999632203118	1.584893192461114e-6	0.015199825515486378	0.003059054641924345	0.00027097070444354564	1.584893192461114e-6	0.015199998746740481	0.0030588812538254323	0.0002698942211694417	1.584893192461114e-6	0.015198880095473578	0.0030599999071702915	0.00027099999997288234	1.584893192461114e-6	0.01519999999910643	0.003058880207671186	0.00027037209639871036	1.584893192461114e-6	0.01519999997558619	0.0030588800369366607	0.0002698801529140546	1.584893192461114e-6	0.015199842992266208	0.0030590370432262235	0.0002700487293825476	1.584893192461114e-6	0.015199987843905392	0.003058892159084062	0.00026989487322517675	1.584893192461114e-6	0.015199884993545826	0.0030589951472776867	0.0002708648330060754	1.584893192461114e-6	0.015199999950733541	0.003058880049394026	0.0002698803106207608	1.584893192461114e-6	0.015199999472272813	0.003058915420984576	0.0002706513506227666	1.584893192461114e-6	0.015199646093722098	0.003059233906284893	0.0002702350649346053	1.584893192461114e-6	0.015199723461795957	0.0030591571732273342	0.00027019513524232535	1.584893192461114e-6	0.01519963614027064	0.003059243859610482	0.0002702479437542936	1.584893192461114e-6	0.01519999803127987	0.0030588820070058384	0.00026988210084891184	1.584893192461114e-6	0.015199997789038106	0.0030588822142381114	0.00027080626428016883	1.584893192461114e-6	0.01519955560238634	0.003059324693124002	0.00027099799426873053	1.584893192461114e-6	0.015199999985310918	0.003058880016609575	0.0002698810958781664	1.584893192461114e-6	0.01519999999720107	0.003058880021077052	0.0002698800465940769	1.584893192461114e-6	0.015199999999843656	0.0030588800125918194	0.0002709998451831402	1.584893192461114e-6	0.015199998336295316	0.003058881701951261	0.0002699217987770222	1.584893192461114e-6	0.015199999879994508	0.0030588801202337157	0.00027098980428258136	1.584893192461114e-6	0.015199563510427193	0.0030593165811313404	0.0002703167014129101	1.584893192461114e-6	0.01519999981018471	0.0030588802003984478	0.00027098050472972187	1.584893192461114e-6	0.015199634725224549	0.0030592467973495504	0.0002704821939155722	1.584893192461114e-6	0.015198955173050786	0.0030599248270347943	0.0002709733909122857	1.584893192461114e-6	0.01519975615409	0.003059123883613805	0.0002709912463203729	1.584893192461114e-6	0.015199129658556743	0.0030597525836733677	0.0002708159760397729	1.584893192461114e-6	0.015199999490589963	0.0030588805129585974	0.00027074556940074495
1.9952623149688787e-6	0.015199006358253189	0.0030598736419959424	0.0002709992429150708	1.9952623149688787e-6	0.015199999999999946	0.0030588800000097317	0.000269881018066826	1.9952623149688787e-6	0.01519999999998868	0.0030588800024538825	0.00027100000000212794	1.9952623149688787e-6	0.015199998513324774	0.0030588814880228494	0.0002709999981560735	1.9952623149688787e-6	0.015199732023844729	0.0030591490955470375	0.0002701517338440905	1.9952623149688787e-6	0.015199316360716732	0.003059569115850246	0.0002708926511706144	1.9952623149688787e-6	0.015198885920898913	0.003059996200440323	0.000271000001050997	1.9952623149688787e-6	0.015199999566748822	0.003058880433484736	0.0002709997079721931	1.9952623149688787e-6	0.015199999999984816	0.003058880000259571	0.0002709999980218892	1.9952623149688787e-6	0.015199688738175137	0.0030592969910484915	0.00027037324036202946	1.9952623149688787e-6	0.0151999999998814	0.0030588800029434644	0.0002709395391072534	1.9952623149688787e-6	0.01519999917250184	0.0030599467409085177	0.00027099823784218756	1.9952623149688787e-6	0.015199999848156771	0.0030588801525114153	0.00027053326718631457	1.9952623149688787e-6	0.015199999999468267	0.0030588802509752956	0.00027092592175371615	1.9952623149688787e-6	0.015198881547621381	0.0030599998363986035	0.00027099999361900414	1.9952623149688787e-6	0.015199526492272878	0.0030593554416422667	0.00027071993408605036	1.9952623149688787e-6	0.015199978883379112	0.0030589025150577773	0.00026990311438510723	1.9952623149688787e-6	0.01519999997307492	0.0030588800272511097	0.00027099965698673353	1.9952623149688787e-6	0.015199999999787737	0.003058880121504382	0.00027099990808463685	1.9952623149688787e-6	0.015199999999999424	0.003058880000292673	0.0002698818341884964	1.9952623149688787e-6	0.015199999969131787	0.003058880030899191	0.00026988041643371093	1.9952623149688787e-6	0.015199953377435056	0.0030589267071416855	0.00026992672555930066	1.9952623149688787e-6	0.015199993865533614	0.0030588864267601695	0.00026988649022215296	1.9952623149688787e-6	0.015199998704313761	0.0030588812980249704	0.00027099963220394497	1.9952623149688787e-6	0.015199825515460974	0.0030590546419705404	0.00027097070447547295	1.9952623149688787e-6	0.01519999874674028	0.003058881253825634	0.00026989422118267164	1.9952623149688787e-6	0.015198880095472812	0.0030599999071710595	0.00027099999997365023	1.9952623149688787e-6	0.015199999999035672	0.003058880207742387	0.00027037216610708973	1.9952623149688787e-6	0.015199999975585816	0.0030588800369370367	0.00026988015293562116	1.9952623149688787e-6	0.015199842992260645	0.003059037043234502	0.0002700487335712228	1.9952623149688787e-6	0.015199987843904932	0.0030588921590849576	0.0002698948733498173	1.9952623149688787e-6	0.015199884993502907	0.0030589951473658393	0.0002708648332557691	1.9952623149688787e-6	0.015199999950733518	0.0030588800493940626	0.0002698803106708998	1.9952623149688787e-6	0.015199999467347253	0.003058915455118026	0.0002706513568226964	1.9952623149688787e-6	0.015199646093722097	0.0030592339062848945	0.00027023506493540066	1.9952623149688787e-6	0.01519972346166695	0.0030591571733567494	0.0002701951354064615	1.9952623149688787e-6	0.01519963614027037	0.0030592438596104333	0.00027024794450968416	1.9952623149688787e-6	0.01519999803127842	0.0030588820070072895	0.00026988210087062147	1.9952623149688787e-6	0.015199997789036948	0.0030588822142392697	0.0002708062642813305	1.9952623149688787e-6	0.015199555602285137	0.003059324693225578	0.00027099799487034445	1.9952623149688787e-6	0.015199999985310336	0.0030588800166101585	0.0002698810963333179	1.9952623149688787e-6	0.015199999997199488	0.003058880021078635	0.00026988004660656633	1.9952623149688787e-6	0.015199999999841155	0.003058880012594322	0.00027099984518563823	1.9952623149688787e-6	0.015199998336286087	0.0030588817019607606	0.00026992179881255555	1.9952623149688787e-6	0.015199999879994461	0.0030588801202337634	0.00027098980428263004	1.9952623149688787e-6	0.015199563510427049	0.0030593165811315104	0.0002703167014137539	1.9952623149688787e-6	0.015199999810182219	0.003058880200400939	0.00027098050473220984	1.9952623149688787e-6	0.01519963472503727	0.003059246797679086	0.0002704821960887698	1.9952623149688787e-6	0.015198955173050775	0.0030599248270348055	0.00027097339109456855	1.9952623149688787e-6	0.015199756154079836	0.003059123883623972	0.0002709912463305873	1.9952623149688787e-6	0.01519912965881343	0.0030597525842063567	0.00027081597649909707	1.9952623149688787e-6	0.015199999490588562	0.003058880512954212	0.0002707456534746984
2.5118864315095823e-6	0.015199006358253078	0.003059873641996068	0.00027099924296003687	2.5118864315095823e-6	0.015199999999999943	0.003058880000009734	0.00026988101807357484	2.5118864315095823e-6	0.015199999999987591	0.0030588800024549706	0.0002710000000032153	2.5118864315095823e-6	0.01519999851332461	0.003058881488023013	0.0002709999981562372	2.5118864315095823e-6	0.015199732023685408	0.0030591490957070674	0.00027015173400482203	2.5118864315095823e-6	0.015199316360135067	0.003059569116969318	0.000270892652291603	2.5118864315095823e-6	0.015198885920912055	0.0030599962009784485	0.00027100000158617816	2.5118864315095823e-6	0.015199999566748763	0.0030588804334847957	0.0002709997079722532	2.5118864315095823e-6	0.015199999999984755	0.003058880000259633	0.00027099999802195106	2.5118864315095823e-6	0.015199688753331157	0.0030592969912111596	0.00027037324068995383	2.5118864315095823e-6	0.015199999999880363	0.0030588800029445035	0.000270939539108573	2.5118864315095823e-6	0.015199999172411	0.003059946741014073	0.0002709982379521321	2.5118864315095823e-6	0.015199999848156603	0.0030588801525115845	0.00027053326718682317	2.5118864315095823e-6	0.015199999999356938	0.003058880251139434	0.0002709259218650682	2.5118864315095823e-6	0.015198881547620943	0.0030599998363991174	0.0002709999936195181	2.5118864315095823e-6	0.015199526491777077	0.0030593554424369193	0.00027071993472136145	2.5118864315095823e-6	0.015199978883375334	0.003058902515061559	0.00026990311444477266	2.5118864315095823e-6	0.015199999973074824	0.0030588800272512056	0.0002709996569868291	2.5118864315095823e-6	0.015199999999734167	0.00305888012155797	0.00027099990813820733	2.5118864315095823e-6	0.015199999999999296	0.0030588800002928065	0.00026988183420815923	2.5118864315095823e-6	0.015199999969131777	0.0030588800308992024	0.0002698804165104676	2.5118864315095823e-6	0.015199953377413795	0.0030589267071648874	0.0002699267255881003	2.5118864315095823e-6	0.015199993865533348	0.0030588864267604363	0.0002698864902500058	2.5118864315095823e-6	0.01519999870431272	0.0030588812980260117	0.000270999632204986	2.5118864315095823e-6	0.01519982551542888	0.0030590546420283075	0.00027097070451551357	2.5118864315095823e-6	0.015199998746740028	0.0030588812538258872	0.00026989422119930997	2.5118864315095823e-6	0.015198880095471845	0.003059999907172026	0.0002709999999746169	2.5118864315095823e-6	0.015199999998946591	0.0030588802078320345	0.0002703722522308486	2.5118864315095823e-6	0.015199999975585342	0.0030588800369375103	0.00026988015296230017	2.5118864315095823e-6	0.015199842992253628	0.0030590370432448766	0.0002700487387465226	2.5118864315095823e-6	0.015199987843904353	0.0030588921590860743	0.0002698948735045291	2.5118864315095823e-6	0.015199884993448848	0.003058995147475747	0.00027086483356513196	2.5118864315095823e-6	0.015199999950733492	0.0030588800493941077	0.00026988031073290063	2.5118864315095823e-6	0.015199999461145704	0.003058915497381573	0.0002706513646132394	2.5118864315095823e-6	0.015199646093722095	0.0030592339062848967	0.00027023506493640084	2.5118864315095823e-6	0.015199723461504538	0.0030591571735196707	0.0002701951356130341	2.5118864315095823e-6	0.01519963614027003	0.0030592438596103804	0.00027024794544297975	2.5118864315095823e-6	0.015199998031276595	0.0030588820070091166	0.00026988210089748957	2.5118864315095823e-6	0.015199997789035491	0.0030588822142407278	0.0002708062642827941	2.5118864315095823e-6	0.015199555602157726	0.0030593246933534497	0.0002709979956155503	2.5118864315095823e-6	0.015199999985309604	0.0030588800166108927	0.0002698810968956809	2.5118864315095823e-6	0.015199999997197497	0.003058880021080628	0.0002698800466220344	2.5118864315095823e-6	0.015199999999838005	0.0030588800125974733	0.00027099984518878307	2.5118864315095823e-6	0.015199998336274468	0.0030588817019727163	0.00026992179885723915	2.5118864315095823e-6	0.0151999998799944	0.0030588801202338233	0.0002709898042826913	2.5118864315095823e-6	0.015199563510426865	0.0030593165811317246	0.00027031670141481056	2.5118864315095823e-6	0.015199999810179084	0.0030588802004040756	0.0002709805047353421	2.5118864315095823e-6	0.015199634724800778	0.0030592467980912405	0.00027048219878870306	2.5118864315095823e-6	0.015198955173050761	0.00305992482703482	0.0002709733913200267	2.5118864315095823e-6	0.01519975615406704	0.0030591238836367727	0.00027099124634344667	2.5118864315095823e-6	0.015199129659119157	0.0030597525848755597	0.0002708159770773522	2.5118864315095823e-6	0.015199999490586797	0.0030588805129488318	0.0002707457572886878
