t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi	t	fdp	f6p	pi
0.	0.015199805659034166	0.0025199999704674206	0.02389999994096774	0.	0.015199999999731055	0.002519999999893887	0.023899805601906524	0.	0.0152	0.0025199999992952184	0.023899805600030584	0.	0.015199999999981346	0.0025199029930750845	0.02389980560001968	0.	0.015199999921707152	0.0025199999996368535	0.023899901893837974	0.	0.015199984567772058	0.002519840331724038	0.023899827748222274	0.	0.015199999999962762	0.002519996575431259	0.023899805602860764	0.	0.015199999999999988	0.002519902851792528	0.023899805600000098	0.	0.015199998592767128	0.0025198070160043656	0.023899807007232873	0.	0.01519999999726469	0.002519919295913724	0.02389980659200509	0.	0.015199999879328118	0.0025198060364893596	0.023899805722199775	0.	0.015199999997771321	0.0025199028378937462	0.023899805602228725	0.	0.015199991807309453	0.002519983393456966	0.02389981580290319	0.	0.015199999998273669	0.00251980581369119	0.02389980560183221	0.	0.015199832075635012	0.0025199737923627652	0.02389997366042467	0.	0.015199999923089519	0.0025199033249392673	0.02389980601956034	0.	0.015199999999941666	0.002519995637684539	0.023899805600175718	0.	0.01519999958339257	0.0025198063723030012	0.023899806295907364	0.	0.015199999999999898	0.0025198056371954604	0.02389980560000111	0.	0.015199807240000045	0.0025199999998713573	0.023899999162414916	0.	0.015199999999999986	0.0025199999999979536	0.02389980561789721	0.	0.01519998236729312	0.0025198232757592007	0.02389982323284669	0.	0.015199999999941571	0.0025199999988320177	0.023899805600100833	0.	0.015199999999986542	0.0025199420421488827	0.023899806638298746	0.	0.015199999872810026	0.00251990260853996	0.023899805781106447	0.	0.01519999999895775	0.0025199992992116543	0.023899901471419953	0.	0.01519999999884877	0.0025199999120510837	0.023899805601165773	0.	0.015199999647146887	0.0025198073534535687	0.02389980600185124	0.	0.015199999901543429	0.0025199999998584935	0.02389980570072431	0.	0.015199997445544872	0.002519855831327582	0.023899808154455287	0.	0.015199994884651624	0.002519998761618241	0.02389987517826677	0.	0.015199999989773255	0.0025199032225067786	0.0238998056129006	0.	0.015199999999999998	0.002519998257318066	0.02389980560040748	0.	0.015199999999111034	0.0025199999860799367	0.023899896752470146	0.	0.015199996906691961	0.0025198086949787665	0.023899808693855756	0.	0.0152	0.00251999995267898	0.023899805600015693	0.	0.015199999999875726	0.0025198056467149277	0.023899805623266785	0.	0.015199999950574524	0.002519805651075802	0.023899805649426245	0.	0.015199999999991647	0.002519806929350961	0.02389980560138374	0.	0.015199999997192935	0.0025198056056533135	0.02389980560286781	0.	0.015199999999838145	0.0025199999999556753	0.023899805611374825	0.	0.015199871322574032	0.002519959333953613	0.023899946781733742	0.	0.015199999999998394	0.0025199028296734463	0.023899805600041363	0.	0.015199999997600487	0.0025198890004121902	0.023899805602417577	0.	0.015199999971080515	0.002519901166236642	0.02389980565321725	0.	0.015199999999701546	0.0025198063442501816	0.02389980566045829	0.	0.01519999999998936	0.002519902706584972	0.02389980560001064	0.	0.015199997633810582	0.0025198079733154666	0.02389980796906423	0.	0.01519999999999998	0.0025199029555210946	0.02389980560000242	0.	0.015199999999713892	0.0025198850862998942	0.02389980560047426	0.	0.015199990962422184	0.0025198608869370477	0.023899814957352467	0.	0.015199999976110656	0.0025199732438871913	0.02389980562419009	0.	0.015199999998815964	0.0025198722685052352	0.023899805601410758	0.	0.015199999999996343	0.0025199999998884127	0.023899805955376958	0.	0.01519999888940939	0.002519904341065594	0.0238998076927978	0.	0.015199999998241634	0.002519999925062074	0.023899805832592044	0.	0.015199999945391904	0.002519806983941304	0.023899806050932174	0.	0.015199999974923745	0.002519960639556987	0.02389980584592898	0.	0.015199997677817677	0.0025198079806725733	0.023899807948334767	0.	0.015199999997257834	0.0025198062617536802	0.023899805612949524	0.	0.01519999875045615	0.002519905603190477	0.023899806849578605	0.	0.015199999998838153	0.0025199108792129873	0.023899805601169295	0.	0.015199999983390125	0.0025198508394169436	0.023899807953282493	0.	0.015199999999999984	0.0025199028003166524	0.02389980560000004	0.	0.015199999999998756	0.0025199993655470876	0.02389981784068561	0.	0.0151999999737113	0.0025199994814929572	0.023899805626888832	0.	0.015199999998569864	0.0025198056410514606	0.023899805606842683	0.	0.01519999999999999	0.0025199020964013713	0.023899805600020942	0.	0.015199999988003665	0.002519895639052541	0.023899805613974083	0.	0.015199982218091445	0.0025199996907889193	0.02389982338324547	0.	0.015199999998847268	0.0025199729471334417	0.023899825246175652	0.	0.01519999999951478	0.0025199028901294186	0.023899805600486945	0.	0.01519999999999799	0.002519996863805147	0.023899805600193506	0.	0.015199999999999684	0.0025198056001389155	0.023899805600000316	0.	0.015199999999970524	0.002519920281400691	0.0238998056000895	0.	0.015199999696343617	0.0025198059047852107	0.023899805903972723	0.	0.015199999999991063	0.00251990257817672	0.02389980575283327	0.	0.015199999961209175	0.0025199933354279197	0.02389984676094696	0.	0.015199983160496781	0.0025199091462479307	0.023899823540842496	0.	0.015199999999999938	0.002519944159798211	0.023899805600084797	0.	0.01519999983699092	0.002519999974055859	0.023899902671456377	0.	0.015199999999999748	0.0025198056175132688	0.023899805600000268	0.	0.015199999890207512	0.0025199992600291833	0.02389980572037389	0.	0.015199938659821792	0.0025199997537422125	0.023899875350522543	0.	0.01519982560253498	0.002519979997635341	0.023899979997472114	0.	0.015199997617460699	0.0025199040053826473	0.023899807985332058	0.	0.01519999969398884	0.002519918182168389	0.023899808115188798	0.	0.015199999999618954	0.002519836210654287	0.023899805604002334	0.	0.015199996990022344	0.0025198328214444377	0.02389982622799587
1.e-6	0.015199805658480137	0.0025199999710214488	0.02389999994152177	1.e-6	0.01519999999917703	0.002520000000447913	0.02389980560246055	1.e-6	0.015199999999445978	0.0025199999998492405	0.023899805600584606	1.e-6	0.015199999999427321	0.0025199029936291105	0.023899805600573705	1.e-6	0.015199999921153132	0.0025200000001908748	0.023899901894391996	1.e-6	0.015199984567218033	0.002519840332278063	0.0238998277487763	1.e-6	0.015199999999408747	0.0025199965759852747	0.02389980560341478	1.e-6	0.015199999999445964	0.0025199028523465515	0.02389980560055412	1.e-6	0.015199998592213102	0.0025198070165583916	0.023899807007786898	1.e-6	0.015199999996710716	0.002519919296467698	0.023899806592559063	1.e-6	0.015199999878774094	0.0025198060370433834	0.023899805722753797	1.e-6	0.015199999997217297	0.0025199028384477696	0.023899805602782747	1.e-6	0.015199991806755431	0.0025199833940109887	0.023899815803457212	1.e-6	0.015199999997719647	0.0025198058142452124	0.02389980560238623	1.e-6	0.015199832075080999	0.0025199737929167782	0.023899973660978683	1.e-6	0.015199999922535495	0.0025199033254932903	0.02389980602011436	1.e-6	0.015199999999387644	0.0025199956382385615	0.02389980560072974	1.e-6	0.015199999582838549	0.0025198063728570233	0.023899806296461386	1.e-6	0.015199999999445876	0.0025198056377494825	0.023899805600555133	1.e-6	0.015199807239446023	0.0025200000004253795	0.02389999916296894	1.e-6	0.015199999999445964	0.0025200000005519752	0.02389980561845123	1.e-6	0.015199982366739098	0.0025198232763132228	0.023899823233400713	1.e-6	0.015199999999387549	0.00251999999938604	0.023899805600654855	1.e-6	0.01519999999943252	0.0025199420427029044	0.02389980663885277	1.e-6	0.015199999872256004	0.0025199026090939815	0.02389980578166047	1.e-6	0.015199999998403728	0.002519999299765676	0.023899901471973975	1.e-6	0.015199999998294748	0.0025199999126051054	0.023899805601719795	1.e-6	0.015199999646592865	0.0025198073540075904	0.023899806002405263	1.e-6	0.015199999900989407	0.0025200000004125147	0.023899805701278334	1.e-6	0.01519999744499085	0.0025198558318816036	0.02389980815500931	1.e-6	0.015199994884097602	0.0025199987621722622	0.023899875178820792	1.e-6	0.015199999989219233	0.0025199032230608	0.023899805613454624	1.e-6	0.015199999999445976	0.002519998257872088	0.023899805600961502	1.e-6	0.015199999998557012	0.002519999986633958	0.023899896753024168	1.e-6	0.015199996906137941	0.0025198086955327873	0.023899808694409778	1.e-6	0.015199999999445978	0.0025199999532330014	0.023899805600569715	1.e-6	0.015199999999321704	0.002519805647268949	0.023899805623820807	1.e-6	0.015199999950020502	0.0025198056516298234	0.023899805649980267	1.e-6	0.015199999999437625	0.0025198069299049827	0.023899805601937763	1.e-6	0.015199999996638914	0.0025198056062073347	0.023899805603421833	1.e-6	0.015199999999284123	0.0025200000005096966	0.023899805611928848	1.e-6	0.015199871322020012	0.0025199593345076343	0.023899946782287764	1.e-6	0.015199999999444443	0.0025199028302273965	0.023899805600595313	1.e-6	0.015199999997046465	0.0025198890009662128	0.0238998056029716	1.e-6	0.015199999970526493	0.002519901166790663	0.023899805653771273	1.e-6	0.015199999999147526	0.002519806344804203	0.02389980566101231	1.e-6	0.015199999999435337	0.0025199027071389933	0.023899805600564664	1.e-6	0.015199997633256562	0.002519807973869488	0.023899807969618252	1.e-6	0.015199999999445959	0.002519902956075116	0.02389980560055644	1.e-6	0.015199999999159872	0.0025198850868539155	0.023899805601028282	1.e-6	0.015199990961868162	0.002519860887491069	0.02389981495790649	1.e-6	0.015199999975556636	0.0025199732444412125	0.023899805624744114	1.e-6	0.015199999998261942	0.0025198722690592565	0.02389980560196478	1.e-6	0.015199999999442323	0.0025200000004424335	0.02389980595593098	1.e-6	0.015199998888855369	0.0025199043416196153	0.023899807693351822	1.e-6	0.015199999997687614	0.0025199999256160953	0.023899805833146066	1.e-6	0.015199999944837884	0.002519806984495325	0.023899806051486196	1.e-6	0.015199999974369723	0.0025199606401110084	0.023899805846483	1.e-6	0.015199997677263656	0.0025198079812265945	0.02389980794888879	1.e-6	0.015199999996703814	0.0025198062623077015	0.023899805613503546	1.e-6	0.01519999874990213	0.0025199056037444978	0.023899806850132627	1.e-6	0.015199999998284133	0.0025199108797670086	0.023899805601723317	1.e-6	0.015199999982836103	0.002519850839970965	0.023899807953836515	1.e-6	0.015199999999445964	0.0025199028008706737	0.02389980560055406	1.e-6	0.015199999999444736	0.002519999366101109	0.023899817841239634	1.e-6	0.01519999997315728	0.0025199994820469785	0.023899805627442854	1.e-6	0.015199999998015844	0.002519805641605482	0.023899805607396706	1.e-6	0.01519999999944597	0.002519902096955392	0.023899805600574964	1.e-6	0.015199999987449645	0.002519895639606562	0.023899805614528105	1.e-6	0.015199982217537423	0.0025199996913429406	0.023899823383799493	1.e-6	0.015199999998293247	0.0025199729476874625	0.023899825246729674	1.e-6	0.01519999999896076	0.00251990289068344	0.023899805601040967	1.e-6	0.015199999999443967	0.002519996864359168	0.023899805600747528	1.e-6	0.015199999999445664	0.0025198056006929368	0.02389980560055434	1.e-6	0.015199999999416501	0.0025199202819547123	0.02389980560064352	1.e-6	0.015199999695789597	0.002519805905339232	0.023899805904526745	1.e-6	0.015199999999437042	0.0025199025787307414	0.023899805753387293	1.e-6	0.015199999960655155	0.002519993335981941	0.023899846761500983	1.e-6	0.01519998315994276	0.002519909146801952	0.02389982354139652	1.e-6	0.015199999999445915	0.0025199441603522325	0.02389980560063882	1.e-6	0.0151999998364369	0.002519999974609879	0.023899902672010396	1.e-6	0.015199999999445728	0.0025198056180672896	0.02389980560055429	1.e-6	0.015199999889653513	0.002519999260583183	0.02389980572092789	1.e-6	0.015199938659267772	0.0025199997542962324	0.02389987535107656	1.e-6	0.01519982560198096	0.0025199799981893618	0.023899979998026136	1.e-6	0.015199997616906678	0.002519904005936668	0.02389980798588608	1.e-6	0.01519999969343482	0.002519918182722409	0.023899808115742816	1.e-6	0.015199999999064932	0.0025198362112083088	0.023899805604556356	1.e-6	0.015199996989468325	0.0025198328219984568	0.02389982622854989
1.2589254117941661e-6	0.015199805658336686	0.002519999971164901	0.02389999994166522	1.2589254117941661e-6	0.015199999999033579	0.0025200000005913643	0.023899805602604	1.2589254117941661e-6	0.015199999999302528	0.002519999999992691	0.023899805600728057	1.2589254117941661e-6	0.01519999999928387	0.002519902993772562	0.023899805600717156	1.2589254117941661e-6	0.01519999992100968	0.0025200000003343247	0.023899901894535443	1.2589254117941661e-6	0.015199984567074583	0.002519840332421514	0.02389982774891975	1.2589254117941661e-6	0.015199999999265298	0.0025199965761287233	0.023899805603558227	1.2589254117941661e-6	0.015199999999302513	0.0025199028524900023	0.02389980560069757	1.2589254117941661e-6	0.015199998592069651	0.0025198070167018432	0.02389980700793035	1.2589254117941661e-6	0.015199999996567277	0.0025199192966111356	0.0238998065927025	1.2589254117941661e-6	0.015199999878630643	0.002519806037186834	0.02389980572289725	1.2589254117941661e-6	0.015199999997073848	0.00251990283859122	0.023899805602926198	1.2589254117941661e-6	0.01519999180661198	0.0025199833941544395	0.023899815803600663	1.2589254117941661e-6	0.015199999997576196	0.002519805814388663	0.023899805602529682	1.2589254117941661e-6	0.015199832074937551	0.0025199737930602264	0.02389997366112213	1.2589254117941661e-6	0.015199999922392045	0.002519903325636741	0.023899806020257812	1.2589254117941661e-6	0.015199999999244193	0.002519995638382012	0.02389980560087319	1.2589254117941661e-6	0.015199999582695098	0.0025198063730004737	0.023899806296604837	1.2589254117941661e-6	0.015199999999302424	0.002519805637892933	0.023899805600698584	1.2589254117941661e-6	0.015199807239302572	0.0025200000005688302	0.02389999916311239	1.2589254117941661e-6	0.015199999999302514	0.0025200000006954256	0.023899805618594682	1.2589254117941661e-6	0.015199982366595649	0.002519823276456673	0.023899823233544164	1.2589254117941661e-6	0.0151999999992441	0.00251999999952949	0.023899805600798307	1.2589254117941661e-6	0.01519999999928907	0.0025199420428463548	0.02389980663899622	1.2589254117941661e-6	0.015199999872112555	0.002519902609237432	0.02389980578180392	1.2589254117941661e-6	0.015199999998260279	0.0025199992999091264	0.023899901472117426	1.2589254117941661e-6	0.015199999998151298	0.0025199999127485558	0.023899805601863246	1.2589254117941661e-6	0.015199999646449415	0.0025198073541510407	0.023899806002548714	1.2589254117941661e-6	0.015199999900845957	0.002520000000555965	0.023899805701421785	1.2589254117941661e-6	0.0151999974448474	0.002519855832025054	0.02389980815515276	1.2589254117941661e-6	0.015199994883954153	0.0025199987623157126	0.023899875178964244	1.2589254117941661e-6	0.015199999989075784	0.00251990322320425	0.02389980561359807	1.2589254117941661e-6	0.015199999999302525	0.0025199982580155385	0.023899805601104954	1.2589254117941661e-6	0.015199999998413562	0.0025199999867774082	0.023899896753167615	1.2589254117941661e-6	0.01519999690599449	0.0025198086956762377	0.023899808694553226	1.2589254117941661e-6	0.015199999999302528	0.0025199999533764518	0.023899805600713163	1.2589254117941661e-6	0.015199999999178255	0.0025198056474123993	0.02389980562396426	1.2589254117941661e-6	0.015199999949877053	0.0025198056517732738	0.023899805650123715	1.2589254117941661e-6	0.015199999999294176	0.002519806930048433	0.023899805602081214	1.2589254117941661e-6	0.015199999996495463	0.002519805606350785	0.02389980560356528	1.2589254117941661e-6	0.015199999999140673	0.002520000000653147	0.0238998056120723	1.2589254117941661e-6	0.01519987132187656	0.0025199593346510846	0.023899946782431212	1.2589254117941661e-6	0.015199999999301012	0.0025199028303708286	0.023899805600738747	1.2589254117941661e-6	0.015199999996903014	0.002519889001109663	0.02389980560311505	1.2589254117941661e-6	0.015199999970383044	0.0025199011669341134	0.023899805653914724	1.2589254117941661e-6	0.015199999999004074	0.0025198063449476528	0.02389980566115576	1.2589254117941661e-6	0.015199999999291888	0.0025199027072824436	0.02389980560070811	1.2589254117941661e-6	0.01519999763311311	0.002519807974012938	0.0238998079697617	1.2589254117941661e-6	0.015199999999302508	0.0025199029562185658	0.02389980560069989	1.2589254117941661e-6	0.01519999999901642	0.0025198850869973654	0.02389980560117173	1.2589254117941661e-6	0.015199990961724712	0.0025198608876345193	0.02389981495804994	1.2589254117941661e-6	0.015199999975413185	0.0025199732445846624	0.02389980562488756	1.2589254117941661e-6	0.015199999998118493	0.002519872269202707	0.02389980560210823	1.2589254117941661e-6	0.015199999999298872	0.002520000000585884	0.023899805956074428	1.2589254117941661e-6	0.015199998888711918	0.0025199043417630652	0.02389980769349527	1.2589254117941661e-6	0.015199999997544162	0.002519999925759545	0.023899805833289513	1.2589254117941661e-6	0.015199999944694433	0.0025198069846387753	0.023899806051629644	1.2589254117941661e-6	0.015199999974226273	0.0025199606402544587	0.023899805846626453	1.2589254117941661e-6	0.015199997677120205	0.002519807981370045	0.023899807949032237	1.2589254117941661e-6	0.015199999996560363	0.0025198062624511514	0.023899805613646994	1.2589254117941661e-6	0.015199998749758678	0.002519905603887948	0.023899806850276074	1.2589254117941661e-6	0.015199999998140682	0.0025199108799104585	0.023899805601866764	1.2589254117941661e-6	0.015199999982692653	0.0025198508401144152	0.023899807953979963	1.2589254117941661e-6	0.015199999999302513	0.002519902801014124	0.02389980560069751	1.2589254117941661e-6	0.015199999999301285	0.0025199993662445587	0.02389981784138308	1.2589254117941661e-6	0.015199999973013828	0.0025199994821904284	0.023899805627586302	1.2589254117941661e-6	0.015199999997872393	0.0025198056417489317	0.023899805607540153	1.2589254117941661e-6	0.015199999999302518	0.002519902097098842	0.023899805600718412	1.2589254117941661e-6	0.015199999987306194	0.0025198956397500124	0.023899805614671553	1.2589254117941661e-6	0.015199982217393973	0.002519999691486391	0.02389982338394294	1.2589254117941661e-6	0.015199999998149796	0.002519972947830913	0.023899825246873122	1.2589254117941661e-6	0.015199999998817309	0.0025199028908268898	0.023899805601184414	1.2589254117941661e-6	0.015199999999300518	0.0025199968645026184	0.02389980560089098	1.2589254117941661e-6	0.015199999999302213	0.0025198056008363867	0.023899805600697786	1.2589254117941661e-6	0.015199999999273052	0.0025199202820981627	0.02389980560078697	1.2589254117941661e-6	0.015199999695646145	0.002519805905482682	0.023899805904670193	1.2589254117941661e-6	0.015199999999293591	0.0025199025788741913	0.02389980575353074	1.2589254117941661e-6	0.015199999960511704	0.002519993336125391	0.02389984676164443	1.2589254117941661e-6	0.01519998315979931	0.002519909146945402	0.023899823541539966	1.2589254117941661e-6	0.015199999999302466	0.002519944160495683	0.023899805600782267	1.2589254117941661e-6	0.01519999983629345	0.002519999974753329	0.023899902672153847	1.2589254117941661e-6	0.015199999999302277	0.00251980561821074	0.023899805600697738	1.2589254117941661e-6	0.015199999889510069	0.0025199992607266276	0.023899805721071334	1.2589254117941661e-6	0.015199938659124322	0.002519999754439682	0.023899875351220012	1.2589254117941661e-6	0.015199825601837509	0.0025199799983328117	0.023899979998169583	1.2589254117941661e-6	0.015199997616763227	0.0025199040060801185	0.023899807986029527	1.2589254117941661e-6	0.015199999693291371	0.002519918182865859	0.023899808115886267	1.2589254117941661e-6	0.015199999998921482	0.0025198362113517587	0.023899805604699807	1.2589254117941661e-6	0.015199996989324876	0.0025198328221419067	0.02389982622869334
1.584893192461114e-6	0.01519980565815609	0.002519999971345496	0.023899999941845815	1.584893192461114e-6	0.015199999998852983	0.002520000000771959	0.023899805602784596	1.584893192461114e-6	0.015199999999121935	0.002520000000173284	0.02389980560090865	1.584893192461114e-6	0.015199999999103275	0.002519902993953157	0.02389980560089775	1.584893192461114e-6	0.015199999920829087	0.0025200000005149176	0.02389990189471604	1.584893192461114e-6	0.015199984566893988	0.0025198403326021084	0.023899827749100343	1.584893192461114e-6	0.015199999999084706	0.0025199965763093145	0.02389980560373882	1.584893192461114e-6	0.01519999999912192	0.002519902852670596	0.023899805600878166	1.584893192461114e-6	0.015199998591889056	0.0025198070168824375	0.023899807008110945	1.584893192461114e-6	0.015199999996386701	0.0025199192967917134	0.02389980659288308	1.584893192461114e-6	0.01519999987845005	0.002519806037367428	0.023899805723077844	1.584893192461114e-6	0.015199999996893252	0.002519902838771814	0.023899805603106793	1.584893192461114e-6	0.015199991806431386	0.002519983394335033	0.023899815803781258	1.584893192461114e-6	0.015199999997395602	0.002519805814569256	0.023899805602710274	1.584893192461114e-6	0.015199832074756961	0.002519973793240817	0.023899973661302722	1.584893192461114e-6	0.015199999922211452	0.0025199033258173345	0.023899806020438407	1.584893192461114e-6	0.0151999999990636	0.0025199956385626053	0.023899805601053783	1.584893192461114e-6	0.015199999582514504	0.002519806373181067	0.02389980629678543	1.584893192461114e-6	0.015199999999121833	0.0025198056380735263	0.023899805600879176	1.584893192461114e-6	0.015199807239121978	0.0025200000007494236	0.02389999916329298	1.584893192461114e-6	0.015199999999121921	0.002520000000876019	0.023899805618775274	1.584893192461114e-6	0.015199982366415055	0.002519823276637266	0.023899823233724755	1.584893192461114e-6	0.015199999999063506	0.002519999999710083	0.023899805600978898	1.584893192461114e-6	0.015199999999108477	0.002519942043026948	0.02389980663917681	1.584893192461114e-6	0.015199999871931961	0.0025199026094180252	0.02389980578198451	1.584893192461114e-6	0.015199999998079685	0.0025199993000897193	0.023899901472298018	1.584893192461114e-6	0.015199999997970705	0.0025199999129291487	0.023899805602043838	1.584893192461114e-6	0.015199999646268822	0.002519807354331634	0.023899806002729305	1.584893192461114e-6	0.015199999900665364	0.0025200000007365585	0.023899805701602377	1.584893192461114e-6	0.015199997444666807	0.0025198558322056474	0.023899808155333352	1.584893192461114e-6	0.01519999488377356	0.002519998762496306	0.023899875179144835	1.584893192461114e-6	0.01519999998889519	0.002519903223384843	0.023899805613778666	1.584893192461114e-6	0.015199999999121932	0.002519998258196132	0.023899805601285545	1.584893192461114e-6	0.015199999998232969	0.002519999986958001	0.02389989675334821	1.584893192461114e-6	0.015199996905813898	0.0025198086958568306	0.02389980869473382	1.584893192461114e-6	0.015199999999121935	0.0025199999535570447	0.023899805600893758	1.584893192461114e-6	0.015199999998997661	0.0025198056475929926	0.02389980562414485	1.584893192461114e-6	0.015199999949696459	0.0025198056519538667	0.02389980565030431	1.584893192461114e-6	0.015199999999113582	0.0025198069302290265	0.023899805602261806	1.584893192461114e-6	0.01519999999631487	0.002519805606531378	0.023899805603745876	1.584893192461114e-6	0.01519999999896008	0.0025200000008337403	0.02389980561225289	1.584893192461114e-6	0.015199871321695967	0.0025199593348316776	0.023899946782611807	1.584893192461114e-6	0.015199999999120441	0.0025199028305513986	0.023899805600919314	1.584893192461114e-6	0.01519999999672242	0.0025198890012902565	0.023899805603295642	1.584893192461114e-6	0.01519999997020245	0.0025199011671147064	0.023899805654095316	1.584893192461114e-6	0.015199999998823481	0.002519806345128246	0.023899805661336353	1.584893192461114e-6	0.015199999999111294	0.0025199027074630366	0.023899805600888707	1.584893192461114e-6	0.015199997632932517	0.0025198079741935307	0.023899807969942295	1.584893192461114e-6	0.015199999999121914	0.0025199029563991587	0.023899805600880484	1.584893192461114e-6	0.015199999998835827	0.0025198850871779583	0.023899805601352325	1.584893192461114e-6	0.015199990961544119	0.0025198608878151123	0.02389981495823053	1.584893192461114e-6	0.015199999975232591	0.0025199732447652554	0.023899805625068157	1.584893192461114e-6	0.0151999999979379	0.0025198722693832998	0.023899805602288823	1.584893192461114e-6	0.01519999999911828	0.002520000000766477	0.023899805956255023	1.584893192461114e-6	0.015199998888531324	0.002519904341943658	0.023899807693675865	1.584893192461114e-6	0.015199999997363569	0.002519999925940138	0.02389980583347011	1.584893192461114e-6	0.01519999994451384	0.0025198069848193683	0.02389980605181024	1.584893192461114e-6	0.01519999997404568	0.0025199606404350517	0.023899805846807044	1.584893192461114e-6	0.015199997676939612	0.002519807981550638	0.023899807949212832	1.584893192461114e-6	0.015199999996379769	0.0025198062626317448	0.02389980561382759	1.584893192461114e-6	0.015199998749578085	0.002519905604068541	0.02389980685045667	1.584893192461114e-6	0.015199999997960088	0.002519910880091052	0.02389980560204736	1.584893192461114e-6	0.01519999998251206	0.002519850840295008	0.023899807954160558	1.584893192461114e-6	0.01519999999912192	0.002519902801194717	0.023899805600878104	1.584893192461114e-6	0.015199999999120691	0.0025199993664251517	0.023899817841563677	1.584893192461114e-6	0.015199999972833235	0.0025199994823710214	0.023899805627766897	1.584893192461114e-6	0.0151999999976918	0.0025198056419295247	0.02389980560772075	1.584893192461114e-6	0.015199999999121926	0.002519902097279435	0.023899805600899007	1.584893192461114e-6	0.0151999999871256	0.0025198956399306053	0.023899805614852148	1.584893192461114e-6	0.01519998221721338	0.002519999691666984	0.023899823384123536	1.584893192461114e-6	0.015199999997969203	0.0025199729480115058	0.023899825247053717	1.584893192461114e-6	0.015199999998636715	0.0025199028910074827	0.02389980560136501	1.584893192461114e-6	0.015199999999119924	0.002519996864683212	0.02389980560107157	1.584893192461114e-6	0.01519999999912162	0.0025198056010169796	0.02389980560087838	1.584893192461114e-6	0.015199999999092459	0.0025199202822787556	0.023899805600967564	1.584893192461114e-6	0.015199999695465552	0.002519805905663275	0.023899805904850788	1.584893192461114e-6	0.015199999999112998	0.0025199025790547842	0.023899805753711336	1.584893192461114e-6	0.01519999996033111	0.002519993336305984	0.023899846761825026	1.584893192461114e-6	0.015199983159618716	0.0025199091471259953	0.02389982354172056	1.584893192461114e-6	0.015199999999121873	0.0025199441606762758	0.023899805600962862	1.584893192461114e-6	0.015199999836112857	0.0025199999749339216	0.02389990267233444	1.584893192461114e-6	0.015199999999121685	0.002519805618391333	0.023899805600878333	1.584893192461114e-6	0.015199999889329482	0.0025199992609072136	0.02389980572125192	1.584893192461114e-6	0.01519993865894373	0.0025199997546202745	0.023899875351400604	1.584893192461114e-6	0.015199825601656917	0.0025199799985134047	0.02389997999835018	1.584893192461114e-6	0.015199997616582635	0.0025199040062607115	0.023899807986210123	1.584893192461114e-6	0.01519999969311078	0.0025199181830464516	0.02389980811606686	1.584893192461114e-6	0.015199999998740889	0.002519836211532352	0.0238998056048804	1.584893192461114e-6	0.015199996989144282	0.002519832822322499	0.023899826228873933
