Priority	f6p[c]	g6p[c]	pep[c]	param_PGI_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.00002466576574931338	0	0.00013	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.17411239489546845
1	0.00007800000000000007	0	0.00013	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.4000000000000002
1	0.00024665765749313384	0	0.00013	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.6782688399674107
1	0.0007800000000000007	0	0.00013	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.8695652173913044
1	7.800000000000007e-6	0	0.00026	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.04761904761904766
1	0.00002466576574931338	0	0.00026	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.13652705949581442
1	0.00007800000000000007	0	0.00026	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.33333333333333354
1	0.00024665765749313384	0	0.00026	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.6125741132772071
1	0.0007800000000000007	0	0.00026	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.8333333333333334
1	7.800000000000007e-6	0	0.00052	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.03225806451612906
1	0.00002466576574931338	0	0.00052	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.09535767393826004
1	0.00007800000000000007	0	0.00052	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.25000000000000017
1	0.00024665765749313384	0	0.00052	1	7.2	23	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGI_Final_typeII/input/relRateRev_f6p.txt"	0.5131670194948623
