Priority	adp[c]	atp[c]	skm[c]	skm5p[c]	param_SHKK_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	0.0007924465962305569	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.13680688860321005
1	0	1	0.0012559432157547897	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.2007600089131017
1	0	1	0.0019905358527674863	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.2847472489508014
1	0	1	0.0031547867224009647	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.38686317984685686
1	0	1	0.004999999999999999	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.5
1	0	1	0.007924465962305569	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.6131368201531431
1	0	1	0.012559432157547902	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.7152527510491986
1	0	1	0.019905358527674864	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.7992399910868982
1	0	1	0.03154786722400966	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.8631931113967901
1	0	1	0.049999999999999996	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_SHKK_Final_typeII/input/relRateFor_skm.txt"	0.9090909090909091
