Priority	2dda7p[c]	3dhq[c]	pi[c]	param_DHQS_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0	0	1	6.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	48.04497735925726
1	1	0	0	1	6.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	48.04497735925726
1	1	0	0	1	6.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	48.04497735925726
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
1	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/absRateFor.txt"	78.
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
3	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_DHQS_Final_typeII/input/customRatio_1.txt"	0.000019021938248
