Priority	2cpr5p[c]	pran[c]	param_PRAIi_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/haldaneRatio_1.txt"	38.71017608
1	0	4.699999999999996e-7	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.09090909090909084
1	0	7.44899800456723e-7	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.13680688860320994
1	0	1.1805866228095025e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.20076000891310175
1	0	1.8711037016014378e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.2847472489508015
1	0	2.9654995190569044e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.38686317984685664
1	0	4.699999999999996e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.49999999999999983
1	0	7.44899800456723e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.613136820153143
1	0	0.000011805866228095026	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PRAIi_typeII/input/relRateFor_pran.txt"	0.7152527510491986
