Priority	3pg[c]	3php[c]	nad[c]	nadh[c]	ser__L[c]	param_PGCD_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	8.038036580830668e-6	0	0.00025	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.7152527510491988
1	0	0.00001273942945771191	0	0.00025	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.7992399910868982
1	0	0.00002019063502336619	0	0.00025	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.86319311139679
1	0	0.00003200000000000002	0	0.00025	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.9090909090909093
1	0.00004900000000000002	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.09090909090909095
1	0.00007765976643059463	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.1368068886032101
1	0.00012308243514396947	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.20076000891310178
1	0.0001950725135712138	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.28474724895080156
1	0.0003091690987952947	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.38686317984685703
1	0.0004900000000000002	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.5000000000000001
1	0.0007765976643059463	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.6131368201531433
1	0.0012308243514396959	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.7152527510491988
1	0.0019507251357121379	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.7992399910868982
1	0.003091690987952947	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.8631931113967901
1	0.0049000000000000024	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_3pg.txt"	0.9090909090909092
1	0	0.00009	0	0.000012000000000000007	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.09090909090909095
1	0	0.00009	0	0.00001901871830953338	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.13680688860321014
1	0	0.00009	0	0.000030142637178115006	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.20076000891310197
1	0	0.00009	0	0.00004777286046641966	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.28474724895080133
1	0	0.00009	0	0.0000757148813376232	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.386863179846857
1	0	0.00009	0	0.00012000000000000008	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.5000000000000002
1	0	0.00009	0	0.00019018718309533382	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.6131368201531432
1	0	0.00009	0	0.00030142637178115007	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.7152527510491989
1	0	0.00009	0	0.0004777286046641971	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.7992399910868982
1	0	0.00009	0	0.0007571488133762321	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.86319311139679
1	0	0.00009	0	0.0012000000000000008	0	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_nadh.txt"	0.9090909090909091
