Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	2pg[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.000033282757041683415	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.6131368201531432
1	0	0.000052749615061701256	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7152527510491988
1	0	0.0000836025058162344	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7992399910868982
1	0	0.00013250104234084062	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.86319311139679
1	0	0.00021000000000000012	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.9090909090909092
1	0	1	5.e-7	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.0909090909090909
1	0	1	7.924465962305569e-7	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321003
1	0	1	1.255943215754791e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310183
1	0	1	1.9905358527674846e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508012
1	0	1	3.1547867224009644e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468568
1	0	1	4.9999999999999996e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5
1	0	1	7.924465962305569e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531431
1	0	1	0.00001255943215754791	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	1	0.000019905358527674844	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.799239991086898
1	0	1	0.000031547867224009646	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
1	0	1	0.000049999999999999996	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	1	5.300000000000001e-7	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909093
1	0	1	8.399933920043907e-7	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321008
1	0	1	1.3312998087000789e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310192
1	0	1	2.1099680039335385e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.28474724895080167
1	0	1	3.3440739257450236e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685686
1	0	1	5.300000000000002e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000001
1	0	1	8.399933920043907e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	1	0.00001331299808700079	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491989
1	0	1	0.000021099680039335386	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868986
1	0	1	0.000033440739257450236	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.000053000000000000014	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	1	1.e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.0909090909090909
1	0	1	1.584893192461114e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321005
