t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1
0.	1.4800972245346634e-15	0.	1.7448775869223809e-16	0.	1.1728697567008545e-9	0.	1.4820859210153392e-9	0.	4.989680150750943e-7	0.	1.7362208226804864e-8	0.	5.520216595482114e-7	0.	5.119336587729402e-7	0.	5.530483351994714e-7	0.	5.256844459765776e-7	0.	5.340150259958415e-7	0.	5.299893983715994e-7	0.	5.535212403949181e-7	0.	3.7192558802953954e-8	0.	1.4754951677122053e-9	0.	1.1970969467182395e-7	0.	9.107337600954155e-9	0.	3.4651151829479144e-10	0.	1.956610670182353e-15	0.	4.666642152752032e-7	0.	6.38724000429503e-9	0.	1.764893070363335e-9	0.	2.179173106420147e-12	0.	2.1334037010111107e-10	0.	1.7884693405896544e-7	0.	5.228831503952997e-8	0.	8.893096387201895e-9	0.	1.0039513936622133e-11	0.	2.277014650921767e-13	0.	5.104552125857647e-7	0.	4.197720323194311e-7	0.	1.1865152826880591e-14	0.	4.990904280031177e-15	0.	3.7233667567433274e-7	0.	5.183220396778275e-7	0.	3.686120997175006e-9	0.	6.37735829896056e-10	0.	2.6190589264746964e-11	0.	4.85459797942911e-7	0.	1.8708895623723933e-17	0.	2.5344101784825823e-8	0.	5.520692525741167e-7	0.	5.457816547463613e-7	0.	4.688543068175782e-7	0.	7.88215648809318e-11	0.	5.465698272420935e-9	0.	5.016805200746566e-7	0.	2.1221895350366598e-12	0.	2.0771806397663016e-8	0.	5.50474577201029e-7	0.	5.506492563957588e-7	0.	1.5124331023778968e-8	0.	1.6970907728151873e-10	0.	5.240853061321148e-7	0.	5.025251602991619e-7	0.	5.536132162798897e-7	0.	5.535226073170846e-7	0.	5.517276754033892e-7	0.	1.1001186023090691e-7	0.	3.940326393458101e-7	0.	3.1201887685467934e-7	0.	5.960807969163949e-11	0.	5.19098838045464e-7	0.	1.4459077472037535e-9	0.	1.4732097365927736e-8	0.	2.1314947453624972e-10	0.	1.1924463741429478e-10	0.	2.7382069761563914e-12	0.	3.047205053219079e-7	0.	3.3062046480781823e-13	0.	5.088102087946197e-7	0.	7.4193002394538425e-9	0.	1.1403935579138227e-7	0.	9.943892926675844e-9	0.	3.697949629108372e-8	0.	5.687553392289268e-12	0.	5.645779371692875e-9	0.	3.3548504467134917e-7	0.	2.284409799655121e-11	0.	9.50178576227687e-10	0.	3.0010956996501226e-9	0.	4.542202824525149e-7	0.	4.395301749771948e-7	0.	8.391919568436016e-9	0.	4.783377017216818e-7	0.	1.3715648982103746e-8	0.	4.734217089987744e-7	0.	1.9627125421908726e-10	0.	5.536865964491596e-7
1.e-6	1.4800972245346634e-15	1.e-6	1.7448775869223809e-16	1.e-6	1.1728697567008584e-9	1.e-6	1.4820859210142343e-9	1.e-6	4.989680150723267e-7	1.e-6	1.7362208226753788e-8	1.e-6	5.520216595480741e-7	1.e-6	5.119336587700952e-7	1.e-6	5.530483351993945e-7	1.e-6	5.256844459749198e-7	1.e-6	5.340150259946188e-7	1.e-6	5.299893983659302e-7	1.e-6	5.535212403948386e-7	1.e-6	3.71925588027552e-8	1.e-6	1.4754951677116713e-9	1.e-6	1.1970969467019127e-7	1.e-6	9.107337600933116e-9	1.e-6	3.46511518294731e-10	1.e-6	1.956610670182353e-15	1.e-6	4.666642152669051e-7	1.e-6	6.387240004283476e-9	1.e-6	1.764893070362811e-9	1.e-6	2.179173106420148e-12	1.e-6	2.133403701010881e-10	1.e-6	1.788469340560291e-7	1.e-6	5.228831503788572e-8	1.e-6	8.89309638718834e-9	1.e-6	1.0039513936622128e-11	1.e-6	2.2770146509217676e-13	1.e-6	5.104552125761244e-7	1.e-6	4.197720323109429e-7	1.e-6	1.1865152826880591e-14	1.e-6	4.990904280031177e-15	1.e-6	3.7233667566893423e-7	1.e-6	5.183220396759029e-7	1.e-6	3.6861209971766617e-9	1.e-6	6.37735829895922e-10	1.e-6	2.6190589264746622e-11	1.e-6	4.854597979396306e-7	1.e-6	1.8708895623723933e-17	1.e-6	2.5344101784556552e-8	1.e-6	5.520692525736655e-7	1.e-6	5.457816547458651e-7	1.e-6	4.688543068134225e-7	1.e-6	7.882156488093157e-11	1.e-6	5.4656982724063265e-9	1.e-6	5.016805200705818e-7	1.e-6	2.1221895350366614e-12	1.e-6	2.0771806397460185e-8	1.e-6	5.504745772008021e-7	1.e-6	5.506492563955149e-7	1.e-6	1.5124331023667467e-8	1.e-6	1.6970907728152206e-10	1.e-6	5.240853061251874e-7	1.e-6	5.0252516028849e-7	1.e-6	5.536132162798479e-7	1.e-6	5.535226073170353e-7	1.e-6	5.51727675402871e-7	1.e-6	1.10011860224904e-7	1.e-6	3.9403263934054825e-7	1.e-6	3.120188768494471e-7	1.e-6	5.960807969163772e-11	1.e-6	5.190988380435759e-7	1.e-6	1.4459077472025018e-9	1.e-6	1.4732097365916498e-8	1.e-6	2.131494745362452e-10	1.e-6	1.1924463741429308e-10	1.e-6	2.7382069761563922e-12	1.e-6	3.0472050531674244e-7	1.e-6	3.3062046480781823e-13	1.e-6	5.088102087922705e-7	1.e-6	7.419300239444917e-9	1.e-6	1.1403935578661579e-7	1.e-6	9.943892926605545e-9	1.e-6	3.697949629087782e-8	1.e-6	5.687553392289272e-12	1.e-6	5.6457793716952994e-9	1.e-6	3.354850446659666e-7	1.e-6	2.2844097996550937e-11	1.e-6	9.501785762273068e-10	1.e-6	3.0010956996486023e-9	1.e-6	4.542202824482803e-7	1.e-6	4.3953017495915503e-7	1.e-6	8.39191956840116e-9	1.e-6	4.783377017067712e-7	1.e-6	1.3715648982011349e-8	1.e-6	4.734217089950913e-7	1.e-6	1.962712542190682e-10	1.e-6	5.536865964491217e-7
1.2589254117941661e-6	1.4800972245346634e-15	1.2589254117941661e-6	1.7448775869223809e-16	1.2589254117941661e-6	1.172869756700859e-9	1.2589254117941661e-6	1.4820859210139479e-9	1.2589254117941661e-6	4.989680150716102e-7	1.2589254117941661e-6	1.736220822674057e-8	1.2589254117941661e-6	5.520216595480387e-7	1.2589254117941661e-6	5.119336587693583e-7	1.2589254117941661e-6	5.530483351993744e-7	1.2589254117941661e-6	5.256844459744901e-7	1.2589254117941661e-6	5.340150259943022e-7	1.2589254117941661e-6	5.299893983644628e-7	1.2589254117941661e-6	5.535212403948178e-7	1.2589254117941661e-6	3.7192558802703755e-8	1.2589254117941661e-6	1.4754951677115324e-9	1.2589254117941661e-6	1.1970969466976857e-7	1.2589254117941661e-6	9.107337600927668e-9	1.2589254117941661e-6	3.4651151829471534e-10	1.2589254117941661e-6	1.956610670182353e-15	1.2589254117941661e-6	4.666642152647567e-7	1.2589254117941661e-6	6.387240004280485e-9	1.2589254117941661e-6	1.7648930703626758e-9	1.2589254117941661e-6	2.179173106420148e-12	1.2589254117941661e-6	2.1334037010108217e-10	1.2589254117941661e-6	1.7884693405526886e-7	1.2589254117941661e-6	5.2288315037459995e-8	1.2589254117941661e-6	8.893096387184831e-9	1.2589254117941661e-6	1.003951393662213e-11	1.2589254117941661e-6	2.2770146509217676e-13	1.2589254117941661e-6	5.104552125736283e-7	1.2589254117941661e-6	4.197720323087449e-7	1.2589254117941661e-6	1.1865152826880591e-14	1.2589254117941661e-6	4.990904280031177e-15	1.2589254117941661e-6	3.7233667566753647e-7	1.2589254117941661e-6	5.183220396754044e-7	1.2589254117941661e-6	3.686120997177088e-9	1.2589254117941661e-6	6.377358298958875e-10	1.2589254117941661e-6	2.619058926474653e-11	1.2589254117941661e-6	4.854597979387812e-7	1.2589254117941661e-6	1.8708895623723933e-17	1.2589254117941661e-6	2.534410178448684e-8	1.2589254117941661e-6	5.520692525735488e-7	1.2589254117941661e-6	5.457816547457367e-7	1.2589254117941661e-6	4.688543068123462e-7	1.2589254117941661e-6	7.882156488093147e-11	1.2589254117941661e-6	5.465698272402543e-9	1.2589254117941661e-6	5.016805200695271e-7	1.2589254117941661e-6	2.1221895350366618e-12	1.2589254117941661e-6	2.0771806397407672e-8	1.2589254117941661e-6	5.504745772007431e-7	1.2589254117941661e-6	5.506492563954521e-7	1.2589254117941661e-6	1.5124331023638602e-8	1.2589254117941661e-6	1.6970907728152286e-10	1.2589254117941661e-6	5.240853061233938e-7	1.2589254117941661e-6	5.025251602857268e-7	1.2589254117941661e-6	5.536132162798369e-7	1.2589254117941661e-6	5.535226073170223e-7	1.2589254117941661e-6	5.517276754027367e-7	1.2589254117941661e-6	1.1001186022334967e-7	1.2589254117941661e-6	3.940326393391857e-7	1.2589254117941661e-6	3.1201887684809217e-7	1.2589254117941661e-6	5.960807969163723e-11	1.2589254117941661e-6	5.190988380430875e-7	1.2589254117941661e-6	1.4459077472021775e-9	1.2589254117941661e-6	1.4732097365913595e-8	1.2589254117941661e-6	2.1314947453624406e-10	1.2589254117941661e-6	1.192446374142926e-10	1.2589254117941661e-6	2.7382069761563934e-12	1.2589254117941661e-6	3.0472050531540486e-7	1.2589254117941661e-6	3.3062046480781823e-13	1.2589254117941661e-6	5.088102087916625e-7	1.2589254117941661e-6	7.4193002394426036e-9	1.2589254117941661e-6	1.1403935578538165e-7	1.2589254117941661e-6	9.94389292658734e-9	1.2589254117941661e-6	3.6979496290824497e-8	1.2589254117941661e-6	5.687553392289274e-12	1.2589254117941661e-6	5.645779371695929e-9	1.2589254117941661e-6	3.3548504466457296e-7	1.2589254117941661e-6	2.2844097996550876e-11	1.2589254117941661e-6	9.501785762272081e-10	1.2589254117941661e-6	3.001095699648208e-9	1.2589254117941661e-6	4.54220282447184e-7	1.2589254117941661e-6	4.39530174954484e-7	1.2589254117941661e-6	8.391919568392134e-9	1.2589254117941661e-6	4.783377017029103e-7	1.2589254117941661e-6	1.3715648981987417e-8	1.2589254117941661e-6	4.7342170899413786e-7	1.2589254117941661e-6	1.9627125421906335e-10	1.2589254117941661e-6	5.536865964491119e-7
1.584893192461114e-6	1.4800972245346634e-15	1.584893192461114e-6	1.7448775869223809e-16	1.584893192461114e-6	1.1728697567008605e-9	1.584893192461114e-6	1.482085921013588e-9	1.584893192461114e-6	4.989680150707083e-7	1.584893192461114e-6	1.7362208226723906e-8	1.584893192461114e-6	5.520216595479942e-7	1.584893192461114e-6	5.119336587684309e-7	1.584893192461114e-6	5.530483351993498e-7	1.584893192461114e-6	5.256844459739498e-7	1.584893192461114e-6	5.340150259939037e-7	1.584893192461114e-6	5.299893983626151e-7	1.584893192461114e-6	5.535212403947918e-7	1.584893192461114e-6	3.7192558802638983e-8	1.584893192461114e-6	1.4754951677113585e-9	1.584893192461114e-6	1.1970969466923642e-7	1.584893192461114e-6	9.107337600920813e-9	1.584893192461114e-6	3.4651151829469564e-10	1.584893192461114e-6	1.956610670182353e-15	1.584893192461114e-6	4.6666421526205163e-7	1.584893192461114e-6	6.387240004276717e-9	1.584893192461114e-6	1.7648930703625056e-9	1.584893192461114e-6	2.1791731064201483e-12	1.584893192461114e-6	2.1334037010107468e-10	1.584893192461114e-6	1.788469340543117e-7	1.584893192461114e-6	5.2288315036924035e-8	1.584893192461114e-6	8.893096387180413e-9	1.584893192461114e-6	1.003951393662213e-11	1.584893192461114e-6	2.2770146509217676e-13	1.584893192461114e-6	5.104552125704856e-7	1.584893192461114e-6	4.1977203230597786e-7	1.584893192461114e-6	1.1865152826880591e-14	1.584893192461114e-6	4.990904280031177e-15	1.584893192461114e-6	3.723366756657768e-7	1.584893192461114e-6	5.183220396747771e-7	1.584893192461114e-6	3.6861209971776267e-9	1.584893192461114e-6	6.377358298958436e-10	1.584893192461114e-6	2.6190589264746415e-11	1.584893192461114e-6	4.854597979377119e-7	1.584893192461114e-6	1.8708895623723933e-17	1.584893192461114e-6	2.534410178439907e-8	1.584893192461114e-6	5.520692525734014e-7	1.584893192461114e-6	5.45781654745575e-7	1.584893192461114e-6	4.6885430681099156e-7	1.584893192461114e-6	7.88215648809314e-11	1.584893192461114e-6	5.46569827239778e-9	1.584893192461114e-6	5.016805200681987e-7	1.584893192461114e-6	2.1221895350366626e-12	1.584893192461114e-6	2.077180639734155e-8	1.584893192461114e-6	5.50474577200669e-7	1.584893192461114e-6	5.506492563953722e-7	1.584893192461114e-6	1.5124331023602255e-8	1.584893192461114e-6	1.6970907728152402e-10	1.584893192461114e-6	5.240853061211351e-7	1.584893192461114e-6	5.025251602822482e-7	1.584893192461114e-6	5.536132162798227e-7	1.584893192461114e-6	5.535226073170063e-7	1.584893192461114e-6	5.517276754025678e-7	1.584893192461114e-6	1.1001186022139293e-7	1.584893192461114e-6	3.9403263933747045e-7	1.584893192461114e-6	3.120188768463864e-7	1.584893192461114e-6	5.960807969163665e-11	1.584893192461114e-6	5.190988380424721e-7	1.584893192461114e-6	1.4459077472017695e-9	1.584893192461114e-6	1.4732097365909932e-8	1.584893192461114e-6	2.1314947453624263e-10	1.584893192461114e-6	1.1924463741429207e-10	1.584893192461114e-6	2.738206976156394e-12	1.584893192461114e-6	3.047205053137212e-7	1.584893192461114e-6	3.3062046480781823e-13	1.584893192461114e-6	5.088102087908969e-7	1.584893192461114e-6	7.419300239439698e-9	1.584893192461114e-6	1.1403935578382788e-7	1.584893192461114e-6	9.943892926564426e-9	1.584893192461114e-6	3.6979496290757376e-8	1.584893192461114e-6	5.687553392289275e-12	1.584893192461114e-6	5.64577937169672e-9	1.584893192461114e-6	3.3548504466281833e-7	1.584893192461114e-6	2.2844097996550795e-11	1.584893192461114e-6	9.501785762270845e-10	1.584893192461114e-6	3.0010956996477135e-9	1.584893192461114e-6	4.542202824458037e-7	1.584893192461114e-6	4.395301749486038e-7	1.584893192461114e-6	8.391919568380772e-9	1.584893192461114e-6	4.783377016980498e-7	1.584893192461114e-6	1.3715648981957302e-8	1.584893192461114e-6	4.734217089929371e-7	1.584893192461114e-6	1.962712542190571e-10	1.584893192461114e-6	5.536865964490994e-7
1.9952623149688787e-6	1.4800972245346634e-15	1.9952623149688787e-6	1.7448775869223809e-16	1.9952623149688787e-6	1.1728697567008622e-9	1.9952623149688787e-6	1.482085921013134e-9	1.9952623149688787e-6	4.989680150695727e-7	1.9952623149688787e-6	1.736220822670295e-8	1.9952623149688787e-6	5.520216595479374e-7	1.9952623149688787e-6	5.119336587672637e-7	1.9952623149688787e-6	5.530483351993184e-7	1.9952623149688787e-6	5.256844459732693e-7	1.9952623149688787e-6	5.340150259934019e-7	1.9952623149688787e-6	5.299893983602887e-7	1.9952623149688787e-6	5.535212403947592e-7	1.9952623149688787e-6	3.719255880255741e-8	1.9952623149688787e-6	1.4754951677111392e-9	1.9952623149688787e-6	1.1970969466856647e-7	1.9952623149688787e-6	9.10733760091218e-9	1.9952623149688787e-6	3.4651151829467083e-10	1.9952623149688787e-6	1.956610670182353e-15	1.9952623149688787e-6	4.6666421525864624e-7	1.9952623149688787e-6	6.387240004271977e-9	1.9952623149688787e-6	1.7648930703622908e-9	1.9952623149688787e-6	2.1791731064201487e-12	1.9952623149688787e-6	2.1334037010106522e-10	1.9952623149688787e-6	1.788469340531068e-7	1.9952623149688787e-6	5.228831503624928e-8	1.9952623149688787e-6	8.89309638717485e-9	1.9952623149688787e-6	1.003951393662213e-11	1.9952623149688787e-6	2.2770146509217676e-13	1.9952623149688787e-6	5.104552125665295e-7	1.9952623149688787e-6	4.197720323024946e-7	1.9952623149688787e-6	1.1865152826880591e-14	1.9952623149688787e-6	4.990904280031177e-15	1.9952623149688787e-6	3.7233667566356145e-7	1.9952623149688787e-6	5.183220396739874e-7	1.9952623149688787e-6	3.686120997178307e-9	1.9952623149688787e-6	6.377358298957887e-10	1.9952623149688787e-6	2.619058926474628e-11	1.9952623149688787e-6	4.854597979363656e-7	1.9952623149688787e-6	1.8708895623723933e-17	1.9952623149688787e-6	2.534410178428857e-8	1.9952623149688787e-6	5.520692525732163e-7	1.9952623149688787e-6	5.457816547453714e-7	1.9952623149688787e-6	4.6885430680928627e-7	1.9952623149688787e-6	7.882156488093129e-11	1.9952623149688787e-6	5.465698272391785e-9	1.9952623149688787e-6	5.016805200665265e-7	1.9952623149688787e-6	2.122189535036663e-12	1.9952623149688787e-6	2.0771806397258313e-8	1.9952623149688787e-6	5.50474577200576e-7	1.9952623149688787e-6	5.506492563952725e-7	1.9952623149688787e-6	1.51243310235565e-8	1.9952623149688787e-6	1.6970907728152542e-10	1.9952623149688787e-6	5.240853061182923e-7	1.9952623149688787e-6	5.025251602778687e-7	1.9952623149688787e-6	5.536132162798053e-7	1.9952623149688787e-6	5.535226073169857e-7	1.9952623149688787e-6	5.517276754023548e-7	1.9952623149688787e-6	1.1001186021892948e-7	1.9952623149688787e-6	3.9403263933531115e-7	1.9952623149688787e-6	3.120188768442393e-7	1.9952623149688787e-6	5.960807969163593e-11	1.9952623149688787e-6	5.190988380416972e-7	1.9952623149688787e-6	1.445907747201256e-9	1.9952623149688787e-6	1.4732097365905328e-8	1.9952623149688787e-6	2.131494745362407e-10	1.9952623149688787e-6	1.1924463741429134e-10	1.9952623149688787e-6	2.7382069761563946e-12	1.9952623149688787e-6	3.0472050531160137e-7	1.9952623149688787e-6	3.3062046480781833e-13	1.9952623149688787e-6	5.088102087899331e-7	1.9952623149688787e-6	7.419300239436031e-9	1.9952623149688787e-6	1.1403935578187185e-7	1.9952623149688787e-6	9.943892926535577e-9	1.9952623149688787e-6	3.6979496290672884e-8	1.9952623149688787e-6	5.6875533922892775e-12	1.9952623149688787e-6	5.645779371697714e-9	1.9952623149688787e-6	3.3548504466060954e-7	1.9952623149688787e-6	2.2844097996550685e-11	1.9952623149688787e-6	9.501785762269281e-10	1.9952623149688787e-6	3.001095699647089e-9	1.9952623149688787e-6	4.54220282444066e-7	1.9952623149688787e-6	4.395301749412007e-7	1.9952623149688787e-6	8.391919568366472e-9	1.9952623149688787e-6	4.783377016919304e-7	1.9952623149688787e-6	1.3715648981919384e-8	1.9952623149688787e-6	4.7342170899142556e-7	1.9952623149688787e-6	1.9627125421904924e-10	1.9952623149688787e-6	5.536865964490842e-7
2.5118864315095823e-6	1.4800972245346634e-15	2.5118864315095823e-6	1.7448775869223809e-16	2.5118864315095823e-6	1.1728697567008644e-9	2.5118864315095823e-6	1.4820859210125632e-9	2.5118864315095823e-6	4.989680150681428e-7	2.5118864315095823e-6	1.7362208226676562e-8	2.5118864315095823e-6	5.520216595478667e-7	2.5118864315095823e-6	5.119336587657937e-7	2.5118864315095823e-6	5.530483351992785e-7	2.5118864315095823e-6	5.256844459724128e-7	2.5118864315095823e-6	5.340150259927699e-7	2.5118864315095823e-6	5.299893983573599e-7	2.5118864315095823e-6	5.535212403947178e-7	2.5118864315095823e-6	3.719255880245474e-8	2.5118864315095823e-6	1.4754951677108624e-9	2.5118864315095823e-6	1.19709694667723e-7	2.5118864315095823e-6	9.10733760090131e-9	2.5118864315095823e-6	3.465115182946395e-10	2.5118864315095823e-6	1.956610670182353e-15	2.5118864315095823e-6	4.666642152543594e-7	2.5118864315095823e-6	6.387240004266007e-9	2.5118864315095823e-6	1.7648930703620192e-9	2.5118864315095823e-6	2.179173106420149e-12	2.5118864315095823e-6	2.1334037010105338e-10	2.5118864315095823e-6	1.7884693405158985e-7	2.5118864315095823e-6	5.228831503539985e-8	2.5118864315095823e-6	8.893096387167845e-9	2.5118864315095823e-6	1.0039513936622125e-11	2.5118864315095823e-6	2.2770146509217676e-13	2.5118864315095823e-6	5.10455212561549e-7	2.5118864315095823e-6	4.197720322981092e-7	2.5118864315095823e-6	1.1865152826880591e-14	2.5118864315095823e-6	4.990904280031177e-15	2.5118864315095823e-6	3.723366756607725e-7	2.5118864315095823e-6	5.183220396729928e-7	2.5118864315095823e-6	3.6861209971791627e-9	2.5118864315095823e-6	6.377358298957196e-10	2.5118864315095823e-6	2.6190589264746102e-11	2.5118864315095823e-6	4.854597979346711e-7	2.5118864315095823e-6	1.8708895623723933e-17	2.5118864315095823e-6	2.534410178414947e-8	2.5118864315095823e-6	5.520692525729832e-7	2.5118864315095823e-6	5.457816547451151e-7	2.5118864315095823e-6	4.6885430680713915e-7	2.5118864315095823e-6	7.882156488093119e-11	2.5118864315095823e-6	5.465698272384236e-9	2.5118864315095823e-6	5.016805200644216e-7	2.5118864315095823e-6	2.122189535036663e-12	2.5118864315095823e-6	2.0771806397153533e-8	2.5118864315095823e-6	5.504745772004587e-7	2.5118864315095823e-6	5.506492563951467e-7	2.5118864315095823e-6	1.5124331023498897e-8	2.5118864315095823e-6	1.6970907728152707e-10	2.5118864315095823e-6	5.240853061147135e-7	2.5118864315095823e-6	5.025251602723554e-7	2.5118864315095823e-6	5.536132162797835e-7	2.5118864315095823e-6	5.535226073169604e-7	2.5118864315095823e-6	5.517276754020869e-7	2.5118864315095823e-6	1.1001186021582822e-7	2.5118864315095823e-6	3.9403263933259287e-7	2.5118864315095823e-6	3.12018876841536e-7	2.5118864315095823e-6	5.960807969163501e-11	2.5118864315095823e-6	5.190988380407217e-7	2.5118864315095823e-6	1.4459077472006096e-9	2.5118864315095823e-6	1.473209736589953e-8	2.5118864315095823e-6	2.1314947453623842e-10	2.5118864315095823e-6	1.1924463741429044e-10	2.5118864315095823e-6	2.7382069761563946e-12	2.5118864315095823e-6	3.047205053089328e-7	2.5118864315095823e-6	3.3062046480781833e-13	2.5118864315095823e-6	5.088102087887197e-7	2.5118864315095823e-6	7.419300239431422e-9	2.5118864315095823e-6	1.1403935577940937e-7	2.5118864315095823e-6	9.943892926499257e-9	2.5118864315095823e-6	3.6979496290566515e-8	2.5118864315095823e-6	5.687553392289279e-12	2.5118864315095823e-6	5.6457793716989655e-9	2.5118864315095823e-6	3.3548504465782883e-7	2.5118864315095823e-6	2.2844097996550543e-11	2.5118864315095823e-6	9.501785762267319e-10	2.5118864315095823e-6	3.001095699646304e-9	2.5118864315095823e-6	4.542202824418787e-7	2.5118864315095823e-6	4.395301749318809e-7	2.5118864315095823e-6	8.391919568348464e-9	2.5118864315095823e-6	4.783377016842275e-7	2.5118864315095823e-6	1.371564898187165e-8	2.5118864315095823e-6	4.7342170898952275e-7	2.5118864315095823e-6	1.962712542190395e-10	2.5118864315095823e-6	5.536865964490642e-7
3.162277660168379e-6	1.4800972245346634e-15	3.162277660168379e-6	1.7448775869223809e-16	3.162277660168379e-6	1.1728697567008667e-9	3.162277660168379e-6	1.4820859210118444e-9	3.162277660168379e-6	4.989680150663429e-7	3.162277660168379e-6	1.7362208226643352e-8	3.162277660168379e-6	5.520216595477774e-7	3.162277660168379e-6	5.119336587639437e-7	3.162277660168379e-6	5.530483351992284e-7	3.162277660168379e-6	5.256844459713344e-7	3.162277660168379e-6	5.340150259919745e-7	3.162277660168379e-6	5.299893983536729e-7	3.162277660168379e-6	5.535212403946657e-7	3.162277660168379e-6	3.719255880232549e-8	3.162277660168379e-6	1.4754951677105153e-9	3.162277660168379e-6	1.1970969466666118e-7	3.162277660168379e-6	9.107337600887626e-9	3.162277660168379e-6	3.4651151829460015e-10	3.162277660168379e-6	1.956610670182353e-15	3.162277660168379e-6	4.666642152489625e-7	3.162277660168379e-6	6.387240004258492e-9	3.162277660168379e-6	1.7648930703616788e-9	3.162277660168379e-6	2.17917310642015e-12	3.162277660168379e-6	2.1334037010103844e-10	3.162277660168379e-6	1.788469340496801e-7	3.162277660168379e-6	5.228831503433046e-8	3.162277660168379e-6	8.893096387159032e-9	3.162277660168379e-6	1.0039513936622125e-11	3.162277660168379e-6	2.277014650921768e-13	3.162277660168379e-6	5.104552125552789e-7	3.162277660168379e-6	4.197720322925884e-7	3.162277660168379e-6	1.1865152826880591e-14	3.162277660168379e-6	4.990904280031177e-15	3.162277660168379e-6	3.7233667565726143e-7	3.162277660168379e-6	5.183220396717407e-7	3.162277660168379e-6	3.686120997180241e-9	3.162277660168379e-6	6.377358298956325e-10	3.162277660168379e-6	2.6190589264745866e-11	3.162277660168379e-6	4.854597979325371e-7	3.162277660168379e-6	1.8708895623723933e-17	3.162277660168379e-6	2.534410178397434e-8	3.162277660168379e-6	5.520692525726897e-7	3.162277660168379e-6	5.457816547447927e-7	3.162277660168379e-6	4.688543068044365e-7	3.162277660168379e-6	7.8821564880931e-11	3.162277660168379e-6	5.4656982723747315e-9	3.162277660168379e-6	5.016805200617715e-7	3.162277660168379e-6	2.122189535036664e-12	3.162277660168379e-6	2.077180639702161e-8	3.162277660168379e-6	5.50474577200311e-7	3.162277660168379e-6	5.50649256394988e-7	3.162277660168379e-6	1.5124331023426374e-8	3.162277660168379e-6	1.6970907728152925e-10	3.162277660168379e-6	5.240853061102077e-7	3.162277660168379e-6	5.025251602654146e-7	3.162277660168379e-6	5.536132162797562e-7	3.162277660168379e-6	5.535226073169282e-7	3.162277660168379e-6	5.517276754017497e-7	3.162277660168379e-6	1.1001186021192395e-7	3.162277660168379e-6	3.940326393291704e-7	3.162277660168379e-6	3.120188768381327e-7	3.162277660168379e-6	5.960807969163382e-11	3.162277660168379e-6	5.190988380394935e-7	3.162277660168379e-6	1.4459077471997957e-9	3.162277660168379e-6	1.4732097365892217e-8	3.162277660168379e-6	2.1314947453623552e-10	3.162277660168379e-6	1.1924463741428933e-10	3.162277660168379e-6	2.738206976156396e-12	3.162277660168379e-6	3.0472050530557314e-7	3.162277660168379e-6	3.3062046480781833e-13	3.162277660168379e-6	5.088102087871923e-7	3.162277660168379e-6	7.419300239425618e-9	3.162277660168379e-6	1.1403935577630928e-7	3.162277660168379e-6	9.943892926453534e-9	3.162277660168379e-6	3.697949629043261e-8	3.162277660168379e-6	5.687553392289279e-12	3.162277660168379e-6	5.645779371700544e-9	3.162277660168379e-6	3.3548504465432805e-7	3.162277660168379e-6	2.284409799655037e-11	3.162277660168379e-6	9.501785762264846e-10	3.162277660168379e-6	3.001095699645315e-9	3.162277660168379e-6	4.542202824391245e-7	3.162277660168379e-6	4.3953017492014816e-7	3.162277660168379e-6	8.391919568325794e-9	3.162277660168379e-6	4.783377016745292e-7	3.162277660168379e-6	1.3715648981811556e-8	3.162277660168379e-6	4.7342170898712755e-7	3.162277660168379e-6	1.9627125421902703e-10	3.162277660168379e-6	5.5368659644904e-7
