t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1
0.	5.540260225901635e-7	0.	5.540264790001822e-7	0.	5.54027527281781e-7	0.	5.540233616895645e-7	0.	5.540265140252308e-7	0.	5.540268390917979e-7	0.	5.540264378399778e-7	0.	5.540255716056378e-7	0.	5.540243939861191e-7	0.	5.539729808470407e-7	0.	5.540144127792021e-7	0.	5.539940273297722e-7	0.	5.540232972890798e-7	0.	5.539966071990581e-7	0.	5.540234294160622e-7	0.	5.54023395056664e-7	0.	5.540232732215771e-7	0.	5.540232693791987e-7	0.	5.540223319204196e-7	0.	5.540232922195762e-7	0.	5.540220900387951e-7	0.	5.540220821012065e-7	0.	5.540218581586798e-7	0.	5.54022019660953e-7	0.	5.540218796163587e-7	0.	5.540218566381798e-7	0.	5.540218057506323e-7	0.	5.540216701758748e-7	0.	5.540214412238604e-7	0.	5.540216699169913e-7	0.	5.540220645444015e-7	0.	5.540219721631786e-7	0.	5.540215096243784e-7	0.	5.540220067419812e-7	0.	5.54021772384794e-7	0.	5.540214977698729e-7	0.	5.54021331036542e-7	0.	5.540214996995337e-7	0.	5.540212961236873e-7	0.	5.54021730344398e-7	0.	5.540214504032076e-7	0.	5.540211766060625e-7	0.	5.540212261097927e-7	0.	5.540213435626976e-7	0.	5.540211457339822e-7	0.	5.540211266413804e-7	0.	5.540211699279803e-7	0.	5.540212810594091e-7	0.	5.540211067065976e-7	0.	5.540212826969604e-7	0.	5.540212193438292e-7	0.	5.540213688968365e-7	0.	5.540210634190609e-7	0.	5.540210388027882e-7	0.	5.540212227934283e-7	0.	5.540210550573304e-7	0.	5.540213032316489e-7	0.	5.540215902798813e-7	0.	5.540212169318972e-7	0.	5.540212747894169e-7	0.	5.540211606094749e-7	0.	5.540188448512156e-7	0.	5.540212393915026e-7	0.	5.540209519987241e-7	0.	5.5402100608584e-7	0.	5.540210330263538e-7	0.	5.540209956375374e-7	0.	5.540211816983015e-7	0.	5.540208675372619e-7	0.	5.540210380865378e-7	0.	5.54021214513366e-7	0.	5.540209778692329e-7	0.	5.540212617607525e-7	0.	5.540210875123237e-7	0.	5.540212344400153e-7	0.	5.540212274594211e-7	0.	5.540210888508431e-7	0.	5.540210549676952e-7	0.	5.540211399116502e-7	0.	5.54021298179578e-7	0.	5.540211691683046e-7	0.	5.539837591445827e-7	0.	5.540109512557573e-7	0.	5.540219903715484e-7	0.	5.540215542817405e-7	0.	5.540184841917627e-7	0.	5.540204310611366e-7	0.	5.540206909919738e-7	0.	5.540208537088716e-7	0.	5.539976271397058e-7
1.e-6	5.540260225901624e-7	1.e-6	5.540264790001814e-7	1.e-6	5.540275272817801e-7	1.e-6	5.540233616895635e-7	1.e-6	5.540265140252299e-7	1.e-6	5.540268390917969e-7	1.e-6	5.540264378399768e-7	1.e-6	5.540255716056368e-7	1.e-6	5.540243939861182e-7	1.e-6	5.539729808470398e-7	1.e-6	5.540144127792013e-7	1.e-6	5.539940273297712e-7	1.e-6	5.54023297289079e-7	1.e-6	5.539966071990572e-7	1.e-6	5.540234294160614e-7	1.e-6	5.540233950566631e-7	1.e-6	5.540232732215761e-7	1.e-6	5.540232693791978e-7	1.e-6	5.540223319204187e-7	1.e-6	5.540232922195753e-7	1.e-6	5.540220900387942e-7	1.e-6	5.540220821012056e-7	1.e-6	5.540218581586788e-7	1.e-6	5.54022019660952e-7	1.e-6	5.540218796163577e-7	1.e-6	5.540218566381789e-7	1.e-6	5.540218057506313e-7	1.e-6	5.54021670175874e-7	1.e-6	5.540214412238597e-7	1.e-6	5.540216699169903e-7	1.e-6	5.540220645444008e-7	1.e-6	5.540219721631775e-7	1.e-6	5.540215096243774e-7	1.e-6	5.540220067419802e-7	1.e-6	5.540217723847932e-7	1.e-6	5.540214977698718e-7	1.e-6	5.540213310365412e-7	1.e-6	5.540214996995327e-7	1.e-6	5.540212961236864e-7	1.e-6	5.540217303443972e-7	1.e-6	5.540214504032065e-7	1.e-6	5.540211766060616e-7	1.e-6	5.540212261097917e-7	1.e-6	5.540213435626967e-7	1.e-6	5.540211457339812e-7	1.e-6	5.540211266413796e-7	1.e-6	5.540211699279794e-7	1.e-6	5.540212810594082e-7	1.e-6	5.540211067065967e-7	1.e-6	5.540212826969597e-7	1.e-6	5.540212193438284e-7	1.e-6	5.540213688968356e-7	1.e-6	5.540210634190601e-7	1.e-6	5.540210388027872e-7	1.e-6	5.540212227934273e-7	1.e-6	5.540210550573295e-7	1.e-6	5.54021303231648e-7	1.e-6	5.540215902798804e-7	1.e-6	5.540212169318962e-7	1.e-6	5.54021274789416e-7	1.e-6	5.54021160609474e-7	1.e-6	5.540188448512147e-7	1.e-6	5.540212393915017e-7	1.e-6	5.540209519987232e-7	1.e-6	5.540210060858389e-7	1.e-6	5.540210330263529e-7	1.e-6	5.540209956375365e-7	1.e-6	5.540211816983006e-7	1.e-6	5.540208675372608e-7	1.e-6	5.540210380865369e-7	1.e-6	5.540212145133651e-7	1.e-6	5.54020977869232e-7	1.e-6	5.540212617607517e-7	1.e-6	5.540210875123227e-7	1.e-6	5.540212344400143e-7	1.e-6	5.540212274594201e-7	1.e-6	5.540210888508421e-7	1.e-6	5.540210549676942e-7	1.e-6	5.540211399116493e-7	1.e-6	5.54021298179577e-7	1.e-6	5.540211691683037e-7	1.e-6	5.539837591445817e-7	1.e-6	5.540109512557562e-7	1.e-6	5.540219903715476e-7	1.e-6	5.540215542817395e-7	1.e-6	5.540184841917616e-7	1.e-6	5.540204310611357e-7	1.e-6	5.540206909919728e-7	1.e-6	5.540208537088706e-7	1.e-6	5.539976271397048e-7
1.2589254117941661e-6	5.540260225901623e-7	1.2589254117941661e-6	5.540264790001811e-7	1.2589254117941661e-6	5.540275272817799e-7	1.2589254117941661e-6	5.540233616895633e-7	1.2589254117941661e-6	5.540265140252296e-7	1.2589254117941661e-6	5.540268390917967e-7	1.2589254117941661e-6	5.540264378399766e-7	1.2589254117941661e-6	5.540255716056366e-7	1.2589254117941661e-6	5.54024393986118e-7	1.2589254117941661e-6	5.539729808470396e-7	1.2589254117941661e-6	5.540144127792009e-7	1.2589254117941661e-6	5.53994027329771e-7	1.2589254117941661e-6	5.540232972890788e-7	1.2589254117941661e-6	5.53996607199057e-7	1.2589254117941661e-6	5.540234294160612e-7	1.2589254117941661e-6	5.540233950566629e-7	1.2589254117941661e-6	5.54023273221576e-7	1.2589254117941661e-6	5.540232693791976e-7	1.2589254117941661e-6	5.540223319204184e-7	1.2589254117941661e-6	5.540232922195751e-7	1.2589254117941661e-6	5.540220900387939e-7	1.2589254117941661e-6	5.540220821012054e-7	1.2589254117941661e-6	5.540218581586785e-7	1.2589254117941661e-6	5.540220196609518e-7	1.2589254117941661e-6	5.540218796163575e-7	1.2589254117941661e-6	5.540218566381785e-7	1.2589254117941661e-6	5.540218057506312e-7	1.2589254117941661e-6	5.540216701758737e-7	1.2589254117941661e-6	5.540214412238594e-7	1.2589254117941661e-6	5.5402166991699e-7	1.2589254117941661e-6	5.540220645444005e-7	1.2589254117941661e-6	5.540219721631773e-7	1.2589254117941661e-6	5.54021509624377e-7	1.2589254117941661e-6	5.5402200674198e-7	1.2589254117941661e-6	5.54021772384793e-7	1.2589254117941661e-6	5.540214977698716e-7	1.2589254117941661e-6	5.54021331036541e-7	1.2589254117941661e-6	5.540214996995324e-7	1.2589254117941661e-6	5.540212961236862e-7	1.2589254117941661e-6	5.540217303443969e-7	1.2589254117941661e-6	5.540214504032064e-7	1.2589254117941661e-6	5.540211766060613e-7	1.2589254117941661e-6	5.540212261097914e-7	1.2589254117941661e-6	5.540213435626964e-7	1.2589254117941661e-6	5.540211457339809e-7	1.2589254117941661e-6	5.540211266413794e-7	1.2589254117941661e-6	5.540211699279793e-7	1.2589254117941661e-6	5.540212810594078e-7	1.2589254117941661e-6	5.540211067065965e-7	1.2589254117941661e-6	5.540212826969594e-7	1.2589254117941661e-6	5.540212193438282e-7	1.2589254117941661e-6	5.540213688968354e-7	1.2589254117941661e-6	5.540210634190598e-7	1.2589254117941661e-6	5.540210388027869e-7	1.2589254117941661e-6	5.540212227934272e-7	1.2589254117941661e-6	5.540210550573293e-7	1.2589254117941661e-6	5.540213032316477e-7	1.2589254117941661e-6	5.540215902798802e-7	1.2589254117941661e-6	5.54021216931896e-7	1.2589254117941661e-6	5.540212747894158e-7	1.2589254117941661e-6	5.540211606094739e-7	1.2589254117941661e-6	5.540188448512144e-7	1.2589254117941661e-6	5.540212393915014e-7	1.2589254117941661e-6	5.54020951998723e-7	1.2589254117941661e-6	5.540210060858387e-7	1.2589254117941661e-6	5.540210330263526e-7	1.2589254117941661e-6	5.540209956375362e-7	1.2589254117941661e-6	5.540211816983003e-7	1.2589254117941661e-6	5.540208675372606e-7	1.2589254117941661e-6	5.540210380865366e-7	1.2589254117941661e-6	5.540212145133648e-7	1.2589254117941661e-6	5.540209778692318e-7	1.2589254117941661e-6	5.540212617607514e-7	1.2589254117941661e-6	5.540210875123225e-7	1.2589254117941661e-6	5.54021234440014e-7	1.2589254117941661e-6	5.540212274594199e-7	1.2589254117941661e-6	5.540210888508419e-7	1.2589254117941661e-6	5.54021054967694e-7	1.2589254117941661e-6	5.540211399116491e-7	1.2589254117941661e-6	5.540212981795768e-7	1.2589254117941661e-6	5.540211691683036e-7	1.2589254117941661e-6	5.539837591445815e-7	1.2589254117941661e-6	5.54010951255756e-7	1.2589254117941661e-6	5.540219903715472e-7	1.2589254117941661e-6	5.540215542817393e-7	1.2589254117941661e-6	5.540184841917615e-7	1.2589254117941661e-6	5.540204310611355e-7	1.2589254117941661e-6	5.540206909919726e-7	1.2589254117941661e-6	5.540208537088703e-7	1.2589254117941661e-6	5.539976271397046e-7
1.584893192461114e-6	5.54026022590162e-7	1.584893192461114e-6	5.540264790001808e-7	1.584893192461114e-6	5.540275272817796e-7	1.584893192461114e-6	5.54023361689563e-7	1.584893192461114e-6	5.540265140252292e-7	1.584893192461114e-6	5.540268390917964e-7	1.584893192461114e-6	5.540264378399763e-7	1.584893192461114e-6	5.540255716056362e-7	1.584893192461114e-6	5.540243939861176e-7	1.584893192461114e-6	5.539729808470392e-7	1.584893192461114e-6	5.540144127792006e-7	1.584893192461114e-6	5.539940273297706e-7	1.584893192461114e-6	5.540232972890784e-7	1.584893192461114e-6	5.539966071990565e-7	1.584893192461114e-6	5.540234294160608e-7	1.584893192461114e-6	5.540233950566627e-7	1.584893192461114e-6	5.540232732215756e-7	1.584893192461114e-6	5.540232693791972e-7	1.584893192461114e-6	5.54022331920418e-7	1.584893192461114e-6	5.540232922195747e-7	1.584893192461114e-6	5.540220900387936e-7	1.584893192461114e-6	5.540220821012052e-7	1.584893192461114e-6	5.540218581586783e-7	1.584893192461114e-6	5.540220196609515e-7	1.584893192461114e-6	5.540218796163572e-7	1.584893192461114e-6	5.540218566381782e-7	1.584893192461114e-6	5.540218057506309e-7	1.584893192461114e-6	5.540216701758734e-7	1.584893192461114e-6	5.540214412238591e-7	1.584893192461114e-6	5.540216699169898e-7	1.584893192461114e-6	5.540220645444001e-7	1.584893192461114e-6	5.54021972163177e-7	1.584893192461114e-6	5.540215096243768e-7	1.584893192461114e-6	5.540220067419797e-7	1.584893192461114e-6	5.540217723847928e-7	1.584893192461114e-6	5.540214977698714e-7	1.584893192461114e-6	5.540213310365407e-7	1.584893192461114e-6	5.540214996995323e-7	1.584893192461114e-6	5.540212961236858e-7	1.584893192461114e-6	5.540217303443966e-7	1.584893192461114e-6	5.54021450403206e-7	1.584893192461114e-6	5.54021176606061e-7	1.584893192461114e-6	5.540212261097911e-7	1.584893192461114e-6	5.540213435626962e-7	1.584893192461114e-6	5.540211457339807e-7	1.584893192461114e-6	5.54021126641379e-7	1.584893192461114e-6	5.540211699279788e-7	1.584893192461114e-6	5.540212810594075e-7	1.584893192461114e-6	5.540211067065962e-7	1.584893192461114e-6	5.540212826969591e-7	1.584893192461114e-6	5.540212193438278e-7	1.584893192461114e-6	5.540213688968352e-7	1.584893192461114e-6	5.540210634190595e-7	1.584893192461114e-6	5.540210388027867e-7	1.584893192461114e-6	5.540212227934268e-7	1.584893192461114e-6	5.540210550573289e-7	1.584893192461114e-6	5.540213032316474e-7	1.584893192461114e-6	5.540215902798799e-7	1.584893192461114e-6	5.540212169318956e-7	1.584893192461114e-6	5.540212747894155e-7	1.584893192461114e-6	5.540211606094736e-7	1.584893192461114e-6	5.540188448512141e-7	1.584893192461114e-6	5.54021239391501e-7	1.584893192461114e-6	5.540209519987227e-7	1.584893192461114e-6	5.540210060858385e-7	1.584893192461114e-6	5.540210330263523e-7	1.584893192461114e-6	5.54020995637536e-7	1.584893192461114e-6	5.540211816983e-7	1.584893192461114e-6	5.540208675372604e-7	1.584893192461114e-6	5.540210380865363e-7	1.584893192461114e-6	5.540212145133644e-7	1.584893192461114e-6	5.540209778692314e-7	1.584893192461114e-6	5.54021261760751e-7	1.584893192461114e-6	5.540210875123223e-7	1.584893192461114e-6	5.540212344400138e-7	1.584893192461114e-6	5.540212274594196e-7	1.584893192461114e-6	5.540210888508416e-7	1.584893192461114e-6	5.540210549676936e-7	1.584893192461114e-6	5.540211399116488e-7	1.584893192461114e-6	5.540212981795766e-7	1.584893192461114e-6	5.540211691683033e-7	1.584893192461114e-6	5.539837591445813e-7	1.584893192461114e-6	5.540109512557558e-7	1.584893192461114e-6	5.540219903715469e-7	1.584893192461114e-6	5.54021554281739e-7	1.584893192461114e-6	5.540184841917612e-7	1.584893192461114e-6	5.540204310611351e-7	1.584893192461114e-6	5.540206909919722e-7	1.584893192461114e-6	5.540208537088701e-7	1.584893192461114e-6	5.539976271397043e-7
1.9952623149688787e-6	5.540260225901616e-7	1.9952623149688787e-6	5.540264790001804e-7	1.9952623149688787e-6	5.540275272817793e-7	1.9952623149688787e-6	5.540233616895626e-7	1.9952623149688787e-6	5.54026514025229e-7	1.9952623149688787e-6	5.540268390917961e-7	1.9952623149688787e-6	5.540264378399759e-7	1.9952623149688787e-6	5.540255716056359e-7	1.9952623149688787e-6	5.540243939861172e-7	1.9952623149688787e-6	5.539729808470387e-7	1.9952623149688787e-6	5.540144127792003e-7	1.9952623149688787e-6	5.539940273297702e-7	1.9952623149688787e-6	5.540232972890781e-7	1.9952623149688787e-6	5.539966071990562e-7	1.9952623149688787e-6	5.540234294160603e-7	1.9952623149688787e-6	5.540233950566623e-7	1.9952623149688787e-6	5.540232732215753e-7	1.9952623149688787e-6	5.54023269379197e-7	1.9952623149688787e-6	5.540223319204177e-7	1.9952623149688787e-6	5.540232922195744e-7	1.9952623149688787e-6	5.540220900387931e-7	1.9952623149688787e-6	5.540220821012047e-7	1.9952623149688787e-6	5.540218581586779e-7	1.9952623149688787e-6	5.54022019660951e-7	1.9952623149688787e-6	5.540218796163567e-7	1.9952623149688787e-6	5.540218566381779e-7	1.9952623149688787e-6	5.540218057506305e-7	1.9952623149688787e-6	5.540216701758729e-7	1.9952623149688787e-6	5.540214412238587e-7	1.9952623149688787e-6	5.540216699169895e-7	1.9952623149688787e-6	5.540220645443998e-7	1.9952623149688787e-6	5.540219721631768e-7	1.9952623149688787e-6	5.540215096243764e-7	1.9952623149688787e-6	5.540220067419794e-7	1.9952623149688787e-6	5.540217723847924e-7	1.9952623149688787e-6	5.54021497769871e-7	1.9952623149688787e-6	5.540213310365403e-7	1.9952623149688787e-6	5.540214996995319e-7	1.9952623149688787e-6	5.540212961236854e-7	1.9952623149688787e-6	5.540217303443962e-7	1.9952623149688787e-6	5.540214504032057e-7	1.9952623149688787e-6	5.540211766060606e-7	1.9952623149688787e-6	5.540212261097908e-7	1.9952623149688787e-6	5.540213435626958e-7	1.9952623149688787e-6	5.540211457339804e-7	1.9952623149688787e-6	5.540211266413785e-7	1.9952623149688787e-6	5.540211699279785e-7	1.9952623149688787e-6	5.540212810594072e-7	1.9952623149688787e-6	5.540211067065958e-7	1.9952623149688787e-6	5.540212826969586e-7	1.9952623149688787e-6	5.540212193438274e-7	1.9952623149688787e-6	5.540213688968346e-7	1.9952623149688787e-6	5.54021063419059e-7	1.9952623149688787e-6	5.540210388027863e-7	1.9952623149688787e-6	5.540212227934264e-7	1.9952623149688787e-6	5.540210550573285e-7	1.9952623149688787e-6	5.54021303231647e-7	1.9952623149688787e-6	5.540215902798795e-7	1.9952623149688787e-6	5.540212169318953e-7	1.9952623149688787e-6	5.540212747894151e-7	1.9952623149688787e-6	5.54021160609473e-7	1.9952623149688787e-6	5.540188448512138e-7	1.9952623149688787e-6	5.540212393915007e-7	1.9952623149688787e-6	5.540209519987222e-7	1.9952623149688787e-6	5.540210060858381e-7	1.9952623149688787e-6	5.54021033026352e-7	1.9952623149688787e-6	5.540209956375356e-7	1.9952623149688787e-6	5.540211816982995e-7	1.9952623149688787e-6	5.5402086753726e-7	1.9952623149688787e-6	5.540210380865359e-7	1.9952623149688787e-6	5.540212145133641e-7	1.9952623149688787e-6	5.540209778692311e-7	1.9952623149688787e-6	5.540212617607507e-7	1.9952623149688787e-6	5.54021087512322e-7	1.9952623149688787e-6	5.540212344400132e-7	1.9952623149688787e-6	5.540212274594192e-7	1.9952623149688787e-6	5.540210888508412e-7	1.9952623149688787e-6	5.540210549676933e-7	1.9952623149688787e-6	5.540211399116484e-7	1.9952623149688787e-6	5.54021298179576e-7	1.9952623149688787e-6	5.540211691683027e-7	1.9952623149688787e-6	5.539837591445809e-7	1.9952623149688787e-6	5.540109512557554e-7	1.9952623149688787e-6	5.540219903715465e-7	1.9952623149688787e-6	5.540215542817386e-7	1.9952623149688787e-6	5.540184841917609e-7	1.9952623149688787e-6	5.540204310611347e-7	1.9952623149688787e-6	5.540206909919719e-7	1.9952623149688787e-6	5.540208537088696e-7	1.9952623149688787e-6	5.539976271397041e-7
2.5118864315095823e-6	5.540260225901612e-7	2.5118864315095823e-6	5.540264790001799e-7	2.5118864315095823e-6	5.540275272817788e-7	2.5118864315095823e-6	5.540233616895622e-7	2.5118864315095823e-6	5.540265140252285e-7	2.5118864315095823e-6	5.540268390917956e-7	2.5118864315095823e-6	5.540264378399755e-7	2.5118864315095823e-6	5.540255716056355e-7	2.5118864315095823e-6	5.540243939861168e-7	2.5118864315095823e-6	5.539729808470383e-7	2.5118864315095823e-6	5.540144127791999e-7	2.5118864315095823e-6	5.539940273297699e-7	2.5118864315095823e-6	5.540232972890776e-7	2.5118864315095823e-6	5.539966071990557e-7	2.5118864315095823e-6	5.540234294160599e-7	2.5118864315095823e-6	5.540233950566618e-7	2.5118864315095823e-6	5.540232732215747e-7	2.5118864315095823e-6	5.540232693791964e-7	2.5118864315095823e-6	5.540223319204173e-7	2.5118864315095823e-6	5.540232922195739e-7	2.5118864315095823e-6	5.540220900387927e-7	2.5118864315095823e-6	5.540220821012043e-7	2.5118864315095823e-6	5.540218581586773e-7	2.5118864315095823e-6	5.540220196609507e-7	2.5118864315095823e-6	5.540218796163562e-7	2.5118864315095823e-6	5.540218566381775e-7	2.5118864315095823e-6	5.540218057506299e-7	2.5118864315095823e-6	5.540216701758725e-7	2.5118864315095823e-6	5.540214412238582e-7	2.5118864315095823e-6	5.540216699169889e-7	2.5118864315095823e-6	5.540220645443992e-7	2.5118864315095823e-6	5.540219721631761e-7	2.5118864315095823e-6	5.540215096243758e-7	2.5118864315095823e-6	5.54022006741979e-7	2.5118864315095823e-6	5.540217723847917e-7	2.5118864315095823e-6	5.540214977698705e-7	2.5118864315095823e-6	5.540213310365397e-7	2.5118864315095823e-6	5.540214996995314e-7	2.5118864315095823e-6	5.540212961236849e-7	2.5118864315095823e-6	5.540217303443957e-7	2.5118864315095823e-6	5.540214504032053e-7	2.5118864315095823e-6	5.540211766060602e-7	2.5118864315095823e-6	5.540212261097902e-7	2.5118864315095823e-6	5.540213435626952e-7	2.5118864315095823e-6	5.540211457339798e-7	2.5118864315095823e-6	5.540211266413781e-7	2.5118864315095823e-6	5.54021169927978e-7	2.5118864315095823e-6	5.540212810594068e-7	2.5118864315095823e-6	5.540211067065953e-7	2.5118864315095823e-6	5.540212826969582e-7	2.5118864315095823e-6	5.54021219343827e-7	2.5118864315095823e-6	5.540213688968343e-7	2.5118864315095823e-6	5.540210634190585e-7	2.5118864315095823e-6	5.540210388027858e-7	2.5118864315095823e-6	5.540212227934258e-7	2.5118864315095823e-6	5.540210550573281e-7	2.5118864315095823e-6	5.540213032316466e-7	2.5118864315095823e-6	5.54021590279879e-7	2.5118864315095823e-6	5.540212169318948e-7	2.5118864315095823e-6	5.540212747894147e-7	2.5118864315095823e-6	5.540211606094726e-7	2.5118864315095823e-6	5.540188448512132e-7	2.5118864315095823e-6	5.540212393915002e-7	2.5118864315095823e-6	5.540209519987217e-7	2.5118864315095823e-6	5.540210060858376e-7	2.5118864315095823e-6	5.540210330263515e-7	2.5118864315095823e-6	5.540209956375351e-7	2.5118864315095823e-6	5.540211816982992e-7	2.5118864315095823e-6	5.540208675372594e-7	2.5118864315095823e-6	5.540210380865354e-7	2.5118864315095823e-6	5.540212145133637e-7	2.5118864315095823e-6	5.540209778692305e-7	2.5118864315095823e-6	5.540212617607503e-7	2.5118864315095823e-6	5.540210875123215e-7	2.5118864315095823e-6	5.540212344400129e-7	2.5118864315095823e-6	5.540212274594186e-7	2.5118864315095823e-6	5.540210888508406e-7	2.5118864315095823e-6	5.540210549676929e-7	2.5118864315095823e-6	5.540211399116478e-7	2.5118864315095823e-6	5.540212981795757e-7	2.5118864315095823e-6	5.540211691683023e-7	2.5118864315095823e-6	5.539837591445803e-7	2.5118864315095823e-6	5.540109512557549e-7	2.5118864315095823e-6	5.540219903715461e-7	2.5118864315095823e-6	5.54021554281738e-7	2.5118864315095823e-6	5.540184841917604e-7	2.5118864315095823e-6	5.540204310611342e-7	2.5118864315095823e-6	5.540206909919714e-7	2.5118864315095823e-6	5.540208537088692e-7	2.5118864315095823e-6	5.539976271397033e-7
3.162277660168379e-6	5.540260225901605e-7	3.162277660168379e-6	5.540264790001794e-7	3.162277660168379e-6	5.540275272817781e-7	3.162277660168379e-6	5.540233616895615e-7	3.162277660168379e-6	5.540265140252279e-7	3.162277660168379e-6	5.54026839091795e-7	3.162277660168379e-6	5.540264378399748e-7	3.162277660168379e-6	5.540255716056349e-7	3.162277660168379e-6	5.540243939861162e-7	3.162277660168379e-6	5.539729808470376e-7	3.162277660168379e-6	5.540144127791993e-7	3.162277660168379e-6	5.539940273297692e-7	3.162277660168379e-6	5.54023297289077e-7	3.162277660168379e-6	5.539966071990551e-7	3.162277660168379e-6	5.540234294160594e-7	3.162277660168379e-6	5.540233950566613e-7	3.162277660168379e-6	5.540232732215742e-7	3.162277660168379e-6	5.540232693791957e-7	3.162277660168379e-6	5.540223319204165e-7	3.162277660168379e-6	5.540232922195732e-7	3.162277660168379e-6	5.54022090038792e-7	3.162277660168379e-6	5.540220821012037e-7	3.162277660168379e-6	5.540218581586768e-7	3.162277660168379e-6	5.540220196609499e-7	3.162277660168379e-6	5.540218796163557e-7	3.162277660168379e-6	5.540218566381767e-7	3.162277660168379e-6	5.540218057506293e-7	3.162277660168379e-6	5.540216701758718e-7	3.162277660168379e-6	5.540214412238575e-7	3.162277660168379e-6	5.540216699169884e-7	3.162277660168379e-6	5.540220645443987e-7	3.162277660168379e-6	5.540219721631756e-7	3.162277660168379e-6	5.540215096243753e-7	3.162277660168379e-6	5.540220067419783e-7	3.162277660168379e-6	5.540217723847912e-7	3.162277660168379e-6	5.540214977698699e-7	3.162277660168379e-6	5.540213310365392e-7	3.162277660168379e-6	5.540214996995308e-7	3.162277660168379e-6	5.540212961236844e-7	3.162277660168379e-6	5.540217303443951e-7	3.162277660168379e-6	5.540214504032045e-7	3.162277660168379e-6	5.540211766060597e-7	3.162277660168379e-6	5.540212261097896e-7	3.162277660168379e-6	5.540213435626946e-7	3.162277660168379e-6	5.540211457339792e-7	3.162277660168379e-6	5.540211266413775e-7	3.162277660168379e-6	5.540211699279774e-7	3.162277660168379e-6	5.540212810594061e-7	3.162277660168379e-6	5.540211067065948e-7	3.162277660168379e-6	5.540212826969577e-7	3.162277660168379e-6	5.540212193438264e-7	3.162277660168379e-6	5.540213688968336e-7	3.162277660168379e-6	5.54021063419058e-7	3.162277660168379e-6	5.540210388027852e-7	3.162277660168379e-6	5.540212227934253e-7	3.162277660168379e-6	5.540210550573273e-7	3.162277660168379e-6	5.540213032316459e-7	3.162277660168379e-6	5.540215902798785e-7	3.162277660168379e-6	5.540212169318943e-7	3.162277660168379e-6	5.540212747894141e-7	3.162277660168379e-6	5.540211606094721e-7	3.162277660168379e-6	5.540188448512126e-7	3.162277660168379e-6	5.540212393914997e-7	3.162277660168379e-6	5.540209519987213e-7	3.162277660168379e-6	5.54021006085837e-7	3.162277660168379e-6	5.540210330263508e-7	3.162277660168379e-6	5.540209956375343e-7	3.162277660168379e-6	5.540211816982986e-7	3.162277660168379e-6	5.540208675372589e-7	3.162277660168379e-6	5.540210380865349e-7	3.162277660168379e-6	5.54021214513363e-7	3.162277660168379e-6	5.5402097786923e-7	3.162277660168379e-6	5.540212617607497e-7	3.162277660168379e-6	5.540210875123208e-7	3.162277660168379e-6	5.540212344400123e-7	3.162277660168379e-6	5.540212274594182e-7	3.162277660168379e-6	5.540210888508401e-7	3.162277660168379e-6	5.540210549676922e-7	3.162277660168379e-6	5.540211399116472e-7	3.162277660168379e-6	5.540212981795751e-7	3.162277660168379e-6	5.540211691683018e-7	3.162277660168379e-6	5.539837591445798e-7	3.162277660168379e-6	5.540109512557542e-7	3.162277660168379e-6	5.540219903715454e-7	3.162277660168379e-6	5.540215542817375e-7	3.162277660168379e-6	5.540184841917597e-7	3.162277660168379e-6	5.540204310611336e-7	3.162277660168379e-6	5.540206909919709e-7	3.162277660168379e-6	5.540208537088685e-7	3.162277660168379e-6	5.539976271397029e-7
