Priority	ru5p__D[c]	xu5p__D[c]	param_RPE_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.003803743661906673	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.6131368201531432
1	0.00602852743562299	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491985
1	0.009554572093283933	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868982
1	0.015142976267524635	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.8631931113967899
1	0.023999999999999994	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.9090909090909091
1	0.00047999999999999996	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909091
1	0.0007607487323813347	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321005
1	0.001205705487124598	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.2007600089131017
1	0.001910914418656787	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.28474724895080145
1	0.003028595253504929	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.3868631798468571
1	0.0048	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.5
1	0.007607487323813347	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.6131368201531432
1	0.012057054871245986	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491987
1	0.01910914418656787	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868982
1	0.030285952535049277	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.86319311139679
1	0.047999999999999994	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.9090909090909091
1	0.00031999999999999986	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909086
1	0.0005071658215875563	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321
1	0.0008038036580830652	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.20076000891310164
1	0.001273942945771191	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.2847472489508014
1	0.002019063502336619	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.38686317984685703
1	0.003199999999999999	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.49999999999999983
1	0.005071658215875564	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.6131368201531431
1	0.008038036580830651	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491984
1	0.01273942945771191	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868981
1	0.02019063502336618	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.8631931113967899
1	0.03199999999999999	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.909090909090909
1	0.00021999999999999998	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909088
1	0.00034867650234144505	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321005
1	0.0005526150149321074	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.20076000891310167
1	0.000875835775217694	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.2847472489508014
1	0.0013881061578564257	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.3868631798468571
1	0.0021999999999999997	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.5
1	0.0034867650234144507	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.6131368201531431
1	0.005526150149321074	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491986
1	0.00875835775217694	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868981
1	0.01388106157856425	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.86319311139679
1	0.021999999999999995	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.9090909090909091
1	0.00011999999999999995	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909088
1	0.00019018718309533363	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321
1	0.0003014263717811494	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.20076000891310164
1	0.0004777286046641966	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.28474724895080133
1	0.0007571488133762321	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.38686317984685703
1	0.0011999999999999995	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.49999999999999994
1	0.0019018718309533362	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.613136820153143
1	0.0030142637178114944	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491984
1	0.004777286046641966	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868982
1	0.007571488133762321	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.8631931113967899
1	0.011999999999999995	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.9090909090909092
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	241652.2342394583
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	109645.19284894825
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
1	1	0	1	8.5	37	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/absRateFor.txt"	53019.221542090105
