Priority	3dhq[c]	3dhsk[c]	cl[c]	ac[c]	succ[c]	tartr__D[c]	param_DHQTi_total	param_pH	param_Temp	FileFlag	Target_Data
1	4.521395576717252e-6	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.20076000891310203
1	7.165929069962951e-6	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.28474724895080145
1	0.000011357232200643484	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.3868631798468571
1	0.000018000000000000017	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.5000000000000002
1	0.00002852807746430008	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.6131368201531433
1	0.00004521395576717252	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7152527510491989
1	0.00007165929069962952	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7992399910868982
1	0.00011357232200643484	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.8631931113967901
1	0.00018000000000000017	0	0	0	0	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.9090909090909092
1	7.2999999999999996e-6	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.09090909090909091
1	0.000011569720304966134	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.13680688860321008
1	0.000018336770950019948	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.20076000891310186
1	0.000029061823450405334	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.28474724895080167
1	0.000046059886147054086	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.3868631798468568
1	0.000073	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.5
1	0.00011569720304966133	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.6131368201531431
1	0.00018336770950019949	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7152527510491987
1	0.00029061823450405303	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7992399910868982
1	0.0004605988614705409	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.86319311139679
1	0.00073	0	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.909090909090909
1	0.000044000000000000046	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.09090909090909101
1	0.00006973530046828909	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.13680688860321016
1	0.00011052300298642161	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.20076000891310186
1	0.00017516715504353901	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.28474724895080167
1	0.0002776212315712852	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.3868631798468571
1	0.00044000000000000045	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.5000000000000002
1	0.000697353004682891	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.6131368201531433
1	0.0011052300298642172	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7152527510491988
1	0.00175167155043539	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.7992399910868985
1	0.002776212315712852	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.8631931113967901
1	0.004400000000000005	0	0	0	0	0	1	7.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.9090909090909092
1	1.8000000000000016e-6	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.09090909090909097
1	2.852807746430008e-6	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.13680688860321016
1	4.521395576717252e-6	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.20076000891310203
1	7.165929069962951e-6	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.28474724895080145
1	0.000011357232200643484	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.3868631798468571
1	0.000018000000000000017	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.5000000000000002
1	0.00002852807746430008	0	0	0	0	0	1	7.5	20	"/home/kevin/Desktop/MASSef/examples/fit_DHQTi_Final_typeII/input/relRateFor_3dhq.txt"	0.6131368201531433
