Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0.0003014263717811494	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.20076000891310164
1	1	0.0004777286046641966	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.28474724895080133
1	1	0.0007571488133762321	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.38686317984685703
1	1	0.0011999999999999995	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.49999999999999994
1	1	0.0019018718309533362	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.613136820153143
1	1	0.0030142637178114944	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.7152527510491984
1	1	0.004777286046641966	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.7992399910868982
1	1	0.007571488133762321	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.8631931113967899
1	1	0.011999999999999995	0	0	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateFor_f6p.txt"	0.9090909090909092
1	0	0	1	0.0000285	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.09090909090909093
1	0	0	1	0.000045169455985141756	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.13680688860321005
1	0	0	1	0.00007158876329802309	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.2007600089131019
1	0	0	1	0.00011346054360774674	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.28474724895080145
1	0	0	1	0.000179822843176855	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.38686317984685686
1	0	0	1	0.000285	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_s7p.txt"	0.5
