ssd,ssd_s05,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
0,0,0.00883377824981335,0.022395622457170455,0.055609816758203534,0.1314590000241482,0.28008099405284803,0.5000000000000001,0.7199190059471522,0.8685409999758519,0.9443901832417967,0.9776043775428295,0.9911662217501868
0.0012063144835219482,0.000996296371988723,0.0092539058515931,0.022923898533843298,0.05565287380504951,0.12894252243257567,0.27104419636839766,0.4829228333182451,0.7011203262723492,0.8549019297100109,0.9366989183544714,0.9737950784522692,0.9893964671997716
0.0012063144888290037,0.0009961098073002965,0.00925397418576709,0.02292406547583434,0.05565326551546278,0.12894335954585046,0.2710456689358006,0.48292469435657265,0.7011218879560094,0.8549028540974171,0.9366993601723957,0.9737952685659507,0.9893965453399419
0.0012075514756211693,0.0009980277901942395,0.009254064988013358,0.022924205570077735,0.055653290274356434,0.12894238298879282,0.27104108108935876,0.4829131480721745,0.7011045548906996,0.8548854243446595,0.936685599439461,0.9737856456249055,0.9893901802806585
0.0012090222572456119,0.0010001352599567554,0.009254236486788298,0.02292452742808808,0.05565368433680868,0.1289420020218836,0.2710370012508243,0.4829011630679412,0.7010854164366483,0.8548655776479059,0.9366696622847523,0.9737743899546577,0.989382690884784
0.0012119043069755628,0.0010045505363373596,0.009254468740804052,0.022924904754087455,0.05565386289736639,0.12893998998030645,0.27102678942811154,0.4828748941824084,0.7010456019081746,0.8548253406313461,0.9366378053619274,0.9737520749641402,0.9893679157246262
0.0012120709690169652,0.0010045464579365895,0.009254577003202012,0.02292515823937247,0.05565441676183656,0.12894103509608068,0.2710282418010564,0.4828759566651403,0.7010454656645392,0.8548242958900237,0.9366365758305063,0.973751048096452,0.9893671695811268
0.0012129496326888213,0.0010056338740149703,0.00925474240986021,0.022925504431539158,0.055655013770118424,0.12894158187732488,0.2710271715011194,0.4828705345361272,0.7010355040710406,0.8548133229973324,0.9366274864241909,0.9737445157783603,0.9893627782502237
0.0012250219405275115,0.00102369959973868,0.0092558828308864,0.02292749773870188,0.05565674335244949,0.12893529809815157,0.2709883043343316,0.4827657200277906,0.7008734815988256,0.854647929993354,0.9364958010593629,0.9736519675278558,0.9893013775363466
0.0012317082961670785,0.0010327407717997108,0.009256870261677283,0.02292947286447031,0.05565975255023464,0.12893622743945,0.2709746117694687,0.48271773143987956,0.7007924069561815,0.8545616527585508,0.9364255594875794,0.9736019670444724,0.9892679515396104
0.0012340785122956215,0.0010355687839539753,0.009257354561389234,0.022930501551937817,0.055661592076050315,0.1289382152767152,0.2709726955277405,0.482704475816082,0.7007668776445635,0.8545330240331305,0.9364016354424917,0.9735846900778731,0.9892563043743727
0.0012341902243209473,0.0010416083006474423,0.009255170458181486,0.022925167602549847,0.055649083404467004,0.12891150537559923,0.2709257645243684,0.48264525235805605,0.7007172746559054,0.8545037437885439,0.936387702390113,0.9735787378478331,0.9892538864449345
0.0012342106272709085,0.0010342110922408245,0.009257908693489561,0.022931848500407904,0.05566472724225399,0.128944829968783,0.2709840952400407,0.4827184152581244,0.7007779592488641,0.8545390080692628,0.9364040596888781,0.9735854358055139,0.9892564171371871
0.0012343327371844648,0.001036094854217817,0.009257327283236713,0.022930418272024255,0.055661334820183775,0.1289374561380255,0.2709707767443636,0.4827008825283296,0.7007623079425387,0.8545288602461792,0.936398540061095,0.9735826045580753,0.9892549565746257
0.0012343956056017264,0.0010375603171849056,0.00925681909046487,0.0229291749005647,0.05565841051540725,0.12893118318053706,0.27095967489505507,0.4826867127244862,0.7007502265223697,0.8545215278580102,0.9363948982689125,0.973580944175835,0.9892542134719248
