Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.00015142976267524643	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.38686317984685703
1	0	0.0002400000000000002	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.5000000000000002
1	0	0.0003803743661906677	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.6131368201531433
1	0	0.0006028527435623002	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7152527510491989
1	0	0.0009554572093283943	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7992399910868984
1	0	0.0015142976267524643	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.86319311139679
1	0	0.002400000000000002	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.9090909090909091
1	0	0.00008500000000000002	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.09090909090909093
1	0	0.00013471592135919474	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.1368068886032101
1	0	0.00021351034667831432	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.20076000891310175
1	0	0.00033839109497047284	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.2847472489508015
1	0	0.0005363137428081642	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.38686317984685703
1	0	0.0008500000000000003	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.5000000000000002
1	0	0.0013471592135919474	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.6131368201531433
1	0	0.0021351034667831453	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7152527510491987
1	0	0.0033839109497047284	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7992399910868982
1	0	0.005363137428081642	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.8631931113967899
1	0	0.008500000000000002	0	1	7.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.9090909090909091
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.941017064474817
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	15.516010420643738
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
1	0	1	0	1	8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/absRateFor.txt"	19.618162502478558
