Priority	3php[c]	akg[c]	glu[c]	pser[c]	param_PSERT_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	8.3
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
1	1	0	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSERT_typeII/input/absRateFor.txt"	1.75
