Priority	dhap[c]	g3p[c]	param_TPI_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
1	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/haldaneRatio_1.txt"	9.35
10	0	0.00010299999999999996	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.09090909090909087
10	0	0.00016324399882349468	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.13680688860321
10	0	0.00025872430244548657	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.20076000891310164
10	0	0.00041005038567010205	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.28474724895080133
10	0	0.0006498860648145985	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.3868631798468567
10	0	0.0010299999999999994	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.4999999999999999
10	0	0.0016324399882349469	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.613136820153143
10	0	0.0025872430244548686	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.7152527510491986
10	0	0.004100503856701021	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.7992399910868982
10	0	0.006498860648145985	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.8631931113967899
10	0	0.010299999999999995	1	7.6	25	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/relRateFor_g3p.txt"	0.9090909090909091
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
1	0	1	1	7.6	37	"/home/mrama/Dropbox/MASSef/examples/TPI/fit_TPI/input/absRateFor.txt"	27025.299764582207
