elapsed_time, best.fitness, num_generations, pop_size, neighborhood_size, inertia, cognitive_rate, social_rate
0.139, 0.58659784288, 6, 20, 3, 1.0, 2.1, 2.1
0.125, 0.928363988495, 5, 20, 3, 1.0, 2.1, 2.1
0.118, 0.931221681391, 4, 20, 3, 1.0, 2.1, 2.1
0.267, 0.877260891285, 11, 20, 3, 1.0, 2.1, 2.1
0.275, 0.176733284566, 12, 20, 3, 1.0, 2.1, 2.1
0.244, 0.986803694729, 10, 20, 3, 1.0, 2.1, 2.1
0.406, 0.193184889774, 18, 20, 3, 1.0, 2.1, 2.1
0.282, 0.225626476019, 12, 20, 3, 1.0, 2.1, 2.1
0.201, 0.966386614096, 9, 20, 3, 1.0, 2.1, 2.1
0.106, 0.806187624861, 5, 20, 3, 1.0, 2.1, 2.1
