t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap	t	g3p	dhap
0.	0.00027099992715795475	0.003056174044174468	0.	0.00027099965798782326	0.0030569230873422047	0.	0.0002709998721265699	0.003058468870746947	0.	0.00027099510708172365	0.0030564605182307834	0.	0.000268955757975741	0.0030594039436740803	0.	0.00026900517812784836	0.00305999979465212	0.	0.0002693880326455816	0.0030583010715632265	0.	0.00027098364549952815	0.003056419793474558	0.	0.00027081635181022657	0.0030563609886598356	0.	0.0002708961221405168	0.0030563472812839684	0.	0.00026744074041030216	0.00305999925610332	0.	0.0002709005302703117	0.0030562735401722645	0.	0.00027085912013809747	0.0030563291074170757	0.	0.0002693862112795785	0.0030578214702417805	0.	0.0002706060245338698	0.0030565716139368242	0.	0.0002672831458736101	0.0030599997000626167	0.	0.00026851695460235984	0.003059639679393117	0.	0.00026895687320105177	0.003058224893051005	0.	0.0002709562536412362	0.0030583907144980794	0.	0.00026893579780201254	0.003059999744770786	0.	0.00027099959744964305	0.0030585088196571583	0.	0.00027098040152847804	0.0030574401016327793	0.	0.00027028323923817616	0.0030578291265902047	0.	0.00027012494950224577	0.0030599995858595977	0.	0.00027036500519484293	0.0030575877228854703	0.	0.0002699028191921176	0.003059999933782821	0.	0.0002709999258116045	0.00305617409850366	0.	0.00027011346990653474	0.0030599996652549708	0.	0.00027099776551068737	0.0030580975321229434	0.	0.0002701684757227906	0.003059995321364609	0.	0.000270611764202523	0.0030595589602462996	0.	0.0002700208561565096	0.00305999107931739	0.	0.000270134748157547	0.003059991758830909	0.	0.00027009064117298944	0.0030599487284193494	0.	0.00027012726134741555	0.0030599943379632237	0.	0.00027056892012374255	0.0030595881433211195	0.	0.00027020932048009075	0.003059805922037354	0.	0.0002701690353591285	0.0030599995887829862	0.	0.0002704941824403896	0.003059420564712204	0.	0.00027099917751493327	0.003059156182339386	0.	0.00027098442108789024	0.0030562700763642377	0.	0.0002702040667350682	0.0030599100074073455	0.	0.0002708805636791604	0.0030568548689517217	0.	0.000270961025899	0.0030563548602545922	0.	0.0002701783426889816	0.0030599946413920583	0.	0.00027026887694535997	0.003059573626548867	0.	0.0002707659702527869	0.0030594103070121217	0.	0.0002702215346924156	0.0030597973689470604	0.	0.0002703672995876963	0.0030591261974609037	0.	0.00027082165152924215	0.0030570031759158444	0.	0.0002709828175259778	0.003056253746570624	0.	0.00027098396171239405	0.003056249688038955	0.	0.00027098561443101004	0.0030562407367628677	0.	0.00027077195856327243	0.0030594011570535483	0.	0.00027070069852982027	0.003059476426486401	0.	0.0002701525052383006	0.0030599996934705847	0.	0.0002709788751184362	0.00305625013851574	0.	0.00026999461829483294	0.003057195686223177	0.	0.0002709839073763245	0.0030579738514977316	0.	0.00027007025101848906	0.0030599662047735934	0.	0.00027086333995449667	0.003056655014395784	0.	0.0002709497867787556	0.003056453651584248	0.	0.00027096309105914437	0.003056211273461812	0.	0.0002709979818950041	0.003056662810628256	0.	0.00026847243689248553	0.003059994939123882	0.	0.0002702253276290716	0.003059987855600267
1.e-6	0.000270999976687488	0.0030561739946449347	1.e-6	0.00027100080414495443	0.0030569219411850737	1.e-6	0.0002710034166817705	0.0030584653261917466	1.e-6	0.00027099556788558914	0.003056460057426918	1.e-6	0.000268957624341551	0.00305940207730827	1.e-6	0.00026900806444809676	0.0030599969083318717	1.e-6	0.00026938886084502793	0.0030583002433637804	1.e-6	0.000270984030096405	0.003056419408877681	1.e-6	0.0002708164064459589	0.0030563609340241034	1.e-6	0.0002708962732453222	0.003056347130179163	1.e-6	0.00026744120895831174	0.0030599987875553104	1.e-6	0.00027090058003871755	0.0030562734904038586	1.e-6	0.00027085919064783517	0.003056329036907338	1.e-6	0.00026938631309052387	0.003057821368430835	1.e-6	0.0002706060798320594	0.0030565715586386346	1.e-6	0.00026728336942220257	0.0030599994765140243	1.e-6	0.0002685185196263618	0.0030596381143691152	1.e-6	0.0002689569365333521	0.0030582248297187048	1.e-6	0.00027095958873468034	0.0030583873794046354	1.e-6	0.0002689385750496072	0.0030599969675231915	1.e-6	0.00027100321402643527	0.003058505203080366	1.e-6	0.00027098228684342023	0.003057438216317837	1.e-6	0.0002702846855954798	0.003057827680232901	1.e-6	0.00027013166642463033	0.003059992868937213	1.e-6	0.000270366210455012	0.0030575865176253013	1.e-6	0.00026990745721820156	0.003059995295756737	1.e-6	0.0002709999754158981	0.0030561740488993664	1.e-6	0.00027011987163670696	0.0030599932635247983	1.e-6	0.0002710006851792058	0.003058094612454425	1.e-6	0.0002701775423845835	0.003059986254702816	1.e-6	0.00027062174732786465	0.003059548977120958	1.e-6	0.0002700260085757896	0.0030599859268981102	1.e-6	0.00027014152766310765	0.003059984979325348	1.e-6	0.00027009599457736977	0.003059943375014969	1.e-6	0.000270133888768739	0.0030599877105419	1.e-6	0.0002705772785446697	0.0030595797849001924	1.e-6	0.00027021447891091707	0.003059800763606528	1.e-6	0.00027017873231210835	0.0030599898918300065	1.e-6	0.0002704988153562102	0.0030594159317963833	1.e-6	0.00027100735413349583	0.003059148005720824	1.e-6	0.00027098458812303117	0.0030562699093290967	1.e-6	0.0002702104833756721	0.0030599035907667416	1.e-6	0.00027088143640197814	0.003056853996228904	1.e-6	0.0002709612826812098	0.0030563546034723826	1.e-6	0.0002701887691117652	0.0030599842149692746	1.e-6	0.00027027328967399683	0.00305956921382023	1.e-6	0.000270777035738183	0.0030593992415267257	1.e-6	0.0002702267175696191	0.003059792186069857	1.e-6	0.0002703709331066886	0.0030591225639419115	1.e-6	0.0002708226570686073	0.003057002170376479	1.e-6	0.0002709829583922047	0.003056253605704397	1.e-6	0.0002709840983224031	0.003056249551428946	1.e-6	0.0002709857403862727	0.003056240610807605	1.e-6	0.0002707823522615857	0.0030593907633552353	1.e-6	0.0002707119760031622	0.003059465149013059	1.e-6	0.00027016052335453893	0.0030599916753543464	1.e-6	0.00027097900497575643	0.00305625000865842	1.e-6	0.0002699946930850552	0.003057195611432955	1.e-6	0.00027098661100243167	0.0030579711478716243	1.e-6	0.00027007558159443233	0.00305996087419765	1.e-6	0.0002708638939562503	0.0030566544603940304	1.e-6	0.0002709501716266702	0.0030564532667363333	1.e-6	0.0002709631411951755	0.0030562112233257807	1.e-6	0.00027099874301913027	0.00305666204950413	1.e-6	0.00026847448963404034	0.003059992886382327	1.e-6	0.0002702345680701851	0.0030599786151591533
1.2589254117941661e-6	0.00027099998951191177	0.003056173981820511	1.2589254117941661e-6	0.0002710011008974638	0.003056921644432564	1.2589254117941661e-6	0.00027100433430026383	0.0030584644085732532	1.2589254117941661e-6	0.0002709956871967292	0.003056459938115778	1.2589254117941661e-6	0.00026895810754845725	0.0030594015941013642	1.2589254117941661e-6	0.0002690088116879853	0.0030599961610919832	1.2589254117941661e-6	0.0002693890752784757	0.0030583000289303324	1.2589254117941661e-6	0.00027098412967643674	0.0030564193092976494	1.2589254117941661e-6	0.0002708164205925008	0.0030563609198775614	1.2589254117941661e-6	0.00027089631236990795	0.003056347091054577	1.2589254117941661e-6	0.0002674413302747024	0.0030599986662389195	1.2589254117941661e-6	0.0002709005929249913	0.003056273477517585	1.2589254117941661e-6	0.00027085920890453536	0.003056329018650638	1.2589254117941661e-6	0.0002693863394518379	0.003057821342069521	1.2589254117941661e-6	0.00027060609415012764	0.0030565715443205666	1.2589254117941661e-6	0.00026728342730402576	0.0030599994186322013	1.2589254117941661e-6	0.00026851892482113757	0.0030596377091743395	1.2589254117941661e-6	0.00026895695293164537	0.0030582248133204115	1.2589254117941661e-6	0.00027096045213545895	0.0030583865160038566	1.2589254117941661e-6	0.0002689392940554007	0.0030599962485173982	1.2589254117941661e-6	0.0002710041502871255	0.003058504266819676	1.2589254117941661e-6	0.00027098277495414265	0.0030574377282071145	1.2589254117941661e-6	0.00027028506006789916	0.0030578273057604815	1.2589254117941661e-6	0.0002701334052122371	0.0030599911301496066	1.2589254117941661e-6	0.00027036652250926005	0.003057586205571053	1.2589254117941661e-6	0.0002699086578746976	0.003059994095100241	1.2589254117941661e-6	0.00027099998825967907	0.0030561740360555856	1.2589254117941661e-6	0.0002701215288343016	0.003059991606327204	1.2589254117941661e-6	0.0002710014410476558	0.003058093856585975	1.2589254117941661e-6	0.00027017988942017624	0.003059983907667223	1.2589254117941661e-6	0.0002706243315957367	0.003059546392853086	1.2589254117941661e-6	0.00027002734238206703	0.0030599845930918326	1.2589254117941661e-6	0.00027014328265087393	0.003059983224337582	1.2589254117941661e-6	0.0002700973804091474	0.0030599419891831916	1.2589254117941661e-6	0.00027013560438827523	0.003059985994922364	1.2589254117941661e-6	0.0002705794422471507	0.0030595776211977113	1.2589254117941661e-6	0.00027021581427307776	0.0030597994282443673	1.2589254117941661e-6	0.0002701812425025492	0.0030599873816395656	1.2589254117941661e-6	0.00027050001468880986	0.0030594147324637835	1.2589254117941661e-6	0.00027100947077507865	0.003059145889079241	1.2589254117941661e-6	0.00027098463137232095	0.0030562698660798067	1.2589254117941661e-6	0.00027021214443292155	0.003059901929709492	1.2589254117941661e-6	0.00027088166236244527	0.0030568537702684367	1.2589254117941661e-6	0.00027096134916781517	0.003056354536985777	1.2589254117941661e-6	0.0002701914681294847	0.003059981515951555	1.2589254117941661e-6	0.00027027443201290216	0.0030595680714813247	1.2589254117941661e-6	0.00027077990018036066	0.003059396377084548	1.2589254117941661e-6	0.00027022805925976725	0.0030597908443797087	1.2589254117941661e-6	0.00027037187375434935	0.0030591216232942506	1.2589254117941661e-6	0.0002708229174155017	0.003057001910029585	1.2589254117941661e-6	0.0002709829948657996	0.0030562535692308023	1.2589254117941661e-6	0.00027098413369397	0.0030562495160573787	1.2589254117941661e-6	0.0002709857729990903	0.0030562405781947876	1.2589254117941661e-6	0.00027078504280850794	0.003059388072808313	1.2589254117941661e-6	0.000270714895319288	0.003059462229696933	1.2589254117941661e-6	0.0002701625989665811	0.0030599895997423044	1.2589254117941661e-6	0.0002709790385989033	0.003056249975035273	1.2589254117941661e-6	0.0002699947124500749	0.003057195592067935	1.2589254117941661e-6	0.0002709873109472041	0.003057970447926852	1.2589254117941661e-6	0.00027007696151700486	0.0030599594942750776	1.2589254117941661e-6	0.00027086403739750203	0.003056654316952779	1.2589254117941661e-6	0.0002709502712717008	0.003056453167091303	1.2589254117941661e-6	0.00027096315417663623	0.00305621121034432	1.2589254117941661e-6	0.0002709989400861557	0.003056661852437104	1.2589254117941661e-6	0.00026847502108988023	0.003059992354926487	1.2589254117941661e-6	0.0002702369601194081	0.0030599762231099305
1.584893192461114e-6	0.00027100000565688677	0.0030561739656755358	1.584893192461114e-6	0.0002710014744770508	0.003056921270852977	1.584893192461114e-6	0.0002710054894224566	0.0030584632534510605	1.584893192461114e-6	0.00027099583739899433	0.0030564597879135127	1.584893192461114e-6	0.0002689587158451768	0.0030594009858046444	1.584893192461114e-6	0.00026900975234822204	0.0030599952204317465	1.584893192461114e-6	0.00026938934522929836	0.00305829975897951	1.584893192461114e-6	0.0002709842550391824	0.0030564191839349037	1.584893192461114e-6	0.0002708164384019201	0.003056360902068142	1.584893192461114e-6	0.00027089636162467597	0.0030563470417998093	1.584893192461114e-6	0.00026744148300148336	0.0030599985135121386	1.584893192461114e-6	0.0002709006091478306	0.0030562734612947454	1.584893192461114e-6	0.00027085923188832276	0.0030563289956668503	1.584893192461114e-6	0.00026938637263869235	0.0030578213088826665	1.584893192461114e-6	0.00027060611217548527	0.003056571526295209	1.584893192461114e-6	0.00026728350017258255	0.003059999345763644	1.584893192461114e-6	0.00026851943491390057	0.0030596371990815763	1.584893192461114e-6	0.00026895697357584515	0.0030582247926762116	1.584893192461114e-6	0.00027096153901160554	0.00305838542912771	1.584893192461114e-6	0.00026894019917541944	0.0030599953433973794	1.584893192461114e-6	0.0002710053288749589	0.0030585030882318426	1.584893192461114e-6	0.0002709833894228949	0.0030574371137383626	1.584893192461114e-6	0.00027028553148551867	0.003057826834342862	1.584893192461114e-6	0.0002701355939873733	0.00305998894137447	1.584893192461114e-6	0.0002703669153517013	0.003057585812728612	1.584893192461114e-6	0.00026991016926875645	0.003059992583706182	1.584893192461114e-6	0.00027100000442902337	0.003056174019886241	1.584893192461114e-6	0.00027012361490603396	0.0030599895202554715	1.584893192461114e-6	0.00027100239256703775	0.003058092905066593	1.584893192461114e-6	0.00027018284384175623	0.0030599809532456433	1.584893192461114e-6	0.00027062758463826365	0.003059543139810559	1.584893192461114e-6	0.00027002902137874174	0.003059982914095158	1.584893192461114e-6	0.00027014549181835694	0.003059981015170099	1.584893192461114e-6	0.0002700991248935465	0.003059940244698792	1.584893192461114e-6	0.00027013776400003635	0.003059983835310603	1.584893192461114e-6	0.00027058216589412624	0.003059574897550736	1.584893192461114e-6	0.00027021749522811113	0.0030597977472893337	1.584893192461114e-6	0.0002701844022986416	0.0030599842218434732	1.584893192461114e-6	0.0002705015244157645	0.003059413222736829	1.584893192461114e-6	0.0002710121351830613	0.003059143224671258	1.584893192461114e-6	0.0002709846858197462	0.003056269811632382	1.584893192461114e-6	0.00027021423536307106	0.0030598998387793425	1.584893192461114e-6	0.00027088194682422167	0.0030568534858066605	1.584893192461114e-6	0.00027096143286900844	0.0030563544532845838	1.584893192461114e-6	0.00027019486561545157	0.0030599781184655886	1.584893192461114e-6	0.00027027586999970113	0.0030595666334945256	1.584893192461114e-6	0.000270783505897219	0.0030593927713676895	1.584893192461114e-6	0.00027022974818021985	0.003059789155459256	1.584893192461114e-6	0.00027037305786517003	0.00305912043918343	1.584893192461114e-6	0.00027082324516539634	0.0030570015822796903	1.584893192461114e-6	0.0002709830407831895	0.0030562535233134122	1.584893192461114e-6	0.00027098417822399746	0.0030562494715273515	1.584893192461114e-6	0.00027098581405607885	0.003056240537137799	1.584893192461114e-6	0.0002707884296317652	0.0030593846859850557	1.584893192461114e-6	0.0002707185701095826	0.0030594585549066386	1.584893192461114e-6	0.0002701652117276631	0.0030599869869812222	1.584893192461114e-6	0.0002709790809278137	0.0030562499327063627	1.584893192461114e-6	0.00026999473682915023	0.00305719556768886	1.584893192461114e-6	0.0002709881920716622	0.003057969566802394	1.584893192461114e-6	0.0002700786985631172	0.003059957757228965	1.584893192461114e-6	0.0002708642179770874	0.0030566541363731933	1.584893192461114e-6	0.0002709503967162746	0.0030564530416467292	1.584893192461114e-6	0.0002709631705193086	0.0030562111940016477	1.584893192461114e-6	0.0002709991881745761	0.003056661604348684	1.584893192461114e-6	0.00026847569012348663	0.003059991685892881	1.584893192461114e-6	0.0002702399712200888	0.0030599732120092497
1.9952623149688787e-6	0.0002710000259821777	0.003056173945350245	1.9952623149688787e-6	0.00027100194477060934	0.0030569208005594185	1.9952623149688787e-6	0.0002710069434915716	0.0030584617993819454	1.9952623149688787e-6	0.00027099602648998123	0.003056459598822526	1.9952623149688787e-6	0.0002689594816063731	0.003059400220043448	1.9952623149688787e-6	0.0002690109364761885	0.0030599940363037798	1.9952623149688787e-6	0.00026938968506953184	0.0030582994191392762	1.9952623149688787e-6	0.00027098441285981507	0.0030564190261142712	1.9952623149688787e-6	0.0002708164608226162	0.003056360879647446	1.9952623149688787e-6	0.0002708964236324913	0.0030563469797919938	1.9952623149688787e-6	0.0002674416752707342	0.0030599983212428877	1.9952623149688787e-6	0.0002709006295711467	0.0030562734408714296	1.9952623149688787e-6	0.0002708592608231395	0.0030563289667320335	1.9952623149688787e-6	0.00026938641441835064	0.003057821267103008	1.9952623149688787e-6	0.0002706061348680309	0.003056571503602663	1.9952623149688787e-6	0.00026728359190812223	0.0030599992540281044	1.9952623149688787e-6	0.0002685200770554622	0.0030596365569400146	1.9952623149688787e-6	0.0002689569995653084	0.0030582247666867484	1.9952623149688787e-6	0.00027096290717982694	0.0030583840609594887	1.9952623149688787e-6	0.0002689413385678434	0.003059994204004955	1.9952623149688787e-6	0.0002710068124800544	0.003058501604626747	1.9952623149688787e-6	0.0002709841629518453	0.003057436340209412	1.9952623149688787e-6	0.00027028612494113156	0.0030578262408872494	1.9952623149688787e-6	0.0002701383491312801	0.0030599861862305633	1.9952623149688787e-6	0.0002703674098943479	0.0030575853181859652	1.9952623149688787e-6	0.000269912071775789	0.0030599906811991495	1.9952623149688787e-6	0.0002710000247849933	0.003056173999530271	1.9952623149688787e-6	0.0002701262407734677	0.003059986894388038	1.9952623149688787e-6	0.00027100359036022855	0.0030580917072734024	1.9952623149688787e-6	0.0002701865627317229	0.0030599772343556765	1.9952623149688787e-6	0.00027063167941170384	0.0030595390450371186	1.9952623149688787e-6	0.00027003113484865536	0.0030599808006252444	1.9952623149688787e-6	0.0002701482726308509	0.003059978234357605	1.9952623149688787e-6	0.0002701013207942175	0.0030599380487981213	1.9952623149688787e-6	0.0002701404824349448	0.0030599811168756947	1.9952623149688787e-6	0.00027058559430040213	0.00305957146914446	1.9952623149688787e-6	0.00027021961116284937	0.0030597956313545955	1.9952623149688787e-6	0.0002701883796999506	0.0030599802444421643	1.9952623149688787e-6	0.00027050342482337896	0.0030594113223292143	1.9952623149688787e-6	0.00027101548902316636	0.003059139870831153	1.9952623149688787e-6	0.00027098475436467055	0.0030562697430874574	1.9952623149688787e-6	0.0002702168673459427	0.003059897206796471	1.9952623149688787e-6	0.000270882304931554	0.003056853127699328	1.9952623149688787e-6	0.0002709615382418046	0.0030563543479117878	1.9952623149688787e-6	0.0002701991422039324	0.0030599738418771076	1.9952623149688787e-6	0.00027027768010861073	0.003059564823385616	1.9952623149688787e-6	0.00027078804459160607	0.0030593882326733026	1.9952623149688787e-6	0.00027023187414117915	0.0030597870294982966	1.9952623149688787e-6	0.0002703745484234816	0.0030591189486251186	1.9952623149688787e-6	0.0002708236577663569	0.0030570011696787296	1.9952623149688787e-6	0.00027098309858952893	0.003056253465507073	1.9952623149688787e-6	0.00027098423428376474	0.003056249415467584	1.9952623149688787e-6	0.00027098586574358143	0.0030562404854502963	1.9952623149688787e-6	0.0002707926927988855	0.003059380422817935	1.9952623149688787e-6	0.00027072319574844247	0.003059453929267779	1.9952623149688787e-6	0.0002701685005579975	0.003059983698150888	1.9952623149688787e-6	0.00027097913421655955	0.003056249879417617	1.9952623149688787e-6	0.0002699947675205242	0.003057195536997486	1.9952623149688787e-6	0.0002709893012567942	0.0030579684576172617	1.9952623149688787e-6	0.0002700808851010563	0.003059955570691026	1.9952623149688787e-6	0.00027086444530976595	0.003056653909040515	1.9952623149688787e-6	0.00027095055463992156	0.003056452883723082	1.9952623149688787e-6	0.00027096319109348515	0.0030562111734274713	1.9952623149688787e-6	0.00027099950049266615	0.0030566612920305937	1.9952623149688787e-6	0.0002684765323401324	0.003059990843676235	1.9952623149688787e-6	0.00027024376148105343	0.0030599694217482852
2.5118864315095823e-6	0.0002710000515701582	0.0030561739197622643	2.5118864315095823e-6	0.00027100253681106457	0.0030569202085189632	2.5118864315095823e-6	0.00027100877383005303	0.003058459969043464	2.5118864315095823e-6	0.00027099626453755356	0.0030564593607749534	2.5118864315095823e-6	0.0002689604455811857	0.0030593992560686355	2.5118864315095823e-6	0.00026901242705835516	0.0030599925457216134	2.5118864315095823e-6	0.0002693901128908856	0.0030582989913179224	2.5118864315095823e-6	0.00027098461154152157	0.0030564188274325647	2.5118864315095823e-6	0.000270816489048546	0.003056360851421516	2.5118864315095823e-6	0.0002708965016952906	0.0030563469017291945	2.5118864315095823e-6	0.0002674419173196403	0.0030599980791939816	2.5118864315095823e-6	0.00027090065528253334	0.003056273415160043	2.5118864315095823e-6	0.0002708592972498252	0.003056328930305348	2.5118864315095823e-6	0.00026938646701564126	0.003057821214505718	2.5118864315095823e-6	0.00027060616343619806	0.003056571475034496	2.5118864315095823e-6	0.00026728370739547693	0.00305999913854075	2.5118864315095823e-6	0.000268520885420991	0.003059635748574486	2.5118864315095823e-6	0.0002689570322840339	0.003058224733968023	2.5118864315095823e-6	0.0002709646294003527	0.0030583823387389628	2.5118864315095823e-6	0.000268942772842229	0.0030599927697305697	2.5118864315095823e-6	0.0002710086799934544	0.003058499737113347	2.5118864315095823e-6	0.00027098513670194133	0.003057435366459316	2.5118864315095823e-6	0.0002702868720196777	0.0030578254938087033	2.5118864315095823e-6	0.00027014181708390504	0.0030599827182779386	2.5118864315095823e-6	0.0002703680324603779	0.0030575846956199353	2.5118864315095823e-6	0.00026991446653536704	0.0030599882864395713	2.5118864315095823e-6	0.00027100005041159637	0.0030561739739036684	2.5118864315095823e-6	0.00027012954600728667	0.003059983589154219	2.5118864315095823e-6	0.0002710050981370286	0.0030580901994966023	2.5118864315095823e-6	0.0002701912437393092	0.0030599725533480902	2.5118864315095823e-6	0.00027063683353717384	0.003059533890911649	2.5118864315095823e-6	0.00027003379513758564	0.0030599781403363143	2.5118864315095823e-6	0.0002701517728922398	0.003059974734096216	2.5118864315095823e-6	0.000270104084836217	0.0030599352847561216	2.5118864315095823e-6	0.00027014390418236416	0.003059977695128275	2.5118864315095823e-6	0.0002705899096804851	0.003059567153764377	2.5118864315095823e-6	0.0002702222745538608	0.0030597929679635843	2.5118864315095823e-6	0.0002701933860912822	0.0030599752380508325	2.5118864315095823e-6	0.0002705058169389099	0.0030594089302136834	2.5118864315095823e-6	0.00027101971054780023	0.0030591356493065193	2.5118864315095823e-6	0.0002709848406571093	0.0030562696567950185	2.5118864315095823e-6	0.0002702201802771511	0.003059893893865263	2.5118864315095823e-6	0.0002708827557480751	0.003056852676882807	2.5118864315095823e-6	0.00027096167089709397	0.0030563542152564982	2.5118864315095823e-6	0.00027020452517613496	0.003059968458904905	2.5118864315095823e-6	0.00027027995857126317	0.0030595625449229636	2.5118864315095823e-6	0.00027079375747063035	0.003059382519794278	2.5118864315095823e-6	0.00027023455015186054	0.0030597843534876153	2.5118864315095823e-6	0.0002703764246907564	0.0030591170723578438	2.5118864315095823e-6	0.0002708241771817503	0.003057000650263336	2.5118864315095823e-6	0.00027098317136303707	0.0030562533927335645	2.5118864315095823e-6	0.0002709843048584904	0.0030562493448928587	2.5118864315095823e-6	0.000270985930814003	0.003056240420379875	2.5118864315095823e-6	0.00027079805887805347	0.0030593750567387674	2.5118864315095823e-6	0.0002707290180622924	0.003059448106953929	2.5118864315095823e-6	0.00027017264025565064	0.0030599795584532346	2.5118864315095823e-6	0.0002709792013028087	0.0030562498123313676	2.5118864315095823e-6	0.0002699948061585749	0.0030571954983594353	2.5118864315095823e-6	0.0002709906975045457	0.00305796706136951	2.5118864315095823e-6	0.0002700836373584626	0.00305995281843362	2.5118864315095823e-6	0.0002708647314990613	0.0030566536228512197	2.5118864315095823e-6	0.0002709507534513138	0.0030564526849116897	2.5118864315095823e-6	0.00027096321699479305	0.0030562111475261632	2.5118864315095823e-6	0.00027099989366725376	0.0030566608988560062	2.5118864315095823e-6	0.00026847759255443194	0.0030599897834619355	2.5118864315095823e-6	0.00027024853236497264	0.003059964650864366
