ssd,Km,Km_cit,kcat,kcat_cit,Keq,Keq_cit
0,0.00002,0.00007,0.41211435266581287,6.020288008989064,0.00016,0.00016
7.3743373102626615e-9,0.001280908901031384,0.004484375965568857,7.228813473388466e-6,1.170760846439612e-8,4.602158955438256e-6,5.470768627067849e-7
7.374359141458211e-9,0.0012805855559446485,0.004485526952175073,7.4590995052775885e-6,6.643892610618511e-8,6.880566961049411e-6,8.26718384979645e-6
7.375090846801814e-9,0.0012814330575552325,0.004485604016917001,6.040444468462377e-6,1.8010635390465906e-7,0.000014255285709865612,6.269230773891467e-6
7.3753577927696215e-9,0.0012805587047969326,0.004485994648319009,8.877312165549264e-6,1.1264558462765163e-8,8.601979805539227e-6,4.523215755804698e-6
7.375480824324355e-9,0.0012818808401675458,0.0044858153167299025,3.1110404804815165e-6,9.78733170830118e-9,2.0936299704532934e-8,1.5179880735651654e-8
7.3755172655699215e-9,0.0012815910099722475,0.004485969561971699,6.508222776361037e-7,6.034255159238415e-8,3.5664166390080016e-7,8.489457678777666e-7
7.37569273600627e-9,0.0012830021940351901,0.004485570450153266,2.227024543971311e-6,2.690014724197729e-8,5.783921959272037e-7,1.668009907442296e-6
7.376228943405218e-9,0.0012754014103581494,0.004489342411834291,0.00003987216503022838,3.8670485838801065e-8,1.5149241859883572e-7,1.947812740363697e-7
7.376380484897368e-9,0.0012811377199686519,0.004488725451718637,4.9768992345589275e-6,6.928814583463179e-8,3.868169585368504e-7,2.293199403155879e-7
7.377757507908643e-9,0.001282868370080126,0.004487160565957361,7.842414052336688e-6,6.375960294524475e-9,5.3402632115657684e-8,0.00009116296928704156
7.378281029010482e-9,0.0012811542939639748,0.0044874552390199735,7.4996318216766365e-6,3.269579479919186e-10,0.0001104183171830278,1.1019999610105758e-6
7.382462943862032e-9,0.0012810376230698375,0.004488925613154767,6.5489343090048865e-6,2.6992457316906695e-8,0.00010185938745433827,5.321446544049104e-7
7.388439241939456e-9,0.0012851811595427014,0.00448518197091193,9.559142611621722e-10,1.6527885079656457e-9,5.96953245841046e-9,0.00025428264067940334
7.390370992225713e-9,0.0012795511178387284,0.004486641004853462,2.8969627091988225e-6,1.203424184444039e-9,0.0000249064153124616,0.00029971690341574646
7.4099637261880856e-9,0.001281357629051051,0.004481343795184321,3.5064029119977346e-6,5.511679814135993e-7,0.00007826620082552418,0.00042533305695907034
7.415670846379903e-9,0.0012820024725741122,0.00448286928158075,7.267145181327401e-7,2.998864436266706e-7,3.7265552988818658e-6,0.0005743717374412154
7.439087799754879e-9,0.0012803013871651038,0.004487653709913866,6.574363524905523e-6,4.585883970629382e-8,0.000012238221808842043,0.00078148187601006
7.456195884028418e-9,0.0012802754579788697,0.004485513407605187,9.870647115371842e-6,8.905524853801361e-8,0.00004080161189923443,0.0016098509047735526
7.522871305859919e-9,0.0012820606808645948,0.00448631865222555,4.6046321398687215e-7,7.843066430257186e-8,0.00001796083525234127,0.002292997531182694
