ssd,Km_g3p,kcat_f,Keq
0,0.00103,27025.299764582207,9.35
1.2757133781182047e-6,0.06600983770944337,4.3009115125120285e-11,1.6697545307204777e-8
1.27571343641624e-6,0.06602072603761143,1.7367874909054834e-10,9.790119992173074e-9
1.275713462718341e-6,0.06590711262248199,1.2432932309721782e-10,2.82109214182848e-8
1.275713465207812e-6,0.06590941312835648,1.7526719215307234e-10,2.360552157783373e-8
1.2757135305804955e-6,0.06590345931199934,2.823524850545847e-10,2.5908117006480477e-8
1.2757135426430982e-6,0.0660481699092498,7.001264718802836e-11,5.184853141004096e-9
1.2757135514671595e-6,0.06589059162760863,1.589250745437152e-10,2.1303135132344556e-8
1.275713553033122e-6,0.06591671068482319,4.1848744006564613e-10,5.8144396012128335e-8
1.2757135578896267e-6,0.06588637947031614,5.842239738435746e-11,5.8144529001410437e-8
1.275713607678278e-6,0.06590932503225631,4.5562739268855915e-10,2.360563556864695e-8
1.2757136106723393e-6,0.06605883764151757,8.354133598325399e-11,1.7441700134090728e-7
1.275713628519791e-6,0.06605953809572054,1.506328633020645e-10,1.9629943778605388e-7
1.2757136535005276e-6,0.06605806219431348,2.643546174732746e-10,3.1656502731124036e-8
1.275713695012506e-6,0.06595324091019814,6.780363442056913e-10,1.6697773288831226e-8
1.2757136989207335e-6,0.06605823535230561,3.5367088628553534e-10,2.9353736316257454e-8
1.2757137211033626e-6,0.06586566217103867,1.9416697232073085e-10,1.1915476804879192e-7
1.2757137229965143e-6,0.06605950926049008,3.6586689827406707e-10,3.0682394236722234e-7
1.2757137668247709e-6,0.06605995101611792,4.4150640309035845e-10,1.018936141640722e-7
1.2757137849075144e-6,0.06585751870841602,2.0399378109736238e-10,9.498558089803663e-8
1.2757138043268889e-6,0.0658813111600835,5.223958468421105e-10,3.281607427864056e-8
1.2757138160051856e-6,0.06586744267096194,3.91160834837479e-10,4.127423631630603e-7
1.2757138177937998e-6,0.06586804187809238,4.227008525959005e-10,1.3643201363664503e-7
1.27571382488575e-6,0.06603933826658226,6.434809769048513e-10,2.882466695514924e-9
1.2757138257495458e-6,0.06589915588966268,6.493501394070587e-10,4.432912741574978e-8
1.275713852789854e-6,0.06586501241777136,4.3263535242761843e-10,2.9300821780759085e-7
1.275713853446478e-6,0.0660870106971586,2.3762031304808243e-10,2.130296414612472e-8
1.275713857705452e-6,0.0660591391117842,5.618780799131521e-10,1.3235796297356666e-8
1.2757138938015733e-6,0.06586312009698336,4.72386813136376e-10,2.596124812452397e-7
1.2757139016134486e-6,0.06592526759655493,8.031195046885137e-10,1.9000140735851525e-8
1.2757139158024145e-6,0.06586767960395741,5.402994847502201e-10,2.550074993711038e-7
1.2757139182696858e-6,0.06586843962420667,4.5694660811336713e-10,9.170081972434006e-7
1.2757139802299652e-6,0.06586226279428366,5.752048479800907e-10,4.025528573582896e-9
1.2757140558735474e-6,0.06605403415358131,7.714314117293484e-10,2.3198145009229195e-7
1.2757140582493365e-6,0.06596643546217558,9.60254215441418e-10,2.882048729199771e-9
1.2757140679192785e-6,0.06605033844536218,8.021637465746221e-10,6.328067006823033e-9
1.275714146307604e-6,0.06589215666222364,8.809801375159616e-10,3.511855571647408e-8
1.2757141870571483e-6,0.06606489763960394,8.212654474705677e-10,1.8939167049858252e-7
1.2757142868180732e-6,0.0660436274150289,9.806751317621716e-10,2.3605445583958243e-8
1.275714347092255e-6,0.06587193315945725,9.344756691301174e-10,4.025167602674356e-9
1.2757143758938816e-6,0.06586903032771844,9.382313946762546e-10,1.813245406467522e-7
1.2757144303705824e-6,0.06602086127823255,1.125411909798257e-9,3.972397455539402e-8
1.2757147874365744e-6,0.06586753844188717,1.1761747808895962e-9,4.025813550615956e-9
1.2757148285219317e-6,0.06610395087865474,1.040551358390195e-9,5.795862898351169e-10
1.275714888876933e-6,0.06587830932466543,1.264764135080024e-9,2.130298314459359e-8
1.275714915555271e-6,0.06586803577146576,1.2402778814297598e-9,2.7342763585080503e-7
1.2757151592344803e-6,0.06586792158790344,1.3598687981031773e-9,5.0077703125082045e-8
1.2757154016969165e-6,0.0657641319272078,8.765109587298771e-10,3.051349784846268e-8
1.2757159490310582e-6,0.06621627481828807,7.667468508330912e-10,3.2984936469656144e-7
1.2757159569439246e-6,0.06621641095134442,7.424221337654566e-10,6.87893008152677e-7
1.2757159605037839e-6,0.06624140244429955,2.1138407975266475e-10,8.630871418627358e-9
1.2757161140374915e-6,0.0660498575927935,1.7870926750127056e-9,1.7227241617785723e-9
1.2757161174454951e-6,0.0658618230989347,1.72827989755366e-9,1.3235758300418927e-8
1.2757161396321726e-6,0.06623675744183688,6.13650554645926e-10,7.656540642139765e-8
1.275726498263783e-6,0.06535599077241834,9.247969355542296e-11,3.5978299127815594e-7
0.00008926808499480672,1.6594422332126626,1.1627483985967026e-8,0.0019554313641348543
0.0008496696497617957,4.592099154066492,0.00001416723784488069,0.0011877765738998955
0.02571834838283532,29.33323583226631,0.000057173060692910404,0.016606226425555187
0.05376811656156199,46.0560784858942,0.00006822549218681753,0.019185118034822254
0.6099147634663982,255.5581845994859,0.00030301399091923434,0.0018034127118565333
0.8747211224019529,390.1844926897373,0.00027048171884450284,0.005755071202606832
1.2883170083651843,666.8988741000202,0.00017473666380082327,0.07811905552833781
1.9262008878198245,1338.7576765560104,2.5838140521978096e-6,0.00007324007367545549
1.941894317216326,1341.2491720084886,0.00013162872795782613,0.0038337358751445653
2.2865416289316616,1963.6308682402466,0.00007805213735381363,0.00039159162333683473
2.5642808376913604,2743.475701188659,0.000021493737896101144,0.00023086377584917726
2.6144905683807735,2926.1643344096433,0.000013332604747126398,0.0006238057771060131
2.7555585834292176,3542.872512035405,3.5632072565629966e-6,0.000059841322039036726
2.7619713476124734,3551.842755471304,0.00007483582786231758,0.03862218146889016
2.8268616348999958,3927.3491181480663,0.000019605588809985208,0.0604415008222864
2.9620742686451837,4876.620396543135,6.109351475762723e-6,0.003623457829748992
3.0856789409787275,6098.369458982248,0.00003701615276288806,0.015308174145892866
3.0950715049019664,6219.381435237246,0.000026931511327538613,0.008173187400085557
3.1133703798563257,6405.571520978706,0.00007257464544205304,0.0055238049356833175
3.1677180927634287,7243.700560645603,0.000028539849854802843,0.004205814796648002
3.198485392052736,7766.991850194307,0.000030907322000299445,0.003870701450491566
3.2076362859703367,7941.725984685413,0.000024141402432546646,0.00012181416492500616
3.261129783354675,9084.259890413396,0.00001119955535187025,0.0008844909823310104
3.2864053860322384,9717.392065787735,0.000022105669176513998,0.007116685558399236
3.3179365572154556,10646.733933646516,0.00001174114058704991,0.00007842780166476907
3.3369152372832613,11278.684123798464,0.00001416850923201566,0.007259394129102005
3.3461304055000625,11615.554564551845,8.528482333853786e-6,0.000045660831531714795
3.3568502623448175,12025.958270750243,8.848082529893278e-6,0.0016021256331107013
3.36321864018156,12280.14610249061,0.000010352496887102854,0.019533847573758038
3.373690599655381,12718.943593344698,0.000017541077475222554,0.0013626279052411693
3.3772811319384806,12888.072816127486,5.236827401428726e-6,0.00033320250816117514
3.3934339628600743,13651.53630233671,6.142776652363195e-6,0.005447645058628395
3.4076222754471144,14384.426608886472,0.00001640735796782315,0.00012419963973021723
3.4452462796800574,16782.563622345002,1.7543549981079047e-6,8.575406091703015e-6
3.46461488930169,18319.579529860435,1.3991201415521136e-6,0.011653405295648558
3.4675897996657548,18580.102437846464,2.9767837333034286e-6,0.00002282149770408409
3.4754372625353116,18888.328545029068,0.00007410036981293415,0.012358030262327001
3.505414511552754,22612.267554249393,1.7786093121482763e-8,0.0028260526935744387
3.507443332474271,22875.13464538779,2.1298559381699984e-6,0.00002491109157100658
3.5207575450927155,24759.029952895562,3.4852832879337763e-7,2.034905501381081e-6
3.5359411574841038,27301.098942617846,2.6537607386145974e-6,0.0003828023161819003
818.6359541893534,29069.809665991113,1.0646871584244443e-6,92.06511190228268
876.1529168544,11995.922942036716,0.0037677512123475538,94.64385404808586
1.0180542923718351e9,0.5571166710663118,35.597424607417786,37.18038434335335
1.3547172346208954e9,58.56110337658563,41.06364204438164,0.3004600742961637
1.8710627229626107e9,34.15368807851514,48.258887685028036,16.71224816990542
