,GLCptspp1,GLCptspp2,GLCptspp3,GLCptspp4,GLCptspp5,GLCptspp6,GLCptspp7,GLCptspp8,GLCptspp9,GLCptspp10
EI,-1,0,0,1,0,0,0,0,0,0
EI&pi,0,1,-1,0,0,0,0,0,0,0
EI&pi&HPr,0,0,1,-1,0,0,0,0,0,0
g6p,0,0,0,0,0,0,0,0,0,1
glc,0,0,0,0,0,0,0,0,-1,0
HPr,0,0,-1,0,0,1,0,0,0,0
HPr&pi,0,0,0,1,-1,0,0,0,0,0
IIA,0,0,0,0,-1,0,0,1,0,0
IIA&pi,0,0,0,0,0,1,-1,0,0,0
IIA&pi&IICB,0,0,0,0,0,0,1,-1,0,0
IICB,0,0,0,0,0,0,-1,0,0,1
IICB&g6p,0,0,0,0,0,0,0,0,1,-1
IICB&pi,0,0,0,0,0,0,0,1,-1,0
pep,-1,0,0,0,0,0,0,0,0,0
pyr,0,1,0,0,0,0,0,0,0,0
EI&pi&pyr,1,-1,0,0,0,0,0,0,0,0
HPr&pi&IAA,0,0,0,0,1,-1,0,0,0,0
