Priority	anth[c]	chor[c]	gln__L[c]	glu__L[c]	pyr[c]	trp__L[c]	param_ANS_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	4.e-6	0.0001433185813992592	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.28474724895080167
1	0	4.e-6	0.0002271446440128697	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.3868631798468571
1	0	4.e-6	0.00036000000000000035	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.5000000000000002
1	0	4.e-6	0.0005705615492860017	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.6131368201531433
1	0	4.e-6	0.0009042791153434505	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.7152527510491989
1	0	4.e-6	0.0014331858139925919	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.7992399910868984
1	0	4.e-6	0.0022714464401286973	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.8631931113967901
1	0	4.e-6	0.003600000000000004	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_gln__L.txt"	0.9090909090909093
1	0	1.2000000000000007e-7	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.09090909090909097
1	0	1.901871830953338e-7	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.1368068886032101
1	0	3.014263717811501e-7	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.20076000891310197
1	0	4.777286046641966e-7	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.2847472489508014
1	0	7.571488133762321e-7	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.38686317984685703
1	0	1.2000000000000008e-6	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.5000000000000001
1	0	1.9018718309533382e-6	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.6131368201531433
1	0	3.0142637178115004e-6	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.7152527510491989
1	0	4.777286046641966e-6	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.7992399910868984
1	0	7.571488133762321e-6	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.86319311139679
1	0	0.000012000000000000007	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.9090909090909092
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/absRateFor.txt"	4.868606473
1	0	1.2000000000000007e-7	1	0	0	5.e-7	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.06250000000000004
1	0	3.7947331922020577e-7	1	0	0	5.e-7	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.17411239489546843
1	0	1.2000000000000008e-6	1	0	0	5.e-7	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.4000000000000002
1	0	3.7947331922020576e-6	1	0	0	5.e-7	1	7.8	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_ANS1_Final_typeII/input/relRateFor_chor.txt"	0.6782688399674107
