ssd,ssd_s05,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
0.001261057536040435,0.0010720812349574403,0.009259903466246331,0.022935129191711437,0.055666506387141226,0.12892860481786125,0.2708997816301388,0.4825002358614823,0.7004464079718364,0.8542034028085022,0.9361380621943455,0.973398975938582,0.9891329003796724
0.0012612022319026237,0.0010736743911486974,0.009259220017514128,0.022933471973821586,0.05566266417726266,0.12892054965915092,0.27088604199152844,0.48248372054816646,0.7004336646875444,0.8541969021731686,0.9361357452383116,0.9733985183133322,0.9891330637114607
0.0012612279565454975,0.00107671121180009,0.009258375424278206,0.02293138541136708,0.055657682016305825,0.1289096097407668,0.2708659775519429,0.48245670633298426,0.7004087743470854,0.8541800774670454,0.9361261189089929,0.9733932961778778,0.989130214518805
0.0012613593695701172,0.0010724518911764862,0.00925993032030348,0.02293517858786686,0.05566656206319784,0.1289285200705021,0.2708990654177073,0.4824981959583301,0.7004431869027344,0.8542000792818482,0.9361353998770676,0.9733970980734573,0.9891316517619003
0.0012613911271872327,0.0010722643366174779,0.00925991729812428,0.022935154917703055,0.055666536781433545,0.12892856839576167,0.270899435355878,0.48249923359719854,0.7004448159258931,0.8542017554164109,0.936136740502461,0.9733980428509097,0.9891322796263297
0.001261458458785065,0.0010722938524075128,0.009259919190822969,0.02293515827613644,0.05566653995957043,0.12892855928163643,0.2708993750438721,0.4824990687744782,0.7004445597673394,0.8542014931545451,0.9361365313060716,0.973397895656148,0.9891321818983694
0.00126152866921529,0.0010725479721880168,0.009259940518751848,0.022935198968925145,0.055666593038622515,0.1289285292824816,0.2708989230084805,0.4824976986670273,0.700442347610545,0.8541991863444216,0.9361346728708244,0.9733965805096695,0.989131305731045
0.0012617306520569906,0.0010727203592888277,0.009259952955817894,0.022935221820965045,0.055666618672305115,0.12892848939418303,0.2708985893083308,0.4824967496469438,0.7004408499147784,0.8541976414230592,0.9361334354869696,0.9733957077931712,0.9891307254785938
0.001261738064731884,0.0010753177574534527,0.009259060078259424,0.022933038116965464,0.05566148593968971,0.12891748940465889,0.2708791477231342,0.48247197997217944,0.7004197808380505,0.8541848973205988,0.9361271377057042,0.9733928577481884,0.9891294631714568
0.001261820077255488,0.0010731700852644726,0.009259988034642914,0.022935287601719,0.055666699013470544,0.12892841074984876,0.2708977541084912,0.4824942998600304,0.7004369397731558,0.8541935860270476,0.9361301778190017,0.9733934062963158,0.9891291937107793
0.001261897306145842,0.001072852803851617,0.00926011278535283,0.02293559105682111,0.055667406162779175,0.12892990559902284,0.2709003388207527,0.4824974788745846,0.7004394935674344,0.854194991710243,0.9361307693643294,0.9733936059635492,0.9891292400027943
0.0012619181438348647,0.001072814894546004,0.009260121421861433,0.0229356126434769,0.05566745862523129,0.12893002385202712,0.27090056397823226,0.48249779789294994,0.7004398073087498,0.8541952207131961,0.9361309116276362,0.9733936895453411,0.9891292889153689
0.0012619700080963724,0.0010730875548199481,0.009259981549280764,0.02293527541761759,0.05566668402313471,0.12892842471302776,0.2708979067144314,0.4824947489094076,0.7004376573260932,0.8541943306400533,0.9361307761361043,0.973393829070271,0.9891294751175161
0.0012620008214994755,0.0010731046627490562,0.009259982795694975,0.022935277714047395,0.05566668662999042,0.12892842087521683,0.2708978737720525,0.4824946548724427,0.7004375087142898,0.8541941772384074,0.9361306532257904,0.9733937423641243,0.9891294174608812
0.0012620027248706083,0.0010730899228942703,0.009259981768842495,0.02293527584555812,0.055666684624280066,0.12892842463462822,0.2708979027823307,0.482494736349195,0.7004376366907954,0.8541943089483017,0.9361307585858923,0.9733938166203836,0.9891294668112577
0.001262011336804854,0.001073131351039101,0.009259985048377363,0.02293528201793296,0.05566669227183897,0.128928417856671,0.27089782649795285,0.48249451116883374,0.7004372764612243,0.8541939349342277,0.9361304579689632,0.9733936041678927,0.9891293253847733
0.0012620126925531857,0.0010731330266828926,0.009259985161707597,0.022935282222380917,0.05566669248246737,0.12892841739655586,0.27089782315469196,0.4824945018736351,0.7004372619176501,0.8541939199946981,0.9361304460305666,0.9733935957589159,0.9891293197982056
0.0012620128332122662,0.001073129621581924,0.009259984910688017,0.02293528175843049,0.055666691948584764,0.1289284181320769,0.27089782967202375,0.48249452056149333,0.7004372915002534,0.8541939505552526,0.9361304705273076,0.9733936130442893,0.9891293312941126
0.0012620205563892862,0.0010731295669192075,0.009259984968687145,0.022935281896145094,0.05566669225693687,0.12892841874109726,0.2708978306046071,0.4824945214634289,0.7004372918902071,0.8541939504420166,0.9361304702124332,0.9733936127309369,0.9891293310494939
0.0012620256211040878,0.0010727860175167381,0.009260118089377736,0.022935605892125222,0.05566744794849879,0.1289300185042834,0.2709006031934519,0.48249794471880003,0.7004400598638649,0.8541954916282649,0.9361311331350533,0.9733938476138316,0.9891293947438979
0.0012620262315819874,0.001073128705544227,0.009259985167935735,0.022935282393675815,0.05566669346433675,0.1289284214568965,0.27089783576043047,0.48249452874057086,0.7004372990138051,0.8541939556150389,0.9361304734097327,0.9733936146008221,0.9891293321396702
0.0012620268629247855,0.0010731282060140886,0.009259984910745391,0.022935281809904777,0.055666692260105774,0.12892841944311945,0.2708978337750916,0.4824945293436371,0.7004373036553629,0.8541939622434852,0.9361304795191332,0.9733936192356296,0.9891293353507936
0.001262029072115646,0.0010731286031891924,0.009259984998470397,0.022935282000797856,0.05566669262099434,0.12892841992004245,0.2708978337950337,0.4824945277310243,0.7004373001247713,0.8541939581099086,0.9361304759945782,0.973393616662731,0.9891293336055209
0.001262070287333302,0.0010726715543446313,0.009260147913361732,0.02293567983978291,0.05566762549901179,0.12893041163831104,0.2709013330652,0.4824989443606735,0.7004410020952028,0.8541961466551198,0.936131519949021,0.9733940643177486,0.9891295165243239
0.0012620871693381764,0.001076522580998582,0.009258861199057397,0.02293252905781615,0.05566020529643781,0.12891446078324148,0.27087300634736855,0.4824625859183783,0.7004097214422084,0.8541768980304639,0.9361217646906665,0.9733894891739296,0.9891273907890964
0.0012621075147126496,0.0010729868117938639,0.009260083606179654,0.022935517909664294,0.0556672276117009,0.1289295005877996,0.2708995609418072,0.48249636429865767,0.7004383827038065,0.8541941690939544,0.936130251087802,0.973393297666302,0.9891290577712876
