Priority	2cpr5p[c]	3ig3p[c]	co2[c]	anth[c]	param_IGPSr_total	param_pH	param_Temp	FileFlag	Target_Data
1	3.400000000000002e-8	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.09090909090909097
1	5.388636854367791e-8	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.13680688860321014
1	8.540413867132583e-8	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.20076000891310197
1	1.3535643798818904e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.2847472489508014
1	2.1452549712326574e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.386863179846857
1	3.400000000000002e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.5000000000000002
1	5.388636854367791e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.6131368201531433
1	8.540413867132584e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7152527510491988
1	1.3535643798818904e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7992399910868982
1	2.1452549712326573e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.8631931113967899
1	3.4000000000000018e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.909090909090909
1	4.200000000000003e-8	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.09090909090909097
1	6.656551408336685e-8	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.13680688860321014
1	1.0549923012340253e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.20076000891310197
1	1.6720501163246884e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.2847472489508014
1	2.6500208468168126e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.38686317984685703
1	4.200000000000003e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.5000000000000002
1	6.656551408336684e-7	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.6131368201531433
1	1.0549923012340252e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7152527510491988
1	1.6720501163246882e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7992399910868982
1	2.6500208468168126e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.8631931113967901
1	4.200000000000003e-6	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.9090909090909092
1	1.2000000000000007e-7	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.09090909090909097
1	1.901871830953338e-7	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.1368068886032101
1	3.014263717811501e-7	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.20076000891310197
1	4.777286046641966e-7	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.2847472489508014
1	7.571488133762321e-7	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.38686317984685703
1	1.2000000000000008e-6	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.5000000000000001
1	1.9018718309533382e-6	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.6131368201531433
1	3.0142637178115004e-6	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7152527510491989
1	4.777286046641966e-6	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7992399910868984
1	7.571488133762321e-6	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.86319311139679
1	0.000012000000000000007	0	0	0	1	7.6	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.9090909090909092
1	5.e-7	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.0909090909090909
1	7.924465962305569e-7	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.13680688860321003
1	1.255943215754791e-6	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.20076000891310183
1	1.9905358527674846e-6	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.2847472489508012
1	3.1547867224009644e-6	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.3868631798468568
1	4.9999999999999996e-6	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.5
1	7.924465962305569e-6	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.6131368201531431
1	0.00001255943215754791	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.7152527510491988
1	0.000019905358527674844	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.799239991086898
1	0.000031547867224009646	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.8631931113967899
1	0.000049999999999999996	0	0	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.9090909090909091
1	5.799999999999995e-7	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.09090909090909083
1	9.192380516274454e-7	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/relRateFor_2cpr5p.txt"	0.13680688860320994
