Priority	adp[c]	atp[c]	pep[c]	pyr[c]	param_PYK1_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	369.3457634492902
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	369.3457634492902
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	369.3457634492902
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	0.002	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	480.44977359257257
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
1	1	0	0.002	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/absRateFor.txt"	396.3710632138724
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/customRatio_1.txt"	0.00023526054624980634
